,id,name,lat,lng,cid,brand_id,brand_name,number_of_votes,rating,place_url,source,category,top_category,type,created_at,competitor_type
14463,ChIJh1lFBmMYrjsRtGjUTvq3gck,Om PG for Men,13.098851203918455,77.57608032226562,0x3bae186306455987:0xc981b7fa4ed468b4,N_A,N_A,127,3.799999952316284,https://www.google.com/maps/place/?q=place_id:ChIJh1lFBmMYrjsRtGjUTvq3gck,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
14520,ChIJ04TSRQ4XrjsRYBPpkkny1CI,Serve & Smash Badminton,13.045742988586426,77.57288360595703,0x3bae170e45d284d3:0x22d4f24992e91360,N_A,N_A,329,4.5,https://www.google.com/maps/place/?q=place_id:ChIJ04TSRQ4XrjsRYBPpkkny1CI,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
14683,ChIJ0T4deGsRrjsR2Q4ax0zrVTE,SKANDA TAEKWONDO ACADEMY,13.062339782714844,77.58719635009766,0x3bae116b781d3ed1:0x3155eb4cc71a0ed9,N_A,N_A,136,5.0,https://www.google.com/maps/place/?q=place_id:ChIJ0T4deGsRrjsR2Q4ax0zrVTE,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
14693,ChIJb50po4gZrjsRnnhk2ai3QCY,Surya Yoga Classes,13.068161010742188,77.63302612304688,0x3bae1988a3299d6f:0x2640b7a8d964789e,suryasyoga,Surya's Yoga,1,5.0,https://www.google.com/maps/place/?q=place_id:ChIJb50po4gZrjsRnnhk2ai3QCY,gmaps_v2,gym_fitness,leisure,yoga,1687847039,primary_competitor
14773,ChIJk-uHp6kirjsRCzILrwzbSwc,Spartans Gym,13.063501358032228,77.5593032836914,0x3bae22a9a787eb93:0x74bdb0caf0b320b,N_A,N_A,73,4.0,https://www.google.com/maps/place/?q=place_id:ChIJk-uHp6kirjsRCzILrwzbSwc,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
14796,ChIJ2yxWb-oXrjsR6jeSckcdMhg,Café Coffee Day,13.04368495941162,77.58147430419922,0x3bae17ea6f562cdb:0x18321d47729237ea,cafecoffeeday,Cafe Coffee Day,1,4.0,https://www.google.com/maps/place/?q=place_id:ChIJ2yxWb-oXrjsR6jeSckcdMhg,gmaps_v2,coffee_shop,food,N_A,1699615207,anchor_competitor
14958,ChIJZ8RJcaYirjsR5EWkItTnFnE,Fitness 9,13.069067001342772,77.55644989013672,0x3bae22a67149c467:0x7116e7d422a445e4,N_A,N_A,94,4.5,https://www.google.com/maps/place/?q=place_id:ChIJZ8RJcaYirjsR5EWkItTnFnE,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
15118,ChIJXyPkC2QYrjsRmX0t_esJru8,Bendre BBMP Park,13.096135139465332,77.57803344726562,0x3bae18640be4235f:0xefae09ebfd2d7d99,N_A,N_A,76,4.199999809265137,https://www.google.com/maps/place/?q=place_id:ChIJXyPkC2QYrjsRmX0t_esJru8,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
15149,ChIJ73yDtGMZrjsR2RwVADc5elA,Humming Nest (Zumba and Yoga Fitness Studio),13.069412231445312,77.62804412841797,0x3bae1963b4837cef:0x507a393700151cd9,N_A,N_A,131,5.0,https://www.google.com/maps/place/?q=place_id:ChIJ73yDtGMZrjsR2RwVADc5elA,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
15441,ChIJK1avFboXrjsR7aL6JP4qA2g,International Fitness Centre (IFC),13.024618148803713,77.59180450439453,0x3bae17ba15af562b:0x68032afe24faa2ed,N_A,N_A,340,4.800000190734863,https://www.google.com/maps/place/?q=place_id:ChIJK1avFboXrjsR7aL6JP4qA2g,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
15685,ChIJk8I6ym8XrjsRtONs47i2yQI,Café Coffee Day,13.04478645324707,77.62088775634766,0x3bae176fca3ac293:0x2c9b6b8e36ce3b4,cafecoffeeday,Cafe Coffee Day,224,3.799999952316284,https://www.google.com/maps/place/?q=place_id:ChIJk8I6ym8XrjsRtONs47i2yQI,gmaps_v2,coffee_shop,food,N_A,1687847039,anchor_competitor
16020,ChIJx1_vefAXrjsRR-fSMYxejr4,Akshar Yoga,13.047703742980955,77.57445526123047,0x3bae17f079ef5fc7:0xbe8e5e8c31d2e747,aksharyoga,Akshar Yoga,14,4.0,https://www.google.com/maps/place/?q=place_id:ChIJx1_vefAXrjsRR-fSMYxejr4,gmaps_v2,gym_fitness,leisure,yoga,1687847039,primary_competitor
16100,ChIJobU0RtEXrjsRkPVXs3RRpQM,Dtown dance and fitness studio,13.049030303955078,77.59668731689453,0x3bae17d14634b5a1:0x3a55174b357f590,N_A,N_A,162,4.900000095367432,https://www.google.com/maps/place/?q=place_id:ChIJobU0RtEXrjsRkPVXs3RRpQM,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
16161,ChIJJfie13EZrjsRrXlgq06eiV0,Chaayos Cafe Sahakar Nagar,13.059534072875977,77.58755493164062,0x3bae1971d79ef825:0x5d899e4eab6079ad,chaayos,Chaayos,332,4.400000095367432,https://www.google.com/maps/place/?q=place_id:ChIJJfie13EZrjsRrXlgq06eiV0,gmaps_v2,coffee_shop,food,N_A,1687847039,anchor_competitor
16164,ChIJf7iqWwgYrjsRff7MCxK7UwI,FitnessEDGE 1,13.069091796875,77.56141662597656,0x3bae18085baab87f:0x253bb120bccfe7d,N_A,N_A,369,4.900000095367432,https://www.google.com/maps/place/?q=place_id:ChIJf7iqWwgYrjsRff7MCxK7UwI,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
16199,ChIJg9j-UoAXrjsRYTTwFvSlmm0,Fitstop Gym and Fitness,13.055264472961426,77.60274505615234,0x3bae178052fed883:0x6d9aa5f416f03461,N_A,N_A,97,4.300000190734863,https://www.google.com/maps/place/?q=place_id:ChIJg9j-UoAXrjsRYTTwFvSlmm0,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
16209,ChIJ-angeaYirjsRvtGidQDGUdc,Muscle Planet vidyaranyapura,13.079394340515137,77.55903625488281,0x3bae22a679e0a9f9:0xd751c60075a2d1be,N_A,N_A,317,4.599999904632568,https://www.google.com/maps/place/?q=place_id:ChIJ-angeaYirjsRvtGidQDGUdc,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
16681,ChIJLTuZZ3sXrjsRF_JesO0Vys8,Mantri Lithos,13.052095413208008,77.61763000488281,0x3bae177b67993b2d:0xcfca15edb05ef217,N_A,N_A,185,4.099999904632568,https://www.google.com/maps/place/?q=place_id:ChIJLTuZZ3sXrjsRF_JesO0Vys8,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
16779,ChIJacRBoBsXrjsRV_lQRMQQCOg,Asian Taekwondo Academy and fitness centre,13.02646827697754,77.5903091430664,0x3bae171ba041c469:0xe80810c44450f957,N_A,N_A,51,4.900000095367432,https://www.google.com/maps/place/?q=place_id:ChIJacRBoBsXrjsRV_lQRMQQCOg,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
16789,ChIJq5_JCMgZrjsRZanyWmPS_B8,Natyakshetra Dance Academy,13.11052703857422,77.6079330444336,0x3bae19c808c99fab:0x1ffcd2635af2a965,N_A,N_A,80,4.900000095367432,https://www.google.com/maps/place/?q=place_id:ChIJq5_JCMgZrjsRZanyWmPS_B8,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
16903,ChIJhWDxPCIXrjsRjy1PRVL6AnA,Varsha's Yoga Class,13.038206100463867,77.58155822753906,0x3bae17223cf16085:0x7002fa52454f2d8f,N_A,N_A,58,5.0,https://www.google.com/maps/place/?q=place_id:ChIJhWDxPCIXrjsRjy1PRVL6AnA,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
17013,ChIJGRA-MIIXrjsRyZ-D9ZGwqd8,Centurion Fitness Centre,13.051750183105469,77.6054458618164,0x3bae1782303e1019:0xdfa9b091f5839fc9,N_A,N_A,67,4.300000190734863,https://www.google.com/maps/place/?q=place_id:ChIJGRA-MIIXrjsRyZ-D9ZGwqd8,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
17127,ChIJEVf-P2wXrjsRw55I9BQFapw,Muscular freaks fitness centre,13.057239532470703,77.6103286743164,0x3bae176c3ffe5711:0x9c6a0514f4489ec3,N_A,N_A,84,4.900000095367432,https://www.google.com/maps/place/?q=place_id:ChIJEVf-P2wXrjsRw55I9BQFapw,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
17152,ChIJrYJvYiEZrjsREP3p5HBZ5Ic,Armour Fitness Gym,13.094996452331545,77.58321380615234,0x3bae1921626f82ad:0x87e45970e4e9fd10,N_A,N_A,209,4.800000190734863,https://www.google.com/maps/place/?q=place_id:ChIJrYJvYiEZrjsREP3p5HBZ5Ic,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
17600,ChIJeZkgEgcZrjsR8NvrywCzrVo,THE FITNESS CLUB,13.090487480163574,77.60225677490234,0x3bae190712209979:0x5aadb300cbebdbf0,N_A,N_A,105,5.0,https://www.google.com/maps/place/?q=place_id:ChIJeZkgEgcZrjsR8NvrywCzrVo,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
18045,ChIJnyb6BYkYrjsR2Z9lbHicWH0,Victory Gym,13.10348415374756,77.57583618164062,0x3bae188905fa269f:0x7d589c786c659fd9,N_A,N_A,77,4.800000190734863,https://www.google.com/maps/place/?q=place_id:ChIJnyb6BYkYrjsR2Z9lbHicWH0,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
18046,ChIJWf6ciiEYrjsRUXCXaPMBqDE,Yug Yoga/Adityaa Fitness World,13.064820289611816,77.58382415771484,0x3bae18218a9cfe59:0x31a801f368977051,N_A,N_A,62,4.699999809265137,https://www.google.com/maps/place/?q=place_id:ChIJWf6ciiEYrjsRUXCXaPMBqDE,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
18106,ChIJQ8f9CdAXrjsRC6xWPsVjjUs,Akshar Yoga,13.047855377197266,77.57904815673828,0x3bae17d009fdc743:0x4b8d63c53e56ac0b,aksharyoga,Akshar Yoga,1,5.0,https://www.google.com/maps/place/?q=place_id:ChIJQ8f9CdAXrjsRC6xWPsVjjUs,gmaps_v2,gym_fitness,leisure,yoga,1687847039,primary_competitor
18212,ChIJk3beL3QXrjsR8tE6y09B9cY,Guru Fitness Centre,13.040743827819824,77.61151123046875,0x3bae17742fde7693:0xc6f5414fcb3ad1f2,N_A,N_A,233,4.800000190734863,https://www.google.com/maps/place/?q=place_id:ChIJk3beL3QXrjsR8tE6y09B9cY,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
18306,ChIJXwhC32kZrjsRDqi5GIrz5to,Gold's Gym Yelahanka,13.099428176879885,77.58919525146484,0x3bae1969df42085f:0xdae6f38a18b9a80e,goldsgym,Gold's Gym India,187,3.900000095367432,https://www.google.com/maps/place/?q=place_id:ChIJXwhC32kZrjsRDqi5GIrz5to,gmaps_v2,gym_fitness,leisure,N_A,1687847039,primary_competitor
18505,ChIJPc-XbTEYrjsRh2owoWqfbgQ,MS Fitness Club,13.0728759765625,77.60077667236328,0x3bae18316d97cf3d:0x46e9f6aa1306a87,N_A,N_A,166,4.400000095367432,https://www.google.com/maps/place/?q=place_id:ChIJPc-XbTEYrjsRh2owoWqfbgQ,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
18515,ChIJIa9FeNwZrjsRz100AN_HHpU,BBMP Public Park,13.067009925842283,77.6250991821289,0x3bae19dc7845af21:0x951ec7df00345dcf,N_A,N_A,425,4.199999809265137,https://www.google.com/maps/place/?q=place_id:ChIJIa9FeNwZrjsRz100AN_HHpU,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
18527,ChIJ_xPGi6sZrjsRH1eaXCHjRbw,The Fit Nation,13.063803672790527,77.59144592285156,0x3bae19ab8bc613ff:0xbc45e3215c9a571f,N_A,N_A,312,4.099999904632568,https://www.google.com/maps/place/?q=place_id:ChIJ_xPGi6sZrjsRH1eaXCHjRbw,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
18551,ChIJb2v7d4UXrjsRkQcKwlN2Bd0,Gryphon Fitness,13.04930591583252,77.59716796875,0x3bae178577fb6b6f:0xdd057653c20a0791,N_A,N_A,58,4.400000095367432,https://www.google.com/maps/place/?q=place_id:ChIJb2v7d4UXrjsRkQcKwlN2Bd0,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
18638,ChIJcdf6D0EYrjsRwQoWTp7yEUk,SWAMI VIVEKANANDA YOGA RESEARCH.,13.084760665893556,77.58870697021484,0x3bae18410ffad771:0x4911f29e4e160ac1,N_A,N_A,62,4.699999809265137,https://www.google.com/maps/place/?q=place_id:ChIJcdf6D0EYrjsRwQoWTp7yEUk,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
18671,ChIJk3_1EqMZrjsRoau3y3ukmkM,"Cult Yelahanka - Gyms in Yelahanka, Bangalore",13.098272323608398,77.58441925048828,0x3bae19a312f57f93:0x439aa47bcbb7aba1,cult,Cult.fit,119,4.300000190734863,https://www.google.com/maps/place/?q=place_id:ChIJk3_1EqMZrjsRoau3y3ukmkM,gmaps_v2,gym_fitness,leisure,N_A,1687847039,primary_competitor
