id,name,lat,lng,cid,number_of_votes,ratings,created_at,date,number_of_reviews,reviews_per_day,wkt
ChIJZ0FegEs9rjsRZFR-C-hVwqQ,Orion Mall,13.011023,77.55471519999999,0x3bae3d4b805e4167:0xa4c255e80b7e5464,183294,4.5,1706081213,1674390777.0,183294.0,499.7281072434598,"POLYGON ((77.55455350014815 13.012127190197445, 77.55567470014815 13.012111490197444, 77.55568430568177 13.012110892529742, 77.55569380927693 13.012109374253813, 77.55570312290804 13.012106949432454, 77.55571216030897 13.01210364052521, 77.5557208377722 13.012099478180327, 77.55572907492402 13.012094500950898, 77.55573679546907 13.012088754937752, 77.55574392789697 13.012082293362466, 77.55575040614468 13.0120751760744, 77.55575617020844 13.012067468996356, 77.55576116669945 13.012059243513974, 77.5557653493385 13.012050575814536, 77.5557686793845 13.012041546181296, 77.55577112599343 13.012032238249859, 77.55577266650394 13.012022738233528, 77.55577328664728 13.012013134124764, 77.55581078664729 13.009718634124765, 77.55581047518817 13.00970894662399, 77.55580922733368 13.009699334780397, 77.55580705480679 13.00968988889214, 77.55580397801721 13.009680697698313, 77.55580002586976 13.009671847545292, 77.55579523549274 13.009663421575551, 77.5557896518892 13.009655498946595, 77.55578332751412 13.009648154087305, 77.55577632178165 13.009641455998725, 77.55576870050692 13.009635467605833, 77.55576053528773 13.009630245166393, 77.55575190283199 13.009625837742444, 77.555742884237 13.00962228673939, 77.55573356422771 13.009619625517013, 77.5557240303606 13.00961787907608, 77.55571437220128 13.009617063823477, 77.55454497220128 13.009575263823477, 77.55453490830948 13.009575410932692, 77.55452491018082 13.009576568940677, 77.55451507909989 13.0095787261164, 77.55450551465904 13.009581860606902, 77.55449631374948 13.009585940658678, 77.55448756957968 13.009590924939351, 77.5544793707312 13.009596762956386, 77.55447180026128 13.009603395568591, 77.5544649348615 13.009610755585243, 77.55445884408078 13.009618768446755, 77.55445358962092 13.009627352979987, 77.55444922471145 13.009636422220563, 77.55444579357045 13.009645884293846, 77.55444333095662 13.009655643345667, 77.5544418618171 13.009665600513358, 77.55444140103481 13.009675654927264, 77.5544521010348 13.012027654927264, 77.55445263322335 13.01203751311511, 77.55445413488565 13.012047270784022, 77.55445659138543 13.012056832828836, 77.55445997877992 13.012066106051087, 77.55446426405314 13.01207500006737, 77.5544694054378 13.012083428190293, 77.55447535282231 13.012091308273398, 77.55448204823925 13.0120985635118, 77.55448942643034 13.012105123190807, 77.55449741548247 13.012110923375129, 77.5545059375287 13.012115907532058, 77.55451490950712 13.012120027082467, 77.55452424397045 13.012123241874296, 77.55453384993841 13.0121255205739, 77.5545436337844 13.01212684097146, 77.55455350014815 13.012127190197445))"
ChIJuzGXhU0UrjsRCRsq7sQj5Xs,Nexus Mall Koramangala,12.9347766,77.6117781,0x3bae144d859731bb:0x7be523c4ee2a1b09,131493,4.4,1706081213,1660854809.0,131494.0,251.2027089308272,"POLYGON ((77.61171273612247 12.935463783047162, 77.61219023612247 12.934590683047162, 77.61219446582011 12.934581971973872, 77.61219783312539 12.93457289263495, 77.612200306462 12.934563530170212, 77.61220186263672 12.934553972374427, 77.61220248705679 12.934544308874047, 77.61220217386683 12.93453463028675, 77.61220092600372 12.934525027371688, 77.61219875516908 12.93451559017841, 77.61219568171948 12.934506407202441, 77.61219173447566 12.934497564555434, 77.61218695045211 12.934489145157661, 77.61218137451017 12.934481227960461, 77.61217505893718 12.934473887205879, 77.61216806295626 12.934467191730473, 77.61216045217091 12.934461204319822, 77.61215229794985 12.934455981119752, 77.61214367675778 12.934451571109852, 77.6117573686344 12.934277017068915, 77.61125622630394 12.933730139418984, 77.61124923350162 12.933723224233733, 77.61124159525907 12.933717029371177, 77.61123338545268 12.933711614747452, 77.6112246834869 12.933707032732293, 77.61121557352635 12.93370332764253, 77.61120614368173 12.93370053531344, 77.61119648515762 12.933698682752176, 77.61118669137036 12.933697787876538, 77.61117685704455 12.93369785934168, 77.6111670772969 12.933698896456395, 77.61115744671618 12.933700889189808, 77.6111480584485 12.933703818268386, 77.61113900329632 12.933707655362353, 77.61113036884021 12.933712363359692, 77.61112223859183 12.933717896725092, 77.61039533859183 12.934266796725092, 77.61038796380686 12.93427294305615, 77.61038121238975 12.934279768245244, 77.61037514656488 12.93428720938813, 77.61036982223779 12.934295197903632, 77.61036528848005 12.934303660165728, 77.610361587077 12.934312518182116, 77.61035875214253 12.934321690313029, 77.61035680980478 12.93433109202367, 77.61035577796527 12.934340636663325, 77.61035566613394 12.934350236263978, 77.61035647534148 12.93435980235106, 77.61035819812983 12.934369246758887, 77.61036081862095 12.934378482443227, 77.61036431266312 12.93438742428354, 77.61036864805357 12.934395989867504, 77.61037378483522 12.934404100250552, 77.61093968483523 12.935209300250552, 77.61094524674343 12.93521649498327, 77.61095143925843 12.93522315469494, 77.61095821116878 12.935229224310406, 77.61096550647144 12.935234653634554, 77.610973264835 12.935239397767416, 77.61098142209855 12.935243417475489, 77.61158492209854 12.935507417475488, 77.61159415908656 12.935510925380724, 77.61160369716623 12.935513504602108, 77.61161344321981 12.935515129959384, 77.61162330209918 12.935515785584624, 77.61163317755468 12.93551546507713, 77.61164297317491 12.93551417156593, 77.61165259332779 12.935511917679236, 77.61166194409434 12.93550872542114, 77.61167093418548 12.935504625956815, 77.61167947583337 12.93549965930824, 77.61168748564816 12.93549387396349, 77.61169488543213 12.935487326403349, 77.61170160294319 12.93548008054991, 77.61170757260001 12.935472207142519, 77.61171273612247 12.935463783047162))"
ChIJoRKfACMWrjsRrWqiP9PBT5Y,Mantri Square Mall,12.9916302,77.5711719,0x3bae1623009f12a1:0x964fc1d33fa26aad,144046,4.4,1706081213,1653817374.0,144047.0,238.12974014404108,"POLYGON ((77.56961331170093 12.99219738364626, 77.56985471170094 12.99241168364626, 77.56986258291997 12.99241799100655, 77.56987104948522 12.992423473356, 77.56988002525881 12.9924280749178, 77.56988941892223 12.992431748876173, 77.5698991349054 12.99243445785268, 77.56990907435899 12.99243617428649, 77.56991913616011 12.992436880714804, 77.5715177361601 12.992468280714805, 77.57152770399422 12.99246797916571, 77.5715375922297 12.992466686320778, 77.57154730252938 12.992464415037178, 77.57155673832563 12.99246118790252, 77.57156580578074 12.99245703701022, 77.57157441472008 12.992452003640343, 77.57158247952891 12.992446137849072, 77.57158992000383 12.992439497970908, 77.5715966621503 12.992432150038542, 77.57160263891856 12.99242416712617, 77.5716077908705 12.992415628622776, 77.57161206677063 12.992406619442624, 77.5716154240957 12.992397229180792, 77.57161782945758 12.992387551222164, 77.57161925893526 12.992377681812734, 77.57175865893527 12.990898381812732, 77.57175909987477 12.990888841733877, 77.57175862874008 12.990879303098529, 77.57175724982832 12.990869852906226, 77.5717549757162 12.990860577349839, 77.57175182714535 12.99085156102943, 77.57174783283307 12.990842886180634, 77.57174302921052 12.990834631924603, 77.57173746009036 12.990826873546371, 77.57173117626715 12.990819681808192, 77.57172423505409 12.990813122304134, 77.57171669976027 12.990807254861814, 77.57170863911327 12.990802132996727, 77.57170012663222 12.990797803424138, 77.5716912399574 12.990794305633015, 77.57168206014195 12.990791671525843, 77.57167267091272 12.990789925127665, 77.57166315790654 12.990789082366948, 77.57076195790654 12.990752482366949, 77.57075187861308 12.990752581450122, 77.5707418604981 12.990753694709468, 77.57073200534764 12.99075581083405, 77.57072241329195 12.990758908323626, 77.57071318178822 12.990762955707089, 77.57070440463035 12.990767911862225, 77.57069617099599 12.990773726433519, 77.57068856454049 12.990780340343779, 77.57068166254696 12.99078768639437, 77.56960346254695 12.99205788639437, 77.56959756559652 12.99206555668517, 77.56959243748477 12.992073760943521, 77.56958812621461 12.99208242237151, 77.56958467214271 12.992091459891775, 77.56958210760173 12.99210078890645, 77.56958045659768 12.992110322089069, 77.56957973458516 12.992119970202001, 77.56957994832275 12.992129642931785, 77.56958109580972 12.992139249734526, 77.56958316630472 12.992148700683455, 77.56958614042641 12.992157907310713, 77.56958999033479 12.992166783435465, 77.5695946799919 12.992175245970632, 77.56960016549907 12.992183215700633, 77.56960639550792 12.99219061802291, 77.56961331170093 12.99219738364626))"
ChIJcToFoO4RrjsRiNp1K-jl9oE,Nexus Shantiniketan Mall,12.989536,77.7281015,0x3bae11eea0053a71:0x81f6e5e82b75da88,68276,4.5,1706081213,1671622255.0,68277.0,171.19050436754355,"POLYGON ((77.72763860657926 12.990380990107184, 77.72893950657925 12.990362690107185, 77.72894915463681 12.990362087096772, 77.7289586993903 12.990360555327495, 77.7289680516453 12.990358109113526, 77.72897712400625 12.990354771314403, 77.7289858316932 12.9903505731214, 77.72899409333397 12.990345553766064, 77.72900183172467 12.990339760153583, 77.72900897455109 12.990333246424475, 77.72901545506451 12.990326073448651, 77.72902121270539 12.990318308256592, 77.72902619366938 12.990310023412958, 77.72903035141005 12.990301296338485, 77.72903364707385 12.99029220858649, 77.7290360498633 12.99028284508078, 77.72903753732461 12.990273293322037, 77.7290380955577 12.990263642570143, 77.72903771934594 12.990253983010062, 77.72892771934595 12.988996883010062, 77.7289263790002 12.988987127368366, 77.72892408565212 12.988977550854065, 77.72892086154008 12.988968246329728, 77.72891673792799 12.988959304020463, 77.72891175480216 12.988950810639015, 77.72890596048346 12.988942848544912, 77.72889941115889 12.988935494945844, 77.72889217033664 12.988928821148978, 77.72888430823026 12.988922891869501, 77.72887590107791 12.988917764603087, 77.72886703040294 12.988913489068363, 77.72885778222347 12.988910106724791, 77.72884824621823 12.988907650370644, 77.72883851485699 12.988906143824957, 77.72882868250383 12.988905601696569, 77.7288188445022 12.988906029242443, 77.72880909625027 12.98890742231671, 77.72724269625027 12.98921062231671, 77.72723289184003 12.989213039413537, 77.72722338118321 12.989216432969739, 77.72721426125881 12.989220768381621, 77.72720562506166 12.989226001441503, 77.727197560654 12.989232078788492, 77.72719015026767 12.9892389384526, 77.72718346946552 12.989246510486643, 77.72717758637086 12.989254717679485, 77.72717256097292 12.989263476343352, 77.7271684445151 12.989272697167184, 77.72716527897244 12.989282286127333, 77.72716309662358 12.989292145446305, 77.7271619197217 12.98930217458979, 77.72716176026749 12.9893122712918, 77.72716261988693 12.989322332597458, 77.72716448981456 12.98933225591282, 77.72733348981455 12.99003265591282, 77.72733642459099 12.990042548871887, 77.72734036324546 12.990052086720322, 77.72734526383779 12.990061167895727, 77.72735107418471 12.99006969569852, 77.72755757418471 12.99034149569852, 77.72756357111548 12.9903486667375, 77.72757021146683 12.990355246457305, 77.72757743721071 12.990361177359752, 77.72758518520358 12.990366407616477, 77.72759338773803 12.990370891521845, 77.72760197313458 12.990374589892363, 77.72761086636808 12.990377470409088, 77.72761998972324 12.990379507900055, 77.7276292634738 12.990380684560247, 77.72763860657926 12.990380990107184))"
ChIJlb8QkIwXrjsRGUxSwTzIMhQ,Lulu Mall,12.9818195,77.5631172,0x3bae178c9010bf95:0x1432c83cc1524c19,39828,4.4,1706081213,1680948649.0,39828.0,136.9195439032802,"POLYGON ((77.56289552267329 12.982497418607135, 77.56378872267328 12.982251718607136, 77.56379759410665 12.982248826772718, 77.56380615738108 12.982245120647116, 77.56381433794043 12.982240632497726, 77.56382206456061 12.982235401400635, 77.56382926996977 12.982229472900412, 77.56420206996977 12.981892372900411, 77.56420928429836 12.981885146568377, 77.56421572409121 12.981877222208501, 77.56422132220295 12.981868682445237, 77.56422602026404 12.98185961631963, 77.56422976928951 12.981850118360923, 77.5642325301896 12.981840287600917, 77.56423427417741 12.981830226541424, 77.56423498306899 12.9818200400855, 77.56425908306899 12.9805105400855, 77.56425876326283 12.980500500363366, 77.56425743787133 12.980490543374168, 77.56425512026746 12.980480769582233, 77.56425183383544 12.980471277603455, 77.56424761173483 12.980462163210282, 77.56424249656588 12.980453518365392, 77.5642365399398 12.980445430293793, 77.56422980195791 12.980437980602753, 77.56422235060532 12.980431244458384, 77.56421426106488 12.980425289827235, 77.56420561495871 12.98042017679052, 77.56419649952451 12.98041595693791, 77.5641870067355 12.980412672846995, 77.56417723237226 12.9804103576537, 77.56416727505649 12.980409034717924, 77.5628932750565 12.980304534717925, 77.56288361027143 12.980304211097073, 77.56287395941725 12.980304822500456, 77.56286441274176 12.980306363210671, 77.56285505951863 12.980308818820104, 77.56284598721244 12.980312166365666, 77.56283728066089 12.980316374543516, 77.56282902128137 12.98032140400181, 77.56282128630966 12.98032720770867, 77.56281414807763 12.980333731392012, 77.5628076733369 12.980340914047042, 77.56280192263459 12.980348688506744, 77.56279694974712 12.980356982069965, 77.56279280117735 12.980365717181277, 77.56278951571971 12.980374812156203, 77.56278712409747 12.980384181945087, 77.56278564867532 12.98039373892841, 77.56278510325036 12.980403393736143, 77.56276900325037 12.982400193736142, 77.56276939724313 12.982409904539443, 77.56277073203304 12.98241953123498, 77.56277299501237 12.982428982893863, 77.56277616480614 12.982438170240515, 77.56278021147409 12.982447006495917, 77.56278509679346 12.98245540819728, 77.56279077461998 12.98246329598639, 77.5627971913238 12.982470595359189, 77.56280428629596 12.982477237369503, 77.56281199252098 12.98248315928027, 77.56282023720973 12.982488305156119, 77.5628289424871 12.98249262639172, 77.56283802612742 12.982496082170869, 77.56284740233124 12.982498639852029, 77.5628569825357 12.982500275276639, 77.56286667625103 12.982500972997308, 77.56287639191532 12.98250072642372, 77.56288603775933 12.982499537884884, 77.56289552267329 12.982497418607135))"
ChIJCYgAwiwVrjsRWk69HWg1HG8,Royal Meenakshi Mall,12.8757,77.595766,0x3bae152cc2008809:0x6f1c35681dbd4e5a,72310,4.3,1706081213,1613791409.0,72310.0,67.69527866805308,"POLYGON ((77.59527392422098 12.876524245904555, 77.59673842422097 12.876419645904555, 77.59674819575635 12.876418462332651, 77.59675780359929 12.876416323851949, 77.59676715466544 12.876413251180848, 77.59677615835817 12.87640927408854, 77.59678472744632 12.87640443110658, 77.59679277890936 12.876398769155598, 77.59680023474169 12.876392343090693, 77.59680702270842 12.876385215169986, 77.59681307704518 12.876377454451449, 77.59681833909531 12.876369136123824, 77.59682275787806 12.87636034077819, 77.59682629058264 12.876351153627146, 77.59682890298288 12.876341663679257, 77.59683056976884 12.876331962876689, 77.59683127479211 12.876322145204455, 77.59683101122214 12.876312305779837, 77.5968297816125 12.87630253993087, 77.59677078161249 12.87596783993087, 77.59676873993328 12.875958754976503, 77.59676586207307 12.875949899313316, 77.59676217298433 12.8759413497242, 77.59675770465321 12.875933180338244, 77.59675249582233 12.875925461987983, 77.59674659165478 12.87591826159526, 77.59674004334255 12.87591164159097, 77.59673290766268 12.875905659373759, 77.596725246485 12.875900366812356, 77.595711346485 12.875267566812356, 77.5957031736018 12.8752629834211, 77.59569460759073 12.875259185138663, 77.59568572366435 12.875256205315289, 77.59567659982665 12.875254070114867, 77.5956673161881 12.875252798285207, 77.59565795426231 12.875252400993416, 77.59564859625026 12.875252881727855, 77.59506389625025 12.875310481727855, 77.5950542367328 12.875311912379832, 77.59504476280354 12.87531427832711, 77.59503556479923 12.875317557009662, 77.59502673042567 12.875321717164251, 77.5950183439213 12.875326719122537, 77.59501048525398 12.875332515189326, 77.59500322935848 12.87533905009736, 77.594996645422 12.8753462615343, 77.59499079622437 12.875354080736903, 77.59498573753945 12.875362433146691, 77.59498151760336 12.875371239120899, 77.59497817665446 12.875380414691879, 77.59497574654972 12.875389872367775, 77.59497425046094 12.875399521966767, 77.59497370265376 12.875409271476993, 77.5949741083517 12.875419027933908, 77.59497546368632 12.875428698306726, 77.59516856368633 12.876443198306726, 77.59517083451139 12.876452618054627, 77.5951740063401 12.876461773806898, 77.59517804939267 12.876470579601746, 77.59518292570958 12.87647895276306, 77.59518858950791 12.876486814676655, 77.59519498761124 12.876494091528365, 77.59520205994886 12.876500714997064, 77.59520974011978 12.876506622896136, 77.59521795601621 12.876511759757323, 77.59522663050049 12.876516077351507, 77.59523568212936 12.876519535141535, 77.59524502591862 12.876522100662804, 77.59525457414101 12.87652374982807, 77.5952642371499 12.876524467153603, 77.59527392422098 12.876524245904555))"
ChIJ96tpUHcWrjsRit-gsot2OOE,UB City,12.9716428,77.5959367,0x3bae16775069abf7:0xe138768bb2a0df8a,63847,4.5,1706081213,1610008850.0,63847.0,57.419018620370565,"POLYGON ((77.59578859454153 12.972676169667333, 77.59711369454152 12.972216169667334, 77.59712273853312 12.97221252696266, 77.59713138479474 12.97220802082889, 77.59713955113233 12.972202694102723, 77.59714715991419 12.972196597421659, 77.59715413880889 12.972189788742623, 77.5971604214729 12.97218233279102, 77.59716594818128 12.972174300445422, 77.59717066639546 12.972165768063782, 77.59717453126261 12.972156816757549, 77.59717750604213 12.972147531620596, 77.59717956245484 12.9721380009203, 77.59718068095187 12.97212831525843, 77.5971808509004 12.972118566709877, 77.59718007068489 12.972108847947345, 77.59717834772228 12.972099251360385, 77.59717569839161 12.972089868177113, 77.5971721478782 12.972080787596957, 77.5969307478782 12.971542387596957, 77.59692612403356 12.971533337245766, 77.59692060545969 12.971524802953851, 77.59691424915731 12.971516872870883, 77.59690712077986 12.971509628905732, 77.59689929395553 12.971503145880444, 77.59689084952663 12.971497490757407, 77.59688187471465 12.971492721947705, 77.59687246221935 12.9714888887078, 77.59686270926126 12.971486030630764, 77.59678630202158 12.971467799243003, 77.59666250881065 12.971231148315292, 77.59665766275386 12.971222875819763, 77.59665204676281 12.971215105421223, 77.59664571245885 12.971207908543972, 77.59663871806592 12.97120135134059, 77.59663112787537 12.971195494083872, 77.59662301165507 12.971190390612815, 77.59661444400805 12.971186087837731, 77.5966055036868 12.971182625309066, 77.59659627286938 12.97118003485384, 77.59658683640399 12.97117834028312, 77.5965772810292 12.971177557173135, 77.59656769457649 12.971177692722112, 77.59655816516309 12.971178745684105, 77.59654878038187 12.971180706380451, 77.59653962649628 12.971183556788736, 77.59530042649628 12.971635656788736, 77.59529132524008 12.971639496558316, 77.59528264722047 12.971644215527501, 77.59527447711467 12.971649767650147, 77.59526689464388 12.971656098750474, 77.59525997379534 12.9716631470517, 77.5952537821004 12.971670843778831, 77.59524837997559 12.971679113829746, 77.59524382013304 12.971687876508025, 77.59524014706619 12.971697046310346, 77.59523739661563 12.97170653376081, 77.59523559561931 12.971716246284014, 77.5952347616508 12.971726089108364, 77.59523490284766 12.971735966190833, 77.59523601783215 12.971745781154118, 77.59523809572461 12.971755438227047, 77.59524111624965 12.971764843179098, 77.59524504993401 12.97177390423986, 77.59566614993402 12.97262600423986, 77.59567083025624 12.972634427057995, 77.59567629951643 12.972642360309187, 77.59568250693289 12.97264973033377, 77.59568939487022 12.972656468701588, 77.5956968993744 12.972662512847387, 77.59570495076666 12.972667806651703, 77.59571347429039 12.972672300961946, 77.5957223908053 12.972675954048768, 77.59573161752219 12.972678731993518, 77.59574106877163 12.972680609003183, 77.59575065679948 12.972681567649857, 77.59576029258157 12.972681599032581, 77.59576988665037 12.972680702859964, 77.59577934992564 12.972678887452908, 77.59578859454153 12.972676169667333))"
ChIJtV2JQAsRrjsRp4HCbaob4R0,VR Bengaluru,12.9962927,77.6953702,0x3bae110b40895db5:0x1de11baa6dc281a7,66100,4.4,1706081213,1578324844.0,66100.0,44.702585434312084,"POLYGON ((77.6950450383194 12.997120163877236, 77.6961608383194 12.996869263877237, 77.6961700840804 12.99686671343657, 77.69617904298266 12.996863288978277, 77.69618763261427 12.99685902200356, 77.69619577396018 12.996853951763825, 77.6962033921291 12.99684812489962, 77.6962104170424 12.996841595011595, 77.69621678407867 12.996834422167439, 77.69622243466831 12.99682667234931, 77.69622731683219 12.996818416846896, 77.69623138565986 12.996809731601607, 77.69623460372262 12.996800696508007, 77.6962369414179 12.996791394678883, 77.6962383772415 12.996781911680685, 77.69623889798545 12.996772334746415, 77.6962384988595 12.996762751973188, 77.69623718353516 12.996753251511825, 77.69623496411192 12.996743920755971, 77.69585406411193 12.99542672075597, 77.69585095078769 12.995417619774036, 77.69584697747663 12.995408860010388, 77.69584218094009 12.995400522510936, 77.69583660555593 12.995392684414774, 77.69583030290798 12.995385418240486, 77.69582333130876 12.995378791215197, 77.69581575525994 12.995372864652582, 77.69580764485566 12.995367693385587, 77.6957990751339 12.995363325259119, 77.69579012538229 12.99535980068737, 77.69578087840452 12.99535715227991, 77.69577141975424 12.995355404539982, 77.6957618369435 12.995354573637789, 77.69575221863313 12.995354667260894, 77.69574265381233 12.99535568454309, 77.69573323097548 12.995357616072416, 77.69572403730326 12.995360443978232, 77.69466723730326 12.995742043978233, 77.69465808198618 12.99574587341365, 77.6946493513143 12.995750591440247, 77.69464113127111 12.99575615159282, 77.69463350281124 12.995762499112537, 77.69462654106313 12.995769571486226, 77.69462031458912 12.995777299062036, 77.69461488471026 12.995785605735392, 77.69461030490243 12.995794409698517, 77.69460662026957 12.995803624246102, 77.69460386709956 12.995813158629222, 77.69460207250685 12.99582291894907, 77.69460125416538 12.995832809081717, 77.69460142013453 12.995842731624776, 77.69460256877976 12.995852588856673, 77.69460468878871 12.995862283699042, 77.69492658878872 12.997048783699041, 77.69492952321532 12.997057861669973, 77.69493330938172 12.997066618687718, 77.69493791282605 12.997074975045535, 77.69494329164759 12.997082854683512, 77.69494939688806 12.997090185880854, 77.69495617297733 12.9970969019087, 77.69496355823914 12.997102941637483, 77.69497148545253 12.99710825009334, 77.69497988246367 12.997112778958488, 77.69498867284264 12.997116487011006, 77.69499777657902 12.997119340500047, 77.69500711081022 12.997121313453036, 77.6950165905757 12.99712238791207, 77.69502612959023 12.997122554097379, 77.6950356410293 12.997121810496338, 77.6950450383194 12.997120163877236))"
ChIJxTyv4WgXrjsRiqVsTY7LFBk,Elements Mall,13.0450957,77.62689639999999,0x3bae1768e1af3cc5:0x1914cb8e4d6ca58a,59302,4.1,1706081213,1580532105.0,59302.0,40.81026844093548,"POLYGON ((77.62681588331112 13.045914426039191, 77.62735228331113 13.045391826039191, 77.62735878608446 13.045384856270529, 77.62736459569393 13.045377299010836, 77.62736965935126 13.045369222928198, 77.62737393104615 13.045360701404919, 77.6273773719644 13.045351811870741, 77.62737995084053 13.045342635099296, 77.62738164424192 13.045333254474155, 77.62738243678169 13.045323755231184, 77.62738232125851 13.045314223684056, 77.62738129872207 13.045304746439966, 77.62737937846354 13.045295409612697, 77.6273765779311 13.04528629804015, 77.62737292257142 13.045277494513476, 77.62736844559848 13.045269079024807, 77.6273631876917 13.045261128040421, 77.62735719662642 13.045253713805934, 77.62688509662641 13.044723313805934, 77.62687816390364 13.044716260531938, 77.62687056837319 13.044709926557182, 77.62686238432794 13.044704373835108, 77.62685369181712 13.04469965667762, 77.62684457586333 13.044695821223858, 77.62683512563092 13.044692904988903, 77.62682543355385 13.044690936496831, 77.62681559443159 13.044689935001726, 77.62680570450192 13.04468991029934, 77.62679586049954 13.044690862631294, 77.62678615870993 13.0446927826827, 77.62677669402758 13.044695651673285, 77.62676755902778 13.044699441541072, 77.6267588430612 13.044704115216865, 77.62675063137982 13.044709626986826, 77.62635103137983 13.045007526986826, 77.6263436002214 13.045013644684484, 77.62633679165778 13.045020448492354, 77.62633066876916 13.045027875374279, 77.62632528828308 13.04503585652143, 77.62632070004888 13.045044317989808, 77.62631694657577 13.045053181385306, 77.62631406263905 13.045062364590043, 77.62631207495794 13.045071782523147, 77.62631100194794 13.045081347929031, 77.62631085355034 13.045090972185799, 77.62631163114 13.045100566126308, 77.62631332751269 13.045110040864294, 77.62631592695179 13.04511930861788, 77.62631940537395 13.045128283522866, 77.62665470537395 13.045883383522867, 77.62665902919343 13.04589198002281, 77.62666415924703 13.045900121139221, 77.62667004803288 13.045907731489246, 77.62667664102364 13.045914740604678, 77.62668387717136 13.045921083584451, 77.62669168947276 13.045926701695604, 77.62670000558968 13.045931542917108, 77.62670874851884 13.045935562421564, 77.62671783730487 13.045938722990279, 77.62672718778998 13.045940995357894, 77.62673671339311 13.045942358483371, 77.62674632591175 13.04594279974482, 77.62675593633855 13.045942315056369, 77.62676545568556 13.045940908906001, 77.62677479580816 13.045938594314, 77.62678387022127 13.04593539271238, 77.62679259490017 13.045931333746445, 77.62680088905847 13.04592645500028, 77.62680867589626 13.04592080164875, 77.62681588331112 13.045914426039191))"
ChIJ_-8q2gIZrjsR6r6ytflmnAc,The Galleria Mall,13.0946265,77.5947372,0x3bae1902da2aefff:0x79c66f9b5b2beea,36763,4.4,1706081213,1609132406.0,36763.0,32.76289103794748,"POLYGON ((77.59459885030239 13.094877798709392, 77.59564495030239 13.094971798709391, 77.59565491337658 13.094972194865207, 77.5956648663758 13.094971596874204, 77.59567471034755 13.094970010681598, 77.59568434742327 13.09496745205728, 77.59569368179136 13.094963946439039, 77.59570262064972 13.094959528679658, 77.59571107512842 13.094954242700405, 77.59571896117322 13.094948141054374, 77.59572620038122 13.094941284403998, 77.59573272078036 13.094933740917952, 77.595738457545 13.09492558559341, 77.59574335364032 13.094916899510439, 77.59574736038945 13.094907769025886, 77.59575043795739 13.094898284914835, 77.59599183795738 13.094004884914836, 77.5959938903592 13.093995531439615, 77.59599503868888 13.093986024537342, 77.59599527241626 13.093976451386165, 77.59599458939806 13.093966899771745, 77.59599299589755 13.09395745728224, 77.5959905065271 13.093948210505141, 77.59598714411422 13.093939244233258, 77.59598293949216 13.09393064068717, 77.59597793121726 13.093922478761266, 77.59597216521533 13.093914833300287, 77.5959656943605 13.093907774413, 77.59595857799043 13.093901366829291, 77.59595088136213 13.093895669306612, 77.59594267505356 13.093890734091161, 77.59593403431644 13.093886606438788, 77.59592503838623 13.093883324200009, 77.59591576975545 13.093880917472902, 77.59445396975545 13.093575217472901, 77.5944440166334 13.093573654535438, 77.59443395675972 13.093573101043154, 77.5944238922496 13.093573562614399, 77.59441392526526 13.093575034563887, 77.59440415697898 13.093577501950238, 77.59439468654612 13.093580939727653, 77.5943856100986 13.093585313000142, 77.59437701976906 13.093590577375748, 77.59436900275573 13.093596679417155, 77.59436164043723 13.093603557184124, 77.59435500754657 13.093611140862219, 77.59434917141247 13.093619353471487, 77.59434419127605 13.093628111647856, 77.59434011768938 13.093637326489345, 77.59433699200237 13.093646904458483, 77.59433484594308 13.093656748331785, 77.59433370129558 13.093666758186638, 77.5943335696789 13.093676832415598, 77.5943737696789 13.094753132415597, 77.59437466474992 13.094763257100793, 77.59437658295809 13.094773238627722, 77.59437950448633 13.09478297387683, 77.5943833991522 13.094792362272864, 77.59438822671979 13.094801306823928, 77.59439393731526 13.094809715123507, 77.59440047194224 13.094817500305117, 77.59440776309123 13.094824581939733, 77.59441573543708 13.094830886866704, 77.59442430661716 13.094836349949578, 77.59443338808227 13.094840914749021, 77.59444288601141 13.094844534105912, 77.59445270228112 13.094847170628524, 77.59458680228113 13.094875970628525, 77.59459885030239 13.094877798709392))"
