"id_1","id_2","cid_1","cid_2","source_1","source_2","name_1","number_of_votes_1","created_at_1","name_2","number_of_votes_2","created_at_2","service_options_1","service_options_2","brand_id_1","brand_id_2"
"ChIJqYpJldQ9rjsRzut_iYATrjg","18499701","0x3bae3dd495498aa9:0x38ae1380897febce","18499701","gmaps_v2","zomato","Gulbarga Refreshments","98","1699615207","Gulbarga Refreshment","1781","1688639100","[]","[dining, delivery]",,"N_A"
"ChIJiy1MxNo9rjsRx58aQRRMvYg","19472944","0x3bae3ddac44c2d8b:0x88bd4c14411a9fc7","19472944","gmaps_v2","zomato","Thindi Park","85","1687847039","Thindi Park","53","1688639100","[]","[delivery]","nan","N_A"
"ChIJNcE_mdwXrjsRne52OJuWe6I","19840251","0x3bae17dc993fc135:0xa27b969b3876ee9d","19840251","gmaps_v2","zomato","Queens Restaurant","246","1699615207","Queens Restaurant","196","1688639100","[]","[dining, delivery]","queensrestaurant","N_A"
"ChIJG31s5AQRrjsRZA0yFkeA570","18737637","0x3bae1104e46c7d1b:0xbde7804716320d64","18737637","gmaps_v2","zomato","Cravingz","9","1699615207","Cravingz","15","1688639100","[]","[dining]",,"N_A"
"ChIJ3YtsWpg9rjsRRnspGSuJw-Q","18494073","0x3bae3d985a6c8bdd:0xe4c3892b19297b46","18494073","gmaps_v2","zomato","A1 Ambur Dum biriyani and parota centre","367","1699615207","A1 Ambur Dum Biryani And Parota Centre","11","1688639100","[]","[dining]",,"N_A"
"ChIJCZCXc94XrjsRPRPGYArUd0I","61136","0x3bae17de73979009:0x4277d40a60c6133d","61136","gmaps_v2","zomato","Tasty Corner","1","1687847039","Tasty Corner","14","1688639100","[]","[dining]","nan","N_A"
"ChIJfxbVW-AXrjsRSDeyL1ojsUg","18232664","0x3bae17e05bd5167f:0x48b1235a2fb23748","18232664","gmaps_v2","zomato","Delhi Mess","595","1687847039","Delhi Mess","24800","1688639100","[]","[dining, delivery]","nan","N_A"
"ChIJLcJBZNsXrjsRUq88KLK2bK0","60340","0x3bae17db6441c22d:0xad6cb6b2283caf52","60340","gmaps_v2","zomato","Auntie Fung's","1288","1699615207","Auntie Fung's","8629","1688639100","[]","[dining, delivery]","auntiefungs","zomato_auntie_fung's"
"ChIJQ7tC6689rjsRvpIcL25bhBE","20415252","0x3bae3dafeb42bb43:0x11845b6e2f1c92be","20415252","gmaps_v2","zomato","DONNE BIRYANI PALACE","400","1699615207","Donne Biryani Palace","4","1688639100","[]","[dining, delivery]",,"zomato_donne_biryani_palace"
"ChIJqTy7Yt8XrjsRi4vkjvKEAxA","57748","0x3bae17df62bb3ca9:0x100384f28ee48b8b","57748","gmaps_v2","zomato","Zam Zam Kabab House","338","1699615207","Zam Zam Kabab House","12200","1688639100","[]","[dining, delivery]",,"zomato_zam_zam_kabab_house"
"ChIJE52MZb49rjsRSE0xpcWDhmo","60430","0x3bae3dbe658c9d13:0x6a8683c5a5314d48","60430","gmaps_v2","zomato","Donne Biryani Mane","632","1699615207","Donne Biriyani Mane","718","1688639100","[]","[dining, delivery]",,"N_A"
"ChIJ-Qhk8BAWrjsRf34bNvGHWOQ","52711","0x3bae1610f06408f9:0xe45887f1361b7e7f","52711","gmaps_v2","zomato","Wood Rose","2","1687847039","Wood Rose","12","1688639100","[]","[dining]","nan","N_A"
"ChIJZ_OfsHg9rjsRs7jOTujsRjs","18618094","0x3bae3d78b09ff367:0x3b46ece84eceb8b3","18618094","gmaps_v2","zomato","Hatti Kaapi","1800","1687847039","Hatti Kaapi","1047","1688639100","[]","[dining, delivery]","hattikaapi","N_A"
"ChIJhxeetFcXrjsReIb5Ox_fdxs","19714445","0x3bae1757b49e1787:0x1b77df1f3bf98678","19714445","gmaps_v2","zomato","Five Star Chicken","27","1699615207","Five Star Chicken","158","1688639100","[]","[dining, delivery]","fivestarchicken","zomato_five_star_chicken"
"ChIJFQEFv2UXrjsRyxVC9OkmerU","19038372","0x3bae1765bf050115:0xb57a26e9f44215cb","19038372","gmaps_v2","zomato","SANDWICHWALLAS","73","1687847039","Sandwichwallas","374","1688639100","[]","[delivery]","nan","N_A"
"ChIJUQzByLY9rjsRrlvA0y1JesQ","19368460","0x3bae3db6c8c10c51:0xc47a492dd3c05bae","19368460","gmaps_v2","zomato","Domino's Pizza","496","1699615207","Domino's Pizza","4140","1688639100","[]","[dining, delivery]","dominos","zomato_domino's_pizza"
"ChIJtfxjrmE9rjsRdeqbwOg2XdQ","53255","0x3bae3d61ae63fcb5:0xd45d36e8c09bea75","53255","gmaps_v2","zomato","Naidu's Biryani Hut","751","1699615207","Naidu Biriyani Hut","98","1688639100","[]","[dining]","hellowcart","N_A"
"ChIJU0IQ13U9rjsRk-ajR_dY03M","18996473","0x3bae3d75d7104253:0x73d358f747a3e693","18996473","gmaps_v2","zomato","Five Star Chicken","62","1699615207","Five Star Chicken","247","1688639100","[]","[dining, delivery]","fivestarchicken","zomato_five_star_chicken"
"ChIJq6qqqpY9rjsR1aQuiUuu2Xw","51488","0x3bae3d96aaaaaaab:0x7cd9ae4b892ea4d5","51488","gmaps_v2","zomato","Nisarga","2531","1699615207","Nisarga","2987","1688639100","[]","[dining, delivery]","nisargarestaurants","N_A"
"ChIJdZTL27k9rjsRxf9eIG8IKxY","19060352","0x3bae3db9dbcb9475:0x162b086f205effc5","19060352","gmaps_v2","zomato","Five star chicken","53","1699615207","Five Star Chicken","8","1688639100","[]","[dining, delivery]","fivestarchicken","zomato_five_star_chicken"
"ChIJsbjYAiMWrjsRyaCveLD3yJw","56479","0x3bae162302d8b8b1:0x9cc8f7b078afa0c9","56479","gmaps_v2","zomato","Krispy Kreme","77","1687847039","Krispy Kreme","1391","1688639100","[]","[dining, delivery]","krispykremeindia","zomato_krispy_kreme"
"ChIJkyIwMSYWrjsRdrp4aJ6Z7xQ","18333169","0x3bae162631302293:0x14ef999e6878ba76","18333169","gmaps_v2","zomato","Brahmins' Thatte Idli","6235","1699615207","Brahmins' Thatte Idli","5506","1688639100","[]","[delivery]","facebook","zomato_brahmins'_thatte_idli"
"ChIJJyL3_A8XrjsR12WD7qs8zdU","19051784","0x3bae170ffcf72227:0xd5cd3cabee8365d7","19051784","gmaps_v2","zomato","SREE UDUPI GRAND","53","1699615207","Sree Udupi Grand","52","1688639100","[]","[dining, delivery]",,"zomato_sree_udupi_grand"
"ChIJ1US3c98XrjsRfq7CtiEqf7M","59574","0x3bae17df73b744d5:0xb37f2a21b6c2ae7e","59574","gmaps_v2","zomato","Flavors of North","962","1699615207","Flavors of North","14100","1688639100","[]","[dining, delivery]","dotpe","zomato_flavors_of_north"
"ChIJw8PDi9wXrjsRJ8SGGaaFtrk","50687","0x3bae17dc8bc3c3c3:0xb9b685a61986c427","50687","gmaps_v2","zomato","McDonald's","6059","1699615207","McDonald's","19400","1688639100","[]","[dining, delivery]","mcdelivery","zomato_mcdonald's"
"ChIJsTqyNmc9rjsRpDmqvcxYiQc","19575514","0x3bae3d6736b23ab1:0x78958ccbdaa39a4","19575514","gmaps_v2","zomato","Nana's hyderabad Dum Biriyani","15","1699615207","Nana's Hyderabad Dum Biriyani","183","1688639100","[]","[dining, delivery]","business","N_A"
