id,bathrooms,bedrooms,price,name,lat,lng,type,desc,covered_area,carpet_area,trans_type,source
8a9fa9827ab34737017ab3dda49e5bf9,3.0,3.0,28000000.0,3 BHK Flat  In Adarsh Premia For Sale  In Banashankari,12.920393429011227,77.5615463558197,AP,,2048.0,1533.0,BUY,NoBroker
8a9fad8382729c61018272d1464727e1,2.0,3.0,10000000.0,3 BHK Flat  In Ds Max Serenity Nest For Sale  In Bommanahalli,12.909698698236598,77.62451555767213,AP,,1350.0,,BUY,NoBroker
8a9f9483874d0b3401874d5abe58201d,2.0,2.0,16500000.0,2 BHK Flat  In Esteem Kings Court For Sale  In Jp Nagar,12.901518,77.598373,AP,"Address:G304, Esteem kings court, JP nagar, Bangalore South, Bangalore.

Situated in JP nagar, Bangalore South, esteem kings court is a well planned society that offers a present living experience to it's residents. This 2bhk flat in South Bangalore is your opportunity to be a part of this community. The floor plan additionally contains 2 bedroom(s),2 bathrooms,2 balconies. All in all, the flat is spread over a super buildup area of 1568sqft. The residential building has 4 floors in total and the flat for sale is located on the 3rd floor. Moreover, the flat is currently under construction and possession is expected within 3 months.",1568.0,0.0,BUY,NoBroker
ff80818164131e50016416cfe2c079f4,3.0,3.0,5500000.0,3 BHK Flat  In Sanjana Sapphire For Sale  In Bommanahalli,12.894810947042942,77.61547457053491,AP,"The house is semi furnished with wardrobes,geyser,modular kitchen,tube lights, fans and electrical fittings.",1450.0,1000.0,BUY,NoBroker
8a9fea848a7ce6b1018a7f51a37f5454,2.0,3.0,9000000.0,3 BHK Flat  In Comforts Enclave For Sale  In Arekere,12.8853401706673,77.59534850674589,AP,Spacious 3 bed room flat with 1350 sq ft space. It is in first floor - is one of 8 flats + has own car parking space. Flat is in a quiet location and is very good for families with Good schools nearby. 1 on-site shower room and 1 bathroom. 2 x balcony. Kitchen has separate balcony which has space for drying clothes/washing machine. All balconies are made safe by grill.,1350.0,1334.0,BUY,NoBroker
8a9f00838af9403c018af975890e2922,2.0,2.0,7000000.0,2 BHK Flat  In Mahaveer Coral For Sale  In Mahaveer Coral,12.9001535,77.5899702,AP,"Corner flat, well lit throughout the day.",1130.0,904.0,BUY,NoBroker
8a9f8686708b0adf017094eaa3461020,2.0,2.0,7000000.0,2 BHK Flat  In Neha Nest Apartment For Sale  In Bommanahalli,12.910511,77.622577,AP,"Well designed 2 BHK apartment, 1050 sqft carpet area, is available in 19, 4th Main Rd, NGR Layout, Roopena Agrahara, Bommanahalli, Bengaluru, Karnataka 560068. It is ready to move. Possession is immediate. There are 2 bathrooms and 2 balconies.The property is on floor 2. Sale price is INR 7000000/- and is negotiable. Reserved parking is available for residents.",1050.0,0.0,BUY,NoBroker
8a9fa8827d042777017d04b973806340,2.0,2.0,7000000.0,2 BHK Flat  In Soham Elite For Sale  In Arekere,12.88334118387431,77.59201124310493,AP,,1050.0,,BUY,NoBroker
8a9fa2838c43d497018c4405c2621e22,2.0,3.0,8500000.0,3 BHK Flat  In Mayitri Enclave For Sale  In Jayanagar,12.919063759851952,77.58765030652285,AP,,1350.0,0.0,BUY,NoBroker
8a9fae82864b3fd701864b7d97bc1ec1,2.0,3.0,12000000.0,3 BHK Flat  In Bindiya Residency For Sale  In Jp Nagar,12.898725808912452,77.58581698222635,AP,,1900.0,1708.0,BUY,NoBroker
