Unnamed: 0,id,name,lat,lng,cid,brand_id,brand_name,number_of_votes,rating,place_url,source,category,top_category,type,created_at,competitor_type,date,number_of_reviews,url,reviews_per_day
1514,ChIJ0Qtan2kVrjsRAx29jZOQ-s0,Café Coffee Day,12.925966262817385,77.58389282226562,0x3bae15699f5a0bd1:0xcdfa90938dbd1d03,cafecoffeeday,Cafe Coffee Day,3461,4.0,https://www.google.com/maps/place/?q=place_id:ChIJ0Qtan2kVrjsRAx29jZOQ-s0,gmaps_v2,coffee_shop,food,N_A,1699615207,anchor_competitor,1322067926.0,3493.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300398237574630353!2y14842334485365464323!2m2!2i10!3sCAESB0VnTUlvaHM=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.7920343094723545
19787,ChIJWbrmeiAVrjsRzukNOpKWYP4,Third Wave Coffee,12.891694068908691,77.58390808105469,0x3bae15207ae6ba59:0xfe6096923a0de9ce,thirdwavecoffee,Third Wave Coffee,116,4.400000095367432,https://www.google.com/maps/place/?q=place_id:ChIJWbrmeiAVrjsRzukNOpKWYP4,gmaps_v2,coffee_shop,food,N_A,1687847039,anchor_competitor,1674118085.0,287.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300397923430480473!2y18329816038181300686!2m2!2i10!3sCAESB0VnTUltQUk=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.73001919884064
30027,ChIJ0_L7QrcVrjsRWsAhcbcvNgg,Stayfit HUB Fitness Center - Bannerghatta Main Road,12.886972427368164,77.59880065917969,0x3bae15b742fbf2d3:0x8362fb77121c05a,stayfitindia,Stayfit,1102,4.900000095367432,https://www.google.com/maps/place/?q=place_id:ChIJ0_L7QrcVrjsRWsAhcbcvNgg,gmaps_v2,gym_fitness,leisure,N_A,1687847039,primary_competitor,1553975084.0,1170.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300398571032408787!2y591712865969356890!2m2!2i10!3sCAESB0VnTUlpQWs=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.711222899523653
27111,ChIJu-XeJv0VrjsRrLjBRhnfz_w,Kanas Abacus online and Regular classes,12.931371688842772,77.59008026123047,0x3bae15fd26dee5bb:0xfccfdf1946c1b8ac,N_A,N_A,61,4.900000095367432,https://www.google.com/maps/place/?q=place_id:ChIJu-XeJv0VrjsRrLjBRhnfz_w,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor,1680329122.0,105.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300398871208453563!2y18217024317391222956!2m2!2i10!3sCAESBkVnSUlaQQ==!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.7010452496349721
30788,ChIJEYJ-pW0VrjsRT8l0kL-U_iU,JP Ngr 1st Phase Local Park,12.90777587890625,77.58146667480469,0x3bae156da57e8211:0x25fe94bf9074c94f,N_A,N_A,2184,4.300000190734863,https://www.google.com/maps/place/?q=place_id:ChIJEYJ-pW0VrjsRT8l0kL-U_iU,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor,1406463167.0,2235.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300398254857552401!2y2737789173971077455!2m2!2i10!3sCAESB0VnTUl0aEU=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.6706055988880557
26012,ChIJ3c_vnUcVrjsRyPrIX1khHkM,Skyfinch Sports Center,12.890406608581545,77.58381652832031,0x3bae15479defcfdd:0x431e21595fc8fac8,N_A,N_A,1436,4.199999809265137,https://www.google.com/maps/place/?q=place_id:ChIJ3c_vnUcVrjsRyPrIX1khHkM,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor,1501347837.0,1451.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300398091522002909!2y4836339717585304264!2m2!2i10!3sCAESB0VnTUlxZ3M=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.6652596829878125
17683,ChIJ1S5AAVsVrjsR6adRQhzFqT8,"Fitso JP Nagar The Sports Club, Multi-Sports",12.889991760253906,77.57056427001953,0x3bae155b01402ed5:0x3fa9c51c4251a7e9,getfitso,Fitso,1564,4.300000190734863,https://www.google.com/maps/place/?q=place_id:ChIJ1S5AAVsVrjsR6adRQhzFqT8,gmaps_v2,gym_fitness,leisure,N_A,1687847039,primary_competitor,1469327426.0,1613.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300398174792593109!2y4587414420615964649!2m2!2i10!3sCAESB0VnTUl5Z3c=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.6183865976368904
16546,ChIJQSMAQREVrjsRziPDefyBIrM,Café Coffee Day,12.906102180480955,77.59187316894531,0x3bae151141002341:0xb32281fc79c323ce,cafecoffeeday,Cafe Coffee Day,1967,4.199999809265137,https://www.google.com/maps/place/?q=place_id:ChIJQSMAQREVrjsRziPDefyBIrM,gmaps_v2,coffee_shop,food,N_A,1687847039,anchor_competitor,1412690150.0,2077.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300397858034557761!2y12908022403371836366!2m2!2i10!3sCAESB0VnTUlsaEE=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.6176432675105583
19815,ChIJ7Wh8LbMVrjsRKjsZ_UbwHjE,Starbucks coffee,12.891602516174316,77.59809875488281,0x3bae15b32d7c68ed:0x311ef046fd193b2a,starbucks,Starbucks,522,4.400000095367432,https://www.google.com/maps/place/?q=place_id:ChIJ7Wh8LbMVrjsRKjsZ_UbwHjE,gmaps_v2,coffee_shop,food,N_A,1687847039,anchor_competitor,1614514386.0,665.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300398553491859693!2y3539530544844454698!2m2!2i10!3sCAESB0VnTUlsQVU=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.6150166147677761
24721,ChIJk8LGr_IVrjsRU4VrJ5iBiYQ,Nesto Amigos Co-Living PG,12.930557250976562,77.60348510742188,0x3bae15f2afc6c293:0x84898198276b8553,N_A,N_A,52,4.900000095367432,https://www.google.com/maps/place/?q=place_id:ChIJk8LGr_IVrjsRU4VrJ5iBiYQ,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor,1679416622.0,68.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300398826260710035!2y9550306975312217427!2m2!2i10!3sCAESBkVnSUlQQQ==!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.5329273747668709
