id,name,lat,lng,source,category,number_of_votes,reviews_per_day
ChIJpcF4agY9rjsR-LPsSAjxI3c,Dr. Shalini Sharma | Best Pediatrician in Yeswanthpur | Manipal Hospital Yeswanthpur,13.014189720153809,77.55606842041016,gmaps_v2,hospital,4,0.0002038682948309
ChIJa2VjNg89rjsRXvqEzX6a1w4,Dr. Manjunath M K | Best ENT Specialist in Yeswanthpur | Manipal Hospital Yeswanthpur,13.014135360717772,77.55603790283203,gmaps_v2,hospital,4,0.0002038682948309
ChIJdZpXLFU9rjsR7UrXwq3nyzE,Dr. Phani Bhushan R | Best Neonatologist in Yeswanthpur | Manipal Hospital Yeswanthpur,13.01413917541504,77.55606842041016,gmaps_v2,hospital,4,0.0002038682948309
ChIJy1utel89rjsRBnBzsYAUe-I,Dr. Girish P V | Best Gastroenterologist in Yeswanthpur | Manipal Hospital Yeswanthpur,13.0142822265625,77.55606079101562,gmaps_v2,hospital,4,0.0002038682948309
ChIJU0_3hDk9rjsRL79xR52m2AQ,Dr. Deepak Rudrappa | Best Orthopaedic Surgeon in Yeshwanthpur | Manipal Hospital Yeshwanthpur,13.014189720153809,77.55606842041016,gmaps_v2,hospital,3,0.0001535684182338
ChIJwRFlMnk9rjsRmIwR8casl-I,Columbia Asia Referral Hospital - Yeshwanthpur,13.01412582397461,77.55599212646484,gmaps_v2,hospital,3,0.0001535684182338
ChIJn_j4ckY9rjsR4t13bUZX0IE,Dr. Govind Nandakumar | Best Gastrointestinal Surgeon in Yeswanthpur | Manipal Hospital Yeswanthpur,13.01418685913086,77.55606842041016,gmaps_v2,hospital,3,0.0001535684182338
ChIJhYQayiE9rjsR-Eu7ub6ecmw,Dr. Sujatha Ramesh | Best Allergist in Yeswanthpur | Manipal Hospital Yeswanthpur,13.014184951782228,77.55606842041016,gmaps_v2,hospital,3,0.0001535684182338
ChIJ8wqDLac9rjsR7U0dduXd4Q8,Dr. Shankar Kurpad | Best Orthopaedic Surgeon in Yeshwanthpur | Manipal Hospital Yeshwanthpur,13.014178276062012,77.55606842041016,gmaps_v2,hospital,3,0.0001535684182338
ChIJiVarXVU9rjsRSQs8Tus8ups,Dr. Rajendra Prasad B | Best Vascular Surgeon in Yeswanthpur | Manipal Hospital Yeswanthpur,13.013916015625,77.55601501464844,gmaps_v2,hospital,3,0.0001535684182338
ChIJa0QjLvg9rjsRjFHZpK_vtkQ,Dr. M S Prasad | Best Dentist in Yeshwanthpur | Manipal Hospital Yeshwanthpur,13.014187812805176,77.55612182617188,gmaps_v2,hospital,3,0.0001535684182338
ChIJOc27avc9rjsRRlnsFaOfHp8,Dr. Sreenivasa Murthy T M | Best ENT Specialist in Yeswanthpur | Manipal Hospital Yeswanthpur,13.014115333557127,77.5561294555664,gmaps_v2,hospital,3,0.0001535684182338
ChIJaxcon4E9rjsRc0yZlm-ywdI,Sidma Orthopaedic Center,13.008095741271973,77.55738067626953,gmaps_v2,hospital,3,0.0001535684182338
ChIJt2uIBN89rjsRxmlyny7PwkQ,Dr. Navya P | Best Dermatologist in Yeswanthpur | Manipal Hospital Yeswanthpur,13.014198303222656,77.55599212646484,gmaps_v2,hospital,3,0.0001529012211232
ChIJxVcUF_A9rjsR6x1GUGRfMiQ,Dr. Anjana B | Best Pediatrician in Yeswanthpur | Manipal Hospital Yeswanthpur,13.014189720153809,77.55606842041016,gmaps_v2,hospital,3,0.0001529012211232
ChIJqeveJsw9rjsRJzTJyuI1LAk,Dr. Meena Gnanansekharan | Best Psychiatrist in Yeswanthpur | Manipal Hospital Yeswanthpur,13.014031410217283,77.55614471435547,gmaps_v2,hospital,3,0.0001529012211232
ChIJWYaV1n89rjsRsbtb9r0MjSw,Dr. A Aruna Prasad | Best Dermatologist in Yeswanthpur | Manipal Hospital Yeswanthpur,13.014187812805176,77.5560073852539,gmaps_v2,hospital,3,0.0001529012211232
