id,name,,active,top_category,category,sub_categories,type,brand_name,brand_id,source,number_of_votes,address,image_url,place_url,verified
ChIJ2fG1xusXrjsR82xTy3LlXKI,Maruthi Institute of digital Marketing,,TRUE,education,college,['Institute of technology'],N_A,N_A,N_A,gmaps_v2,0,"Maruthi Institute of digital Marketing, 3, 2nd Cross Rd, off Kengal Hanumanthaiah Road, RRMR extn, Nehru Nagar, Seshadripuram, Bengaluru, Karnataka 560027",https://lh5.googleusercontent.com/p/AF1QipMH4Cu_rcd_a6nBSD1AQ6rWqXSWs5BdeADYXqbA=w80-h106-k-no,https://www.google.com/maps/place/?q=place_id:ChIJ2fG1xusXrjsR82xTy3LlXKI,FALSE
ChIJK8WX-mM9rjsRcY5h14IedN8,Sri Aitshaya Vidya Kendra,,TRUE,education,school,['School'],N_A,N_A,N_A,gmaps_v2,0,"2HG4+QP4 Sri Aitshaya Vidya Kendra, 14th Cross Rd, HGR Colony, Gokula 1st Stage, BK Nagar, Yeswanthpur, Bengaluru, Karnataka 560022",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wVdCM7AsOlqKtInQ1EIkZQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=145.7705&pitch=0&thumbfov=100,https://www.google.com/maps/place/?q=place_id:ChIJK8WX-mM9rjsRcY5h14IedN8,FALSE
ChIJM-cMvq49rjsRc6z3PPyv6GE,Datar Institute Of Fine Arts,,TRUE,education,school,['School'],N_A,N_A,N_A,gmaps_v2,0,"XHR2+M8H Datar Institute Of Fine Arts, WOC, Shivanagar, Rajajinagar, Bengaluru, Karnataka 560010",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_8HXkei-2BNJqzQMnW8obw&cb_client=search.gws-prod.gps&w=360&h=120&yaw=181.0539&pitch=0&thumbfov=100,https://www.google.com/maps/place/?q=place_id:ChIJM-cMvq49rjsRc6z3PPyv6GE,FALSE
ChIJRVGVOt49rjsR76uATfpjUTU,Ambrish Gayakawad,,TRUE,education,college,['College'],N_A,N_A,N_A,gmaps_v2,0,"2HC2+RXR Ambrish Gayakawad, Dr.Ambedkar Nagar, Yeswanthpur, Gulbarga, Karnataka 560022",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CYt5TdCKVsoZMwL77kEPWw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=258.97406&pitch=0&thumbfov=100,https://www.google.com/maps/place/?q=place_id:ChIJRVGVOt49rjsR76uATfpjUTU,FALSE
ChIJMRXlfBIXrjsR4PK3UjrYA3g,Presidency international English higher primary school Vijayanagar,,TRUE,education,school,['School'],N_A,N_A,N_A,gmaps_v2,0,"Presidency international English higher primary school Vijayanagar, 29, Tank Bund Rd, Subhash Nagar, Sevashrama, Bengaluru, Karnataka 560023",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0yjWMnwLahAI0GEBUcpbXw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=303.84384&pitch=0&thumbfov=100,https://www.google.com/maps/place/?q=place_id:ChIJMRXlfBIXrjsR4PK3UjrYA3g,FALSE
ChIJAQAAAPM9rjsRlfMrTgfQTVo,Rajaji Ngr Indl Pu College,,TRUE,education,college,['College'],N_A,N_A,N_A,gmaps_v2,0,"Rajaji Ngr Indl Pu College, 1050/A, 2, 4m, Rajaji Nagar, Rajaji Nagar, Bengaluru, Karnataka 560010",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qTrZHXP50BH-dKkkq_sOGQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=332.44803&pitch=0&thumbfov=100,https://www.google.com/maps/place/?q=place_id:ChIJAQAAAPM9rjsRlfMrTgfQTVo,FALSE
ChIJR-p32Dw9rjsRU-ssEvStUjw,Emmes Engineering Works,,TRUE,education,college,['Welder'],N_A,N_A,N_A,gmaps_v2,0,"Emmes Engineering Works, No.599/3, Junior College Road, Peenya, Bengaluru, Karnataka 560058",https://lh3.googleusercontent.com/gps-proxy/AE4_-5EBPISuJKtarFOypQvo7o6Jrz1sugrXJs2c64u119sw_7qAOEz96wH6nntoJnhmCdS3hkx1OBvltmiRB7BcfUEkchsCVCuzbii90Cew8Gc37eLVFT2ZTNZ4VW5ZYYqzladCSZVOFsNx0TLhbmvx7WfKj_DvBza2aOy_bGY_eo39B1x4I4Xc_f8iImeEqCUwpEsl0g=w123-h92-k-no,https://www.google.com/maps/place/?q=place_id:ChIJR-p32Dw9rjsRU-ssEvStUjw,FALSE
ChIJ8cXIC-c9rjsRSrxIrONdDFU,London School of Speech,,TRUE,education,school,['School'],N_A,N_A,N_A,gmaps_v2,0,"XGFR+47X London School of Speech, 4th Main Rd, SBI Staff Colony, Hoshalli Extension, Stage 1, Vijayanagar, Bengaluru, Karnataka 560040",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oVr_uGCf-LGhAdbOER4UwQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=216.80788&pitch=0&thumbfov=100,https://www.google.com/maps/place/?q=place_id:ChIJ8cXIC-c9rjsRSrxIrONdDFU,FALSE
ChIJifqVxWY9rjsRjNDPO2HR2dk,Masjid-E-Quba,,TRUE,education,school,['School'],N_A,N_A,N_A,gmaps_v2,0,"Masjid-E-Quba, 24, 1st Main Rd, Gokula 1st Stage, LIC Colony, Yeswanthpur, Bengaluru, Karnataka 560054",https://lh5.googleusercontent.com/p/AF1QipNYpQyldl3dR01CBlvog9XB-DHxa2ksW1HKfyiX=w80-h142-k-no,https://www.google.com/maps/place/?q=place_id:ChIJifqVxWY9rjsRjNDPO2HR2dk,FALSE
ChIJOzfVnfk9rjsRZ_QnWJHoZdc,Shree Siddalingeshwara Vidhya Samste,,TRUE,education,college,['School'],N_A,N_A,N_A,gmaps_v2,0,"Shree Siddalingeshwara Vidhya Samste, 27/10, 9th Cross Rd, Binnipete, Bengaluru, Karnataka 560023",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hqvAgXF63331iI2u_we1QQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=220.67982&pitch=0&thumbfov=100,https://www.google.com/maps/place/?q=place_id:ChIJOzfVnfk9rjsRZ_QnWJHoZdc,FALSE
