"geoid","total_population","grid_hh","geometry"
"1138002692","847.0646044282639","NaN","MULTIPOLYGON (((77.66958303772999 13.059583482099999, 77.67041637105999 13.059583482099999, 77.67124970439 13.059583482099999, 77.67208303771999 13.059583482099999, 77.67208303771999 13.060416815429999, 77.67124970439 13.060416815429999, 77.67124970439 13.06125014876, 77.67124970439 13.06208348209, 77.67041637105999 13.06208348209, 77.67041637105999 13.06291681542, 77.66958303772999 13.06291681542, 77.66958303772999 13.06375014875, 77.67041637105999 13.06375014875, 77.67041637105999 13.06291681542, 77.67124970439 13.06291681542, 77.67124970439 13.06208348209, 77.67208303772 13.06208348209, 77.67291637105 13.06208348209, 77.67291637105 13.06291681542, 77.67208303772 13.06291681542, 77.67208303771999 13.06375014875, 77.67208303772 13.06458348208, 77.67291637105 13.06458348208, 77.67374970437999 13.06458348208, 77.67374970437999 13.06541681541, 77.67374970437999 13.06625014874, 77.67374970437999 13.06708348207, 77.67374970437999 13.0679168154, 77.67291637105 13.0679168154, 77.67208303772 13.0679168154, 77.67124970439 13.0679168154, 77.67041637105999 13.0679168154, 77.66958303772999 13.0679168154, 77.6687497044 13.0679168154, 77.6687497044 13.06708348207, 77.6687497044 13.06625014874, 77.6687497044 13.06541681541, 77.6687497044 13.06458348208, 77.6687497044 13.06375014875, 77.6687497044 13.06291681542, 77.6687497044 13.06208348209, 77.6687497044 13.06125014876, 77.6687497044 13.060416815429999, 77.66958303772999 13.060416815429999, 77.66958303772999 13.059583482099999)), ((77.67458303771 13.060416815429999, 77.67541637103999 13.060416815429999, 77.67541637103999 13.06125014876, 77.67541637103999 13.06208348209, 77.67458303771 13.06208348209, 77.67458303771 13.06125014876, 77.67458303771 13.060416815429999)), ((77.67458303771 13.06458348208, 77.67541637104 13.06458348208, 77.67624970437 13.06458348208, 77.67624970437 13.06541681541, 77.67624970437 13.06625014874, 77.67708303769999 13.06625014874, 77.67708303769999 13.06708348207, 77.67624970437 13.06708348207, 77.67541637104 13.06708348207, 77.67458303771 13.06708348207, 77.67458303771 13.06625014874, 77.67458303771 13.06541681541, 77.67458303771 13.06458348208)))"
"1139002689","127.09989982859356","26.800331487129387","MULTIPOLYGON (((77.68458303767 13.084583482, 77.68541637099999 13.084583482, 77.68541637099999 13.08541681533, 77.68541637099999 13.08625014866, 77.68541637099999 13.08708348199, 77.68541637099999 13.08791681532, 77.68458303767 13.08791681532, 77.68458303767 13.08708348199, 77.68374970434 13.08708348199, 77.68374970434 13.08625014866, 77.68458303767 13.08625014866, 77.68458303767 13.08541681533, 77.68458303767 13.084583482)), ((77.68041637102 13.09125014864, 77.68124970435 13.09125014864, 77.68208303768 13.09125014864, 77.68291637101 13.09125014864, 77.68374970433999 13.09125014864, 77.68458303767 13.09125014864, 77.68541637099999 13.09125014864, 77.68541637099999 13.09208348197, 77.68458303767 13.09208348197, 77.68458303767 13.0929168153, 77.68374970433999 13.0929168153, 77.68291637101 13.0929168153, 77.68208303768 13.0929168153, 77.68124970435 13.0929168153, 77.68041637102 13.0929168153, 77.68041637102 13.09208348197, 77.68041637102 13.09125014864)))"
"1144002723","931.7408711781183","220.18950880855164","MULTIPOLYGON (((77.7187497042 12.801250149800001, 77.71958303752999 12.801250149800001, 77.72041637086 12.801250149800001, 77.72041637086 12.802083483130001, 77.71958303752999 12.802083483130001, 77.71958303752999 12.802916816460002, 77.7187497042 12.802916816460002, 77.7187497042 12.802083483130001, 77.7187497042 12.801250149800001)), ((77.72374970418 12.801250149800001, 77.72458303751 12.801250149800001, 77.72541637084 12.801250149800001, 77.72624970416999 12.801250149800001, 77.7270830375 12.801250149800001, 77.7270830375 12.802083483130001, 77.7270830375 12.802916816460002, 77.7270830375 12.803750149790002, 77.7270830375 12.804583483120002, 77.7270830375 12.805416816450002, 77.7270830375 12.80625014978, 77.7270830375 12.807083483109999, 77.72624970416999 12.807083483109999, 77.72624970416999 12.807916816439999, 77.7270830375 12.807916816439999, 77.7270830375 12.808750149769999, 77.7270830375 12.809583483099999, 77.72624970416999 12.809583483099999, 77.72541637084 12.809583483099999, 77.72458303751 12.809583483099999, 77.72374970418 12.809583483099999, 77.72291637084999 12.809583483099999, 77.72208303752 12.809583483099999, 77.72124970419 12.809583483099999, 77.72041637086 12.809583483099999, 77.71958303752999 12.809583483099999, 77.7187497042 12.809583483099999, 77.7187497042 12.808750149769999, 77.7187497042 12.807916816439999, 77.7187497042 12.807083483109999, 77.7187497042 12.80625014978, 77.7187497042 12.805416816450002, 77.7187497042 12.804583483120002, 77.7187497042 12.803750149790002, 77.71958303752999 12.803750149790002, 77.72041637086 12.803750149790002, 77.72124970419 12.803750149790002, 77.72124970419 12.802916816460002, 77.72208303752 12.802916816460002, 77.72291637084999 12.802916816460002, 77.72291637085 12.802083483130001, 77.72374970418 12.802083483130001, 77.72374970418 12.801250149800001)))"
"1120002705","18383.664612097138","4574.053775334325","POLYGON ((77.518749705 12.9512501492, 77.51958303833 12.9512501492, 77.52041637165999 12.9512501492, 77.52124970499 12.9512501492, 77.52208303832 12.9512501492, 77.52291637165 12.9512501492, 77.52374970497999 12.9512501492, 77.52458303831 12.9512501492, 77.52541637164 12.9512501492, 77.52624970497 12.9512501492, 77.52708303829999 12.9512501492, 77.52708303829999 12.95208348253, 77.52708303829999 12.95291681586, 77.52708303829999 12.95375014919, 77.52708303829999 12.95458348252, 77.52708303829999 12.95541681585, 77.52708303829999 12.95625014918, 77.52708303829999 12.95708348251, 77.52708303829999 12.95791681584, 77.52708303829999 12.958750149170001, 77.52708303829999 12.959583482500001, 77.52624970497 12.959583482500001, 77.52541637164 12.959583482500001, 77.52458303831 12.959583482500001, 77.52374970497999 12.959583482500001, 77.52291637165 12.959583482500001, 77.52208303832 12.959583482500001, 77.52124970499 12.959583482500001, 77.52041637165999 12.959583482500001, 77.51958303833 12.959583482500001, 77.518749705 12.959583482500001, 77.518749705 12.958750149170001, 77.518749705 12.95791681584, 77.518749705 12.95708348251, 77.518749705 12.95625014918, 77.518749705 12.95541681585, 77.518749705 12.95458348252, 77.518749705 12.95375014919, 77.518749705 12.95291681586, 77.518749705 12.95208348253, 77.518749705 12.9512501492))"
"1147002697","640.4487302896054","155.69720487134902","MULTIPOLYGON (((77.74958303740999 13.0179168156, 77.75041637074 13.0179168156, 77.75124970407 13.0179168156, 77.7520830374 13.0179168156, 77.7520830374 13.01875014893, 77.7520830374 13.01958348226, 77.7520830374 13.02041681559, 77.7520830374 13.02125014892, 77.75124970407 13.02125014892, 77.75041637074 13.02125014892, 77.74958303740999 13.02125014892, 77.74958303740999 13.02041681559, 77.74958303740999 13.01958348226, 77.74958303740999 13.01875014893, 77.74958303740999 13.0179168156)), ((77.74624970408999 13.01958348226, 77.74708303742 13.01958348226, 77.74791637074999 13.01958348226, 77.74791637074999 13.02041681559, 77.74791637074999 13.02125014892, 77.74708303742 13.02125014892, 77.74624970408999 13.02125014892, 77.74624970408999 13.02041681559, 77.74624970408999 13.01958348226)), ((77.74624970408999 13.02375014891, 77.74708303742 13.02375014891, 77.74791637074999 13.02375014891, 77.74791637074999 13.02458348224, 77.74791637074999 13.02541681557, 77.74708303742 13.02541681557, 77.74624970408999 13.02541681557, 77.74624970408999 13.02458348224, 77.74624970408999 13.02375014891)))"
"1149002725","744.0574809630978","NaN","POLYGON ((77.7604163707 12.784583483199999, 77.76124970402999 12.784583483199999, 77.76208303735999 12.784583483199999, 77.76291637069 12.784583483199999, 77.76374970402 12.784583483199999, 77.76458303735 12.784583483199999, 77.76541637067999 12.784583483199999, 77.76541637067999 12.785416816529999, 77.76541637067999 12.786250149859999, 77.76624970401 12.786250149859999, 77.76624970401 12.785416816529999, 77.76624970401 12.784583483199999, 77.76708303734 12.784583483199999, 77.76791637067 12.784583483199999, 77.76874970399999 12.784583483199999, 77.76874970399999 12.785416816529999, 77.76874970399999 12.786250149859999, 77.76874970399999 12.787083483189999, 77.76874970399999 12.78791681652, 77.76874970399999 12.78875014985, 77.76874970399999 12.78958348318, 77.76874970399999 12.79041681651, 77.76791637067 12.79041681651, 77.76791637067 12.78958348318, 77.76708303734 12.78958348318, 77.76624970401 12.78958348318, 77.76624970401 12.78875014985, 77.76541637068 12.78875014985, 77.76541637068 12.78791681652, 77.76541637067999 12.787083483189999, 77.76458303735 12.787083483189999, 77.76458303735 12.78791681652, 77.76374970402 12.78791681652, 77.76374970401999 12.78875014985, 77.76374970401999 12.78958348318, 77.76374970401999 12.79041681651, 77.76291637069 12.79041681651, 77.76291637069 12.79125014984, 77.76208303735999 12.79125014984, 77.76124970402999 12.79125014984, 77.76124970402999 12.79208348317, 77.76124970402999 12.7929168165, 77.7604163707 12.7929168165, 77.7604163707 12.79208348317, 77.7604163707 12.79125014984, 77.7604163707 12.79041681651, 77.7604163707 12.78958348318, 77.7604163707 12.78875014985, 77.7604163707 12.78791681652, 77.7604163707 12.787083483189999, 77.7604163707 12.786250149859999, 77.7604163707 12.785416816529999, 77.7604163707 12.784583483199999))"
"1141002709","4293.95326956801","1068.8668257043762","MULTIPOLYGON (((77.6937497043 12.917916816000002, 77.69458303763 12.917916816000002, 77.69541637096 12.917916816000002, 77.69624970429 12.917916816000002, 77.69708303761999 12.917916816000002, 77.69791637095 12.917916816000002, 77.69874970427999 12.917916816000002, 77.69874970427999 12.918750149330002, 77.69874970427999 12.91958348266, 77.69874970427999 12.920416815989999, 77.69874970427999 12.921250149319999, 77.69791637095 12.921250149319999, 77.69791637095 12.920416815989999, 77.69791637095 12.91958348266, 77.69708303761999 12.91958348266, 77.69708303761999 12.920416815989999, 77.69708303761999 12.921250149319999, 77.69624970429 12.921250149319999, 77.69624970429 12.922083482649999, 77.69708303761999 12.922083482649999, 77.69708303761999 12.922916815979999, 77.69708303761999 12.923750149309999, 77.69791637095 12.923750149309999, 77.69791637095 12.92458348264, 77.69874970427999 12.92458348264, 77.69874970427999 12.92541681597, 77.69874970427999 12.9262501493, 77.69791637095 12.9262501493, 77.69708303762 12.9262501493, 77.69708303761999 12.92541681597, 77.69624970429 12.92541681597, 77.69624970429 12.9262501493, 77.69541637096 12.9262501493, 77.69458303763 12.9262501493, 77.6937497043 12.9262501493, 77.6937497043 12.92541681597, 77.6937497043 12.92458348264, 77.6937497043 12.923750149309999, 77.6937497043 12.922916815979999, 77.6937497043 12.922083482649999, 77.6937497043 12.921250149319999, 77.6937497043 12.920416815989999, 77.6937497043 12.91958348266, 77.6937497043 12.918750149330002, 77.6937497043 12.917916816000002)), ((77.70124970427 12.918750149330002, 77.70208303759999 12.918750149330002, 77.70208303759999 12.919583482660002, 77.70124970427 12.919583482660002, 77.70124970427 12.918750149330002)), ((77.70124970427 12.921250149319999, 77.70208303759999 12.921250149319999, 77.70208303759999 12.922083482649999, 77.70124970427 12.922083482649999, 77.70124970427 12.921250149319999)), ((77.69791637095 12.922916815979999, 77.69874970427999 12.922916815979999, 77.69874970427999 12.923750149309999, 77.69791637095 12.923750149309999, 77.69791637095 12.922916815979999)), ((77.69958303761 12.92541681597, 77.70041637093999 12.92541681597, 77.70124970427 12.92541681597, 77.70208303759999 12.92541681597, 77.70208303759999 12.9262501493, 77.70124970427 12.9262501493, 77.70041637093999 12.9262501493, 77.69958303761 12.9262501493, 77.69958303761 12.92541681597)))"
"1119002707","8023.1066946782385","1881.0477040464102","POLYGON ((77.5104163717 12.9345834826, 77.51124970503 12.9345834826, 77.51208303836 12.9345834826, 77.51291637169 12.9345834826, 77.51374970501999 12.9345834826, 77.51458303835 12.9345834826, 77.51541637168 12.9345834826, 77.51624970501 12.9345834826, 77.51708303833999 12.9345834826, 77.51708303833999 12.935416815930001, 77.51791637167 12.935416815930001, 77.51791637167 12.9345834826, 77.51874970499999 12.9345834826, 77.51874970499999 12.935416815930001, 77.51874970499999 12.936250149260001, 77.51874970499999 12.937083482590001, 77.51874970499999 12.937916815920001, 77.51874970499999 12.938750149250001, 77.51874970499999 12.939583482580002, 77.51874970499999 12.940416815910002, 77.51874970499999 12.941250149240002, 77.51874970499999 12.942083482570002, 77.51874970499999 12.942916815900002, 77.51791637167 12.942916815900002, 77.51791637167 12.942083482570002, 77.51791637167 12.941250149240002, 77.51708303833999 12.941250149240002, 77.51708303833999 12.942083482570002, 77.51624970501 12.942083482570002, 77.51624970501 12.942916815900002, 77.51541637168 12.942916815900002, 77.51458303835 12.942916815900002, 77.51374970501999 12.942916815900002, 77.51291637169 12.942916815900002, 77.51208303836 12.942916815900002, 77.51124970503 12.942916815900002, 77.51124970503 12.942083482570002, 77.51208303836 12.942083482570002, 77.51208303836 12.941250149240002, 77.51208303836 12.940416815910002, 77.51124970503 12.940416815910002, 77.51124970503 12.939583482580002, 77.51208303836 12.939583482580002, 77.51208303836 12.938750149250001, 77.51124970503 12.938750149250001, 77.51124970503 12.937916815920001, 77.51208303836 12.937916815920001, 77.51208303836 12.937083482590001, 77.51124970503 12.937083482590001, 77.5104163717 12.937083482590001, 77.5104163717 12.936250149260001, 77.5104163717 12.935416815930001, 77.5104163717 12.9345834826), (77.51458303835 12.939583482580002, 77.51458303835 12.940416815910002, 77.51541637168 12.940416815910002, 77.51541637168 12.939583482580002, 77.51458303835 12.939583482580002))"
"1133002714","4717.585222134005","1106.0556949373001","MULTIPOLYGON (((77.63458303787 12.876250149499999, 77.6354163712 12.876250149499999, 77.6354163712 12.877083482829999, 77.63458303787 12.877083482829999, 77.63458303787 12.876250149499999)), ((77.6270830379 12.877916816159999, 77.62791637122999 12.877916816159999, 77.62791637122999 12.87875014949, 77.62874970456 12.87875014949, 77.62958303789 12.87875014949, 77.62958303789 12.877916816159999, 77.63041637122 12.877916816159999, 77.63124970454999 12.877916816159999, 77.63124970454999 12.87875014949, 77.63208303788 12.87875014949, 77.63291637121 12.87875014949, 77.63291637121 12.877916816159999, 77.63374970454 12.877916816159999, 77.63458303786999 12.877916816159999, 77.63458303786999 12.87875014949, 77.6354163712 12.87875014949, 77.6354163712 12.87958348282, 77.6354163712 12.88041681615, 77.6354163712 12.88125014948, 77.6354163712 12.88208348281, 77.6354163712 12.88291681614, 77.63458303786999 12.88291681614, 77.63458303786999 12.88375014947, 77.63458303786999 12.8845834828, 77.63374970454 12.8845834828, 77.63374970454 12.88375014947, 77.63374970454 12.88291681614, 77.63374970454 12.88208348281, 77.63458303786999 12.88208348281, 77.63458303786999 12.88125014948, 77.63374970454 12.88125014948, 77.63291637121 12.88125014948, 77.63291637120999 12.88208348281, 77.63291637120999 12.88291681614, 77.63208303788 12.88291681614, 77.63208303788 12.88375014947, 77.63208303788 12.8845834828, 77.63124970454999 12.8845834828, 77.63041637122 12.8845834828, 77.62958303789 12.8845834828, 77.62874970456 12.8845834828, 77.62791637122999 12.8845834828, 77.6270830379 12.8845834828, 77.6270830379 12.88375014947, 77.6270830379 12.88291681614, 77.6270830379 12.88208348281, 77.6270830379 12.88125014948, 77.6270830379 12.88041681615, 77.62791637122999 12.88041681615, 77.62874970456 12.88041681615, 77.62958303789 12.88041681615, 77.62958303789 12.87958348282, 77.62874970456 12.87958348282, 77.62791637122999 12.87958348282, 77.6270830379 12.87958348282, 77.6270830379 12.87875014949, 77.6270830379 12.877916816159999)))"
"1142002717","1106.4485499097011","262.595986923745","MULTIPOLYGON (((77.70708303757999 12.851250149599998, 77.70791637091 12.851250149599998, 77.70874970424 12.851250149599998, 77.70958303757 12.851250149599998, 77.71041637089999 12.851250149599998, 77.71041637089999 12.852083482929999, 77.71041637089999 12.852916816259999, 77.71041637089999 12.853750149589999, 77.71041637089999 12.854583482919999, 77.71041637089999 12.855416816249999, 77.71041637089999 12.85625014958, 77.71041637089999 12.85708348291, 77.70958303757 12.85708348291, 77.70958303757 12.85625014958, 77.70874970424 12.85625014958, 77.70874970424 12.855416816249999, 77.70791637091 12.855416816249999, 77.70708303757999 12.855416816249999, 77.70708303757999 12.854583482919999, 77.70708303757999 12.853750149589999, 77.70708303757999 12.852916816259999, 77.70708303757999 12.852083482929999, 77.70708303757999 12.851250149599998)), ((77.70374970425999 12.85708348291, 77.70458303759 12.85708348291, 77.70541637092 12.85708348291, 77.70624970425 12.85708348291, 77.70708303757999 12.85708348291, 77.70791637091 12.85708348291, 77.70874970424 12.85708348291, 77.70958303757 12.85708348291, 77.70958303757 12.85791681624, 77.71041637089999 12.85791681624, 77.71041637089999 12.85875014957, 77.71041637089999 12.8595834829, 77.70958303757 12.8595834829, 77.70874970424 12.8595834829, 77.70791637091 12.8595834829, 77.70708303757999 12.8595834829, 77.70624970425 12.8595834829, 77.70541637092 12.8595834829, 77.70458303759 12.8595834829, 77.70374970425999 12.8595834829, 77.70291637093 12.8595834829, 77.7020830376 12.8595834829, 77.7020830376 12.85875014957, 77.70291637093 12.85875014957, 77.70291637093 12.85791681624, 77.70374970425999 12.85791681624, 77.70374970425999 12.85708348291)))"
