id,name,lat,lng,category,number_of_votes,source,date,created_at,reviews_per_day
ChIJnYbpfZc9rjsRmxqDBln9H0k,Le Arabia Restaurant Basaveshwar Nagar,12.998469352722168,77.54237365722656,restaurant,9761,gmaps_v2,1496992251.0,1699615207,4.8173218833111884e-05
ChIJ8TsGoqM9rjsR476UrDbdji8,Rich Grills Restaurant Mahalakshmi Layout,13.014739990234377,77.5439453125,restaurant,2498,gmaps_v2,1646561763.0,1699615207,4.70845964307237e-05
ChIJzUtPSPI9rjsRiUpLdevdJ6E,Real Decoration,12.987630844116213,77.55418395996094,home_decor,128,gmaps_v2,1692444748.0,1695212099,4.6253619436059974e-05
ChIJP7XwHwc9rjsRcOwvsBmUHSo,SNACKS The Street Food Cafe,12.995842933654783,77.54012298583984,restaurant,64,gmaps_v2,1698219530.0,1699615207,4.585588212745499e-05
ChIJgzCrIyU9rjsR82dgFTCVaM8,MANDIPETE PALAV VIJAYNAGARA,12.972818374633787,77.5396957397461,restaurant,237,gmaps_v2,1694326385.0,1699615207,4.4811491103311855e-05
ChIJF2yEZCMWrjsR_P9kAMiYUGo,Hyderabad Biryani Hotel,12.99392032623291,77.57134246826172,restaurant,7054,gmaps_v2,1537244023.0,1699615207,4.344366916730742e-05
ChIJ6RTQcSMWrjsRZ6RMINp7IA0,New Krishna Bhavan,12.992972373962402,77.5716552734375,restaurant,8032,gmaps_v2,1513760848.0,1699615207,4.3216635021188825e-05
ChIJg2h2hLY9rjsRI_2R0h4Q6AU,Mahaganapati condiments,12.98858642578125,77.53375244140625,coffee_shop,24,gmaps_v2,1687237129.0,1687847039,3.935006804282599e-05
ChIJmyMs7C8WrjsRI4nLxPcID8o,Food Camp Veg Restaurant & Party Hall,13.00092315673828,77.5723876953125,restaurant,9020,gmaps_v2,1469258993.0,1699615207,3.915674703700418e-05
18418538,Shanthi Sagar,12.9888898209,77.5376277789,restaurant,11300,zomato,1397932200.0,1688639100,3.887076639735761e-05
ChIJJ_pVXGM9rjsR6RJzJIZf7XI,Priyadarshini Veg,13.023111343383787,77.556640625,restaurant,8153,gmaps_v2,1488310730.0,1699615207,3.858413279146944e-05
ChIJHSEbZec9rjsRurDKrQvxrqw,Kapoor's Cafe Rajajinagar,12.999500274658203,77.55237579345703,restaurant,2001,gmaps_v2,1645462426.0,1699615207,3.695101088160181e-05
ChIJVVVVxXQ-rjsR3rUjTglWt9o,New Shanthi Sagar,12.973347663879396,77.54200744628906,restaurant,8068,gmaps_v2,1478408474.0,1699615207,3.647266921120344e-05
ChIJDS-SHywWrjsRDBQF0MjuQEE,1947 Restaurant,13.005684852600098,77.56892395019531,restaurant,7808,gmaps_v2,1481126503.0,1699615207,3.573640127409058e-05
ChIJJ7xGhfo9rjsRfceU-8d7BdM,MAYURA 1989 Bar & Kitchen,12.975768089294434,77.5526351928711,restaurant,5855,gmaps_v2,1535424353.0,1699615207,3.5659720729633335e-05
