id,name,lat,lng,cid,number_of_votes,place_url,source,category,created_at,date,number_of_reviews
ChIJGT49IMEXrjsRdC5hq-FKMz4,"BlueStone Jewellery New BEL Road, Bengaluru",13.03222370147705,77.56975555419922,0x3bae17c1203d3e19:0x3e334ae1ab612e74,394,https://www.google.com/maps/place/?q=place_id:ChIJGT49IMEXrjsRdC5hq-FKMz4,gmaps_v2,jewelry_store,1687847039,1614449115.0,404.0
ChIJAxOMZZs9rjsRaUittM5Lzqo,Jos Alukkas Jewellery,13.004015922546388,77.54861450195312,0x3bae3d9b658c1303:0xaace4bceb4ad4869,1089,https://www.google.com/maps/place/?q=place_id:ChIJAxOMZZs9rjsRaUittM5Lzqo,gmaps_v2,jewelry_store,1687847039,1516027997.0,1234.0
ChIJuzr1mS8WrjsR8qrhK-M03dA,Riti Jewels,13.001160621643066,77.57112121582031,0x3bae162f99f53abb:0xd0dd34e32be1aaf2,2,https://www.google.com/maps/place/?q=place_id:ChIJuzr1mS8WrjsR8qrhK-M03dA,gmaps_v2,jewelry_store,1687847039,1416034381.0,2.0
ChIJYV-U2y4XrjsRLGOTEdIizsI,Reliance Jewels - Trends - Malleswaram,12.991969108581545,77.57101440429688,0x3bae172edb945f61:0xc2ce22d21193632c,3,https://www.google.com/maps/place/?q=place_id:ChIJYV-U2y4XrjsRLGOTEdIizsI,gmaps_v2,jewelry_store,1687847039,1657472057.0,3.0
ChIJb1_IbnoXrjsRg_zScpYLBuQ,ORRA Fine Jewellery,12.994132041931152,77.57158660888672,0x3bae177a6ec85f6f:0xe4060b9672d2fc83,7,https://www.google.com/maps/place/?q=place_id:ChIJb1_IbnoXrjsRg_zScpYLBuQ,gmaps_v2,jewelry_store,1687847039,1699267470.0,61.0
ChIJq574XMA9rjsRyy8aSD5oix8,Attica Gold Company - Gold Buyers In Basaveshwara Nagar Bangalore,12.986090660095217,77.53716278076172,0x3bae3dc05cf89eab:0x1f8b683e481a2fcb,105,https://www.google.com/maps/place/?q=place_id:ChIJq574XMA9rjsRyy8aSD5oix8,gmaps_v2,jewelry_store,1687847039,1458982154.0,105.0
ChIJpyR7QjAXrjsRYJ0jo2ZLR0A,"Mia by Tanishq - Mathikere, Bengaluru",13.029178619384766,77.57112884521484,0x3bae1730427b24a7:0x40474b66a3239d60,199,https://www.google.com/maps/place/?q=place_id:ChIJpyR7QjAXrjsRYJ0jo2ZLR0A,gmaps_v2,jewelry_store,1687847039,1680365712.0,369.0
ChIJpzUQ43w9rjsRqHLr2EUwglo,White Gold Jalahalli - Turn Your Gold Into Money,13.040233612060549,77.51750946044922,0x3bae3d7ce31035a7:0x5a823045d8eb72a8,492,https://www.google.com/maps/place/?q=place_id:ChIJpzUQ43w9rjsRqHLr2EUwglo,gmaps_v2,jewelry_store,1687847039,1573625538.0,578.0
ChIJQdfJeowXrjsRXiPTl8UWdD8,Kushals Fashion Jewellery,13.032537460327148,77.56954193115234,0x3bae178c7ac9d741:0x3f7416c597d3235e,228,https://www.google.com/maps/place/?q=place_id:ChIJQdfJeowXrjsRXiPTl8UWdD8,gmaps_v2,jewelry_store,1687847039,1538066736.0,243.0
ChIJ497QOOk9rjsR6j2XgYVrICI,Laxmi Gold Palace,12.972546577453612,77.5528564453125,0x3bae3de938d0dee3:0x22206b8581973dea,17,https://www.google.com/maps/place/?q=place_id:ChIJ497QOOk9rjsR6j2XgYVrICI,gmaps_v2,jewelry_store,1687847039,1492085749.0,17.0
