id,name,lat,lng,category,number_of_votes,source,date,created_at,reviews_per_day,brand_id,brand_name
60110,Savji's Roll 'N' Biryani,12.9715954795,77.5469417498,restaurant,15800,zomato,1397932200.0,1688639100,5.435027513966817e-05,zomato_savji's_roll_'n'_biryani,Savji's Roll 'N' Biryani
ChIJheMRenk9rjsRTWq67gW1c98,Swathi Restaurant,12.99778652191162,77.54998779296875,restaurant,11970,gmaps_v2,1475418848.0,1699615207,5.339069757149803e-05,swathigrouprestaurants,Swathi
ChIJzcdRHSMWrjsRqN0RtF-wick,McDonald's,12.9917631149292,77.57064056396484,restaurant,9513,gmaps_v2,1515343185.0,1699615207,5.162476591264625e-05,mcdelivery,McDonald's
18904100,Onesta,12.9975556513,77.5473474339,restaurant,14900,zomato,1397932200.0,1688639100,5.125437339120606e-05,zomato_onesta,Onesta
ChIJjxO1z5o9rjsR2ZMb70BkKtA,Bhima Jewellers - Rajajinagar,13.000941276550291,77.5499267578125,jewelry_store,4848,gmaps_v2,1590668580.0,1687847039,4.9887599061433975e-05,bhimagold,Bhima Gold
51422,Nandhini Deluxe,13.0313134362,77.5702521577,restaurant,14400,zomato,1397932200.0,1688639100,4.9534427975393775e-05,zomato_nandhini_deluxe,Nandhini Deluxe
ChIJm1G1mDYWrjsRvmk1hrhV21Y,Sattvam Restaurant,13.00568962097168,77.58061981201172,restaurant,10752,gmaps_v2,1476276254.0,1699615207,4.8142072198216136e-05,sattvam,Sattvam
18628912,Sri Durga Chats & Juice,12.9724841574,77.5388451666,restaurant,13900,zomato,1397932200.0,1688639100,4.7814482559581487e-05,zomato_sri_durga_chats_&_juice,Sri Durga Chats & Juice
ChIJme1-m5c9rjsRkc5pt4vU6CI,CaratLane Orion Mall,13.010765075683594,77.55516815185547,jewelry_store,385,gmaps_v2,1679736922.0,1687847039,4.747157161851056e-05,caratlane,CaratLane
51421,Nandhana Palace,12.9891446449,77.550143972,restaurant,13800,zomato,1397932200.0,1688639100,4.747049347641904e-05,zomato_nandhana_palace,Nandhana Palace
ChIJ8wP2oy4WrjsRUU32gONQrT4,Lalithaa Jewellery Mart (P) Ltd,12.995867729187012,77.57142639160156,jewelry_store,9231,gmaps_v2,1490264358.0,1687847039,4.67196818733318e-05,lalithaajewellery,Lalithaa Jewellery
50311,Corner House Ice Creams,12.9884896159,77.5770733505,restaurant,13400,zomato,1397932200.0,1688639100,4.60945371437692e-05,zomato_corner_house_ice_creams,Corner House Ice Creams
ChIJq-pwpok9rjsROvuRrROI6_s,Al - Bek Restaurant,12.97797393798828,77.55300903320312,restaurant,5639,gmaps_v2,1575816514.0,1699615207,4.5549753905721767e-05,al-bek,Al Baik
ChIJNcbgui8WrjsRY7s_Zd8fEh8,Paakashala @ Malleshwaram,13.005590438842772,77.57133483886719,restaurant,6353,gmaps_v2,1559206685.0,1699615207,4.524654137446159e-05,paakashala,Paakashala
ChIJH7NfryMWrjsRCsZa5_GFBtw,H&M,12.992138862609863,77.57010650634766,clothing_store,5974,gmaps_v2,1552137213.0,1687847039,4.402039392490268e-05,hm,H&M
ChIJCUy6J5AXrjsRI8wWfSwJQNs,Royalé Touché,12.993951797485352,77.57772827148438,home_decor,1006,gmaps_v2,1664950774.0,1687847039,4.393729719672619e-05,royaletouche,Royale Touche
18703504,Oottupura,13.0337142415,77.5641068816,restaurant,12700,zomato,1397932200.0,1688639100,4.368661356163201e-05,zomato_oottupura,Oottupura
59166,Biriyani Nights,13.03335058,77.56722635,restaurant,12400,zomato,1397932200.0,1688639100,4.265464631214464e-05,zomato_biriyani_nights,Biriyani Nights
ChIJX3bFvHg9rjsRmcTwzAuJeds,Zara,13.011119842529297,77.55510711669922,clothing_store,6412,gmaps_v2,1536396886.0,1687847039,4.2337362313526354e-05,zara,Zara
ChIJv-2vRJs9rjsR5Y5BLMtj1Ho,Malabar Gold and Diamonds - Rajajinagar - Bangalore,13.003792762756348,77.54962921142578,jewelry_store,5105,gmaps_v2,1565681276.0,1687847039,4.178748509105616e-05,malabargoldanddiamonds,Malabar Gold & Diamonds
ChIJ46P4AiMWrjsRDURyrRTam1s,TRENDS,12.991962432861328,77.5710678100586,clothing_store,5705,gmaps_v2,1546757714.0,1687847039,4.04353766665196e-05,ajio,Reliance Trends
ChIJ748wWX89rjsRpv-DRa-4wtE,Manyavar,13.011239051818848,77.55520629882812,clothing_store,2139,gmaps_v2,1632570427.0,1687847039,3.869629347037405e-05,manyavar,Manyavar
ChIJvX7ti-4XrjsRZGBESGgaqhc,Taneira Sarees,13.002042770385742,77.56941223144531,clothing_store,603,gmaps_v2,1672227527.0,1687847039,3.860555950787707e-05,taneira,Taneira
ChIJZU8k2vU9rjsRK9gXANkis7k,Barbeque Nation,12.98296356201172,77.55985260009766,restaurant,8480,gmaps_v2,1469295696.0,1699615207,3.681841787168435e-05,barbequenation,Barbeque Nation
ChIJPzvaJTM9rjsROmK-rW3gTTM,Narmada Restaurant Rajaji Nagar,12.997591972351074,77.54740142822266,restaurant,388,gmaps_v2,1688749866.0,1699615207,3.570987785841236e-05,narmadagroupofhotels,narmadagroupofhotels
