h3_lvl_7,neighbour_median,type_median,geom,population_income_distribution,EWS,LIG,MIG,AIG,EIG,EWS_HH,LIG_HH,MIG_HH,AIG_HH,EIG_HH,total_hh,avg_household_income
876189276ffffff,8481.908338007994,self_median,"POLYGON ((77.72382881697631 12.89315195781238, 77.71982655057417 12.905649813514113, 77.70721810616782 12.908199065210939, 77.69861345592952 12.89825184175796, 77.70261553761596 12.885755484054581, 77.7152224545372 12.883204851806845, 77.72382881697631 12.89315195781238))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.14000000000000012}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.42}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.25}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.18}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.14000000000000012,0.42,0.25,0.18,0.01,611,1834,1091,786,43,4365,1032519.3275526594
87601458effffff,6200.561233774425,self_median,"POLYGON ((77.48968781945382 12.998757264873957, 77.48568522503113 13.011230722485758, 77.47310368350374 13.013757500069463, 77.46452626654298 13.003812218751932, 77.4685286633207 12.991340265679604, 77.48110867498217 12.988812089388, 77.48968781945382 12.998757264873957))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.17000000000000004}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.5}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.18}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.14}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.17000000000000004,0.5,0.18,0.14,0.01,832,2447,881,685,48,4893,754806.4728378609
876014532ffffff,7046.29327815173,self_median,"POLYGON ((77.55887535951024 12.856407263632088, 77.55487429093684 12.868892572658835, 77.54228929955882 12.871434322385072, 77.53370690511007 12.861492154639018, 77.53770777999175 12.849008352697474, 77.55029124329249 12.846465211419975, 77.55887535951024 12.856407263632088))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.15000000000000002}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.47}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.21}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.16}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.15000000000000002,0.47,0.21,0.16,0.01,378,1185,529,403,25,2520,857759.09233708
8760145a5ffffff,5906.993466198651,self_median,"POLYGON ((77.55145504967537 12.91628724873973, 77.54745323774937 12.928769451140623, 77.53486679317479 12.931306262518284, 77.52628368951703 12.921362264549598, 77.53028530727104 12.90888156717843, 77.54287022313342 12.906343362748974, 77.55145504967537 12.91628724873973))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.17000000000000004}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.51}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.18}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.13}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.17000000000000004,0.51,0.18,0.13,0.01,2672,8018,2830,2043,157,15720,719069.8930625055
876014512ffffff,6088.8252148997135,self_median,"POLYGON ((77.53028530727104 12.90888156717843, 77.52628368951703 12.921362264549598, 77.51370037931676 12.923898313809275, 77.50512021590356 12.91395506011534, 77.50912163834028 12.901475869040837, 77.52170341978581 12.898938425366655, 77.53028530727104 12.90888156717843))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.16000000000000003}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.51}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.18}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.14}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.16000000000000003,0.51,0.18,0.14,0.01,2560,8160,2880,2240,160,16000,741204.6282441213
876189269ffffff,6118.341062410083,neighbour_median,"POLYGON ((77.59205192519424 12.826340596294706, 77.5880510960691 12.838829970325987, 77.57546290224941 12.84137602019833, 77.56687706542778 12.831434084769196, 77.57087770270937 12.818946217496661, 77.58346436893507 12.81639877889759, 77.59205192519424 12.826340596294706))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.17000000000000004}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.5}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.18}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.14}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.17000000000000004,0.5,0.18,0.14,0.01,362,1067,384,298,21,2132,744797.6502161925
8760145b2ffffff,11813.986932397302,self_median,"POLYGON ((77.59098419557743 13.013411456247438, 77.58698094220568 13.025892973867968, 77.57438524877288 13.028424981510149, 77.56579433844675 13.018476863379616, 77.56979739968311 13.005996845074433, 77.58239156366041 13.003463445585849, 77.59098419557743 13.013411456247438))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.08999999999999997}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.3}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.34}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.25}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.02}}",0.08999999999999997,0.3,0.34,0.25,0.02,1519,5064,5739,4220,337,16879,1438139.7861250113
8760145a8ffffff,5837.707391709955,self_median,"POLYGON ((77.4971169414331 12.938910859204448, 77.49311508946207 12.951387464664364, 77.48053499619736 12.953919199185478, 77.47195828441349 12.943975725473974, 77.47595993922123 12.931500626622517, 77.48853850325409 12.92896749487726, 77.4971169414331 12.938910859204448))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.16999999999999993}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.52}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.17}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.13}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.16999999999999993,0.52,0.17,0.13,0.01,1651,5052,1651,1263,97,9714,710635.5634059048
87618924cffffff,6877.626195386222,self_median,"POLYGON ((77.60122871557114 12.871205043233038, 77.59722726305384 12.883693362621853, 77.58463601345704 12.886236634896896, 77.57604774464343 12.876292976607804, 77.58004900576245 12.863806161764773, 77.5926387273725 12.861261500667666, 77.60122871557114 12.871205043233038))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.16000000000000003}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.48}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.2}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.15}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.16000000000000003,0.48,0.2,0.15,0.01,2844,8532,3555,2666,177,17774,837226.9177441382
87618934dffffff,4967.932966443994,neighbour_median,"POLYGON ((77.69621597264637 12.758483957340285, 77.69221556847084 12.770984950603182, 77.67961628605863 12.773542484921437, 77.67101893442029 12.763600406245605, 77.67501915252959 12.751100917618567, 77.68761690862354 12.748542003034068, 77.69621597264637 12.758483957340285))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.17999999999999994}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.55}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.15}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.11}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.17999999999999994,0.55,0.15,0.11,0.01,204,624,170,124,11,1133,604756.217755133
876014591ffffff,7325.348280200706,self_median,"POLYGON ((77.53660763962702 13.036015142335277, 77.53260434059672 13.048491048596787, 77.52001498999378 13.05101796150424, 77.5114304686825 13.041070364171537, 77.515433572579 13.028595958805681, 77.5280213931993 13.026067649878682, 77.53660763962702 13.036015142335277))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.15999999999999992}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.46}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.21}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.16}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.15999999999999992,0.46,0.21,0.16,0.01,3579,10291,4698,3579,223,22370,891729.0047180811
876014522ffffff,5652.173913043478,self_median,"POLYGON ((77.52854745079674 12.804157436773703, 77.52454720064007 12.81664228672152, 77.51196839765362 12.81918606289626, 77.50339137282748 12.809246381940094, 77.50739142770512 12.796763042554975, 77.51996870296593 12.794217873567323, 77.52854745079674 12.804157436773703))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.16999999999999993}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.52}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.17}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.13}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.16999999999999993,0.52,0.17,0.13,0.01,156,477,156,119,9,917,688050.2093797604
876189346ffffff,4492.234968581199,self_median,"POLYGON ((77.78106362356077 12.788015909701134, 77.77706248665224 12.800522908703996, 77.76445076482447 12.8030834963711, 77.75584170627954 12.793138459805204, 77.75984266173694 12.780632960313563, 77.77245285747168 12.778070997877943, 77.78106362356077 12.788015909701134))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.18999999999999995}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.56}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.14}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.1}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.18999999999999995,0.56,0.14,0.1,0.01,309,912,228,162,16,1627,546848.5680496433
876189264ffffff,4469.031142680162,self_median,"POLYGON ((77.68881326927442 12.818426673988766, 77.68481211934588 12.830924613715537, 77.67221137198204 12.833477242707941, 77.66361330178232 12.823533313763955, 77.66761426516688 12.811036876637148, 77.68021348557528 12.80848286585646, 77.68881326927442 12.818426673988766))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.18000000000000005}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.57}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.14}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.1}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.18000000000000005,0.57,0.14,0.1,0.01,2738,8671,2129,1521,152,15211,544023.9208404028
876014c90ffffff,5498.484329820561,self_median,"POLYGON ((77.6418278494204 12.781209283982845, 77.63782738477923 12.793704735003667, 77.62523440136546 12.796257223957921, 77.61664340973495 12.786315646371829, 77.62064368530737 12.773821701607394, 77.63323514185849 12.771267828175644, 77.6418278494204 12.781209283982845))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.17999999999999994}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.53}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.16}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.12}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.17999999999999994,0.53,0.16,0.12,0.01,776,2286,690,517,43,4312,669341.2751638497
8761892d3ffffff,6871.665367117821,neighbour_median,"POLYGON ((77.68959949800265 13.11038796623408, 77.6855945540373 13.122873775056961, 77.67298176523184 13.125404712078042, 77.66437545051818 13.115451226726334, 77.6683802076284 13.102966908771554, 77.6809914665884 13.100434585299865, 77.68959949800265 13.11038796623408))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.16000000000000003}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.48}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.2}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.15}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.16000000000000003,0.48,0.2,0.15,0.01,317,953,397,297,19,1983,836501.2944350808
876189351ffffff,6861.695196821957,self_median,"POLYGON ((77.76905977480877 12.82553437201773, 77.76505819993591 12.83803883375029, 77.75244653178291 12.840595903706134, 77.74383796532261 12.83064988817236, 77.74783935804133 12.818146925023353, 77.76044949965569 12.815588478825703, 77.76905977480877 12.82553437201773))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.16000000000000003}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.48}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.2}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.15}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.16000000000000003,0.48,0.2,0.15,0.01,176,528,220,165,11,1100,835287.6060622247
876014596ffffff,7313.4204819602355,self_median,"POLYGON ((77.57897400291556 13.0508533982883, 77.57497031705978 13.063332302535441, 77.56237469607153 13.065860754755192, 77.55378429111349 13.055911696014904, 77.5577877841306 13.043434290125758, 77.57038187522379 13.040904444620123, 77.57897400291556 13.0508533982883))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.15999999999999992}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.46}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.21}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.16}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.15999999999999992,0.46,0.21,0.16,0.01,2086,5998,2738,2086,130,13038,890277.0104583405
8760145b4ffffff,7772.967185858155,self_median,"POLYGON ((77.60299309022385 12.975961697070936, 77.5989902696178 12.98844581657102, 77.58639450493625 12.990981375325303, 77.57780309015591 12.981034204983278, 77.58180571932974 12.96855158575221, 77.59439995499558 12.966014636595764, 77.60299309022385 12.975961697070936))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.1499999999999999}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.44}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.23}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.17}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.1499999999999999,0.44,0.23,0.17,0.01,3126,9170,4793,3543,208,20840,946218.531490995
876016965ffffff,6666.666666666667,self_median,"POLYGON ((77.5835636623201 13.073282088108439, 77.57955966416368 13.085760429825559, 77.56696251308337 13.088287488726005, 77.55837089053104 13.07833759922963, 77.56237469607153 13.065860754755192, 77.57497031705978 13.063332302535441, 77.5835636623201 13.073282088108439))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.16000000000000003}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.48}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.2}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.15}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.16000000000000003,0.48,0.2,0.15,0.01,1109,3328,1386,1040,69,6932,811546.400806897
876189225ffffff,5401.222222222223,self_median,"POLYGON ((77.81613410154759 12.862764808602188, 77.81213185659476 12.875271737024438, 77.79951245115721 12.87782897081299, 77.79089681756598 12.867880649706384, 77.79489888290622 12.855375216189065, 77.8075167617322 12.852816608873713, 77.81613410154759 12.862764808602188))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.17999999999999994}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.53}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.16}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.12}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.17999999999999994,0.53,0.16,0.12,0.01,361,1065,321,241,20,2008,657501.3681604012
87618921affffff,7088.392159438381,self_median,"POLYGON ((77.76809750220508 13.012791497782636, 77.76409350171288 13.025288128799874, 77.75147430443855 13.027831253690323, 77.74286063633699 13.017879126926598, 77.7468644544005 13.0053839870662, 77.75948212327597 13.002839482812137, 77.76809750220508 13.012791497782636))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.15000000000000002}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.47}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.21}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.16}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.15000000000000002,0.47,0.21,0.16,0.01,341,1069,477,364,22,2273,862883.8716750067
876014510ffffff,5727.272727272727,self_median,"POLYGON ((77.52570472497578 12.886457192253483, 77.52170341978581 12.898938425366655, 77.50912163834028 12.901475869040837, 77.50054269092013 12.891533473974265, 77.50454380057162 12.87905374826591, 77.51712405345997 12.876514910222616, 77.52570472497578 12.886457192253483))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.16999999999999993}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.52}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.17}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.13}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.16999999999999993,0.52,0.17,0.13,0.01,448,1371,448,342,26,2635,697192.1352386524
876014590ffffff,7665.966166576353,self_median,"POLYGON ((77.5577877841306 13.043434290125758, 77.55378429111349 13.055911696014904, 77.54119180423723 13.058439377922882, 77.53260434059672 13.048491048596787, 77.53660763962702 13.036015142335277, 77.54919859656368 13.03348606577373, 77.5577877841306 13.043434290125758))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.1499999999999999}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.45}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.22}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.17}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.1499999999999999,0.45,0.22,0.17,0.01,1675,5026,2457,1899,111,11168,933193.0876788726
876189255ffffff,7301.739568942759,self_median,"POLYGON ((77.66940217992729 12.9158409829, 77.6653998490952 12.928333272128082, 77.6527977004013 12.93087745320773, 77.64419941085475 12.92093072981879, 77.64820155396173 12.908439940205962, 77.66080217462053 12.905894374368252, 77.66940217992729 12.9158409829))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.15999999999999992}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.46}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.21}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.16}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.15999999999999992,0.46,0.21,0.16,0.01,3084,8867,4048,3084,192,19275,888855.0700207197
87618925bffffff,10500.0,self_median,"POLYGON ((77.59840246371652 12.953529970683633, 77.59439995499558 12.966014636595764, 77.58180571932974 12.96855158575221, 77.57321552148338 12.958605259360851, 77.57721783854912 12.946122094829185, 77.58981054539578 12.943583755310295, 77.59840246371652 12.953529970683633))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.10999999999999999}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.34}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.3}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.23}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.02}}",0.10999999999999999,0.34,0.3,0.23,0.02,3260,10076,8891,6816,592,29635,1278185.5812708626
876014585ffffff,6443.992872216711,self_median,"POLYGON ((77.52286057172859 12.968744146161134, 77.51885821096965 12.981221711328736, 77.50627344972142 12.983752812183164, 77.49769257889992 12.973807743777263, 77.5016947438606 12.96133168284288, 77.51427797571945 12.95879918608375, 77.52286057172859 12.968744146161134))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.17000000000000004}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.49}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.19}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.14}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.17000000000000004,0.49,0.19,0.14,0.01,4161,11995,4651,3427,244,24478,784439.8833409152
87618922cffffff,5906.993466198651,self_median,"POLYGON ((77.77828051629993 12.870437112785734, 77.77427832204116 12.882940522020633, 77.76166360023039 12.88549483935722, 77.75305259988548 12.875547123791243, 77.7570546124432 12.863045210924675, 77.76966780732835 12.860489517256376, 77.77828051629993 12.870437112785734))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.17000000000000004}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.51}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.18}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.13}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.17000000000000004,0.51,0.18,0.13,0.01,409,1229,433,313,24,2408,719069.8930625055
876016944ffffff,6364.922206506365,self_median,"POLYGON ((77.57614086315597 13.13314173549477, 77.57213612008105 13.14561687373222, 77.55953751147318 13.148138976699244, 77.55094517694862 13.138187336210363, 77.55494972692667 13.12571369313531, 77.56754680480572 13.123190195387245, 77.57614086315597 13.13314173549477))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.16000000000000003}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.5}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.19}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.14}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.16000000000000003,0.5,0.19,0.14,0.01,259,811,308,227,16,1621,774814.4562159199
87601458bffffff,2835.3568637753524,self_median,"POLYGON ((77.45194786778248 13.00633823262552, 77.44794535615766 13.018808127712337, 77.43536857216455 13.021331977716546, 77.42679583021393 13.011387334102961, 77.4307981421287 12.998918944967786, 77.4433733959817 12.996393693497575, 77.45194786778248 13.00633823262552))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.20999999999999996}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.63}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.09}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.07}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.0}}",0.20999999999999996,0.63,0.09,0.07,0.0,199,598,85,66,0,948,345153.5486700027
876016968ffffff,5262.998832594063,neighbour_median,"POLYGON ((77.52918053784073 13.09586278921147, 77.52517649505886 13.108335506030004, 77.51258569162503 13.110857458887066, 77.50400046187005 13.100908092413711, 77.50800430903661 13.088436874412384, 77.52059358185227 13.085913524068573, 77.52918053784073 13.09586278921147))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.16999999999999993}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.54}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.16}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.12}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.16999999999999993,0.54,0.16,0.12,0.01,62,198,58,44,3,365,640675.1640063917
8760145adffffff,5508.959497866987,self_median,"POLYGON ((77.49254004223 12.916490348557863, 77.48853850325409 12.92896749487726, 77.47595993922123 12.931500626622517, 77.46738444347578 12.921558009231983, 77.47138578506784 12.909082370630212, 77.48396282006705 12.90654784170473, 77.49254004223 12.916490348557863))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.17999999999999994}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.53}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.16}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.12}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.17999999999999994,0.53,0.16,0.12,0.01,1788,5265,1589,1192,99,9933,670616.4379027385
8761892eaffffff,7495.21461988304,self_median,"POLYGON ((77.64998304578212 13.013218281790842, 77.64597953433075 13.025704845700316, 77.63337598712279 13.028240555589914, 77.62477748076111 13.01829108926855, 77.62878080330495 13.005806021967807, 77.64138282139817 13.003268924380466, 77.64998304578212 13.013218281790842))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.15999999999999992}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.45}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.22}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.16}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.15999999999999992,0.45,0.22,0.16,0.01,3507,9866,4823,3508,219,21923,912407.1672061972
8761892cdffffff,11574.4453354718,self_median,"POLYGON ((77.61217705912219 13.0208260277159, 77.60817361476461 13.033309043379827, 77.59557479146217 13.035841821216843, 77.58698094220568 13.025892973867968, 77.59098419557743 13.013411456247438, 77.6035814894712 13.010877287933495, 77.61217705912219 13.0208260277159))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.09999999999999998}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.3}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.33}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.25}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.02}}",0.09999999999999998,0.3,0.33,0.25,0.02,2848,8545,9400,7121,569,28483,1408979.9180007472
876189340ffffff,9985.631811907244,self_median,"POLYGON ((77.75984266173694 12.780632960313563, 77.75584170627954 12.793138459805204, 77.74323309101032 12.79569828219732, 77.73462695763101 12.785753981244985, 77.73862773048175 12.773249982548176, 77.75123481959942 12.77068878401049, 77.75984266173694 12.780632960313563))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.1200000000000001}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.36}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.29}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.22}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.1200000000000001,0.36,0.29,0.22,0.01,365,1095,882,669,30,3041,1215570.5335104263
