h3_lvl_7,neighbour_median,type_median,geom,population_income_distribution,EWS,LIG,MIG,AIG,EIG,EWS_HH,LIG_HH,MIG_HH,AIG_HH,EIG_HH,total_hh,avg_household_income
87601696dffffff,4861.257780795062,self_median,"POLYGON ((77.52459731167798 13.073440240737382, 77.52059358185227 13.085913524068573, 77.50800430903661 13.088436874412384, 77.49942029674561 13.078488338880598, 77.50342383073443 13.066016555482515, 77.51601157312984 13.063491807684699, 77.52459731167798 13.073440240737382))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.17999999999999994}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.55}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.15}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.11}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.17999999999999994,0.55,0.15,0.11,0.01,636,1944,530,388,35,3533,591770.4383098134
8761892a8ffffff,5313.1960460825285,neighbour_median,"POLYGON ((77.79395193178891 13.042650617185382, 77.78994744017007 13.055148181639957, 77.77732360404192 13.057690706371972, 77.7687057883479 13.047737044661613, 77.77271009892391 13.035240968963304, 77.78533240651892 13.032697066218027, 77.79395193178891 13.042650617185382))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.17999999999999994}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.53}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.16}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.12}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.17999999999999994,0.53,0.16,0.12,0.01,120,355,107,80,6,668,646785.7691969568
8761892eeffffff,7307.692307692308,self_median,"POLYGON ((77.66659157531416 12.998191800161356, 77.66258818731443 13.010680412825707, 77.64998304578212 13.013218281790842, 77.64138282139817 13.003268924380466, 77.64538602141836 12.99078180816211, 77.65798963408241 12.988242552908833, 77.66659157531416 12.998191800161356))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.15999999999999992}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.46}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.21}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.16}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.15999999999999992,0.46,0.21,0.16,0.01,1279,3677,1678,1279,79,7992,889579.7085767908
8761892e3ffffff,6025.133335522624,self_median,"POLYGON ((77.68780318379181 13.005601744609312, 77.68379960896571 13.018091852442076, 77.67119134617862 13.020630494093403, 77.66258818731443 13.010680412825707, 77.66659157531416 12.998191800161356, 77.67919830928514 12.995651773596688, 77.68780318379181 13.005601744609312))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.17000000000000004}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.51}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.18}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.13}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.17000000000000004,0.51,0.18,0.13,0.01,3800,11400,4023,2905,223,22351,733451.290923756
876016963ffffff,6131.827127541852,self_median,"POLYGON ((77.57155123537515 13.110714484739123, 77.56754680480572 13.123190195387245, 77.55494972692667 13.12571369313531, 77.54635861042807 13.115762874987574, 77.55036284767795 13.103288660619597, 77.56295839502542 13.100763768119958, 77.57155123537515 13.110714484739123))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.17000000000000004}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.5}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.18}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.14}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.17000000000000004,0.5,0.18,0.14,0.01,553,1629,586,456,32,3256,746439.3353590023
876014594ffffff,8307.84999786771,self_median,"POLYGON ((77.57438524877288 13.028424981510149, 77.57038187522379 13.040904444620123, 77.5577877841306 13.043434290125758, 77.54919859656368 13.03348606577373, 77.55320177705151 13.021008102136088, 77.56579433844675 13.018476863379616, 77.57438524877288 13.028424981510149))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.15000000000000013}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.42}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.24}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.18}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.15000000000000013,0.42,0.24,0.18,0.01,3625,10150,5800,4350,241,24166,1011330.864631969
876189273ffffff,6772.224043715847,self_median,"POLYGON ((77.68600812653077 12.900800325107035, 77.6820059199165 12.913294649941495, 77.66940217992729 12.9158409829, 77.66080217462053 12.905894374368252, 77.6648041944373 12.893401548981318, 77.67740640663867 12.890853832679987, 77.68600812653077 12.900800325107035))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.16000000000000003}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.48}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.2}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.15}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.16000000000000003,0.48,0.2,0.15,0.01,1824,5472,2280,1710,114,11400,824396.1072203288
87601451effffff,5797.892395768311,self_median,"POLYGON ((77.48796404604242 12.894070158192276, 77.48396282006705 12.90654784170473, 77.47138578506784 12.909082370630212, 77.4628115051572 12.899140613181643, 77.46681253352831 12.886664438495009, 77.47938803969205 12.884128512434776, 77.48796404604242 12.894070158192276))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.16999999999999993}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.52}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.17}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.13}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.16999999999999993,0.52,0.17,0.13,0.01,954,2919,954,729,56,5612,705788.8059077174
876189352ffffff,5069.848769778481,self_median,"POLYGON ((77.79489888290622 12.855375216189065, 77.79089681756598 12.867880649706384, 77.77828051629993 12.870437112785734, 77.76966780732835 12.860489517256376, 77.7736696918979 12.847985579930539, 77.78628446649134 12.845427741943153, 77.79489888290622 12.855375216189065))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.18999999999999995}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.54}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.15}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.11}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.18999999999999995,0.54,0.15,0.11,0.01,518,1473,409,300,27,2727,617162.6282623501
876189359ffffff,4813.863928112965,self_median,"POLYGON ((77.710018317232 12.825816446863097, 77.7060169819118 12.838315887911355, 77.69341311937761 12.840869281128827, 77.68481211934588 12.830924613715537, 77.68881326927442 12.818426673988766, 77.70141560490679 12.815871900355608, 77.710018317232 12.825816446863097))","{'EWS': {'min': 0, 'max': 180000, 'household_ratio': 0.17999999999999994}, 'LIG': {'min': 180000, 'max': 600000, 'household_ratio': 0.55}, 'MIG': {'min': 600000, 'max': 2000000, 'household_ratio': 0.15}, 'AIG': {'min': 2000000, 'max': 4800000, 'household_ratio': 0.11}, 'EIG': {'min': 4800000, 'max': 1000000000, 'household_ratio': 0.01}}",0.17999999999999994,0.55,0.15,0.11,0.01,2482,7586,2069,1517,137,13791,586001.0917251342
