id,name,lat,lng,cid,number_of_votes,place_url,source,category,created_at,number_of_reviews,date
19360085,DVG Benne Dosa,12.991140104,77.5749594346,,25,,zomato,restaurant,1688639100,,
18422900,Sri Maruthi Miltry Hotel,13.0002867332,77.5525090098,,9636,,zomato,restaurant,1688639100,9742,1397932200.0
19528246,Biryani Mount,12.9834466519,77.5488327071,,1388,,zomato,restaurant,1688639100,9742,1397932200.0
18614340,California Burrito,13.0111640468,77.5543935969,,4304,,zomato,restaurant,1688639100,9742,1397932200.0
50315,Corner House Ice Creams,13.0280584298,77.572940737,,992,,zomato,restaurant,1688639100,9742,1397932200.0
19453127,Samosa Singh,12.9906399,77.5428625,,410,,zomato,restaurant,1688639100,9742,1397932200.0
19503607,Beijing Bites,12.9834495922,77.5487666577,,2380,,zomato,restaurant,1688639100,9742,1397932200.0
51504,Nandhini Deluxe,12.9987370425,77.5840530973,,9602,,zomato,restaurant,1688639100,9742,1397932200.0
20200418,Theobroma,13.0120242,77.5552261,,522,,zomato,restaurant,1688639100,9742,1397932200.0
18707472,Tata Cha now Qmin,12.9917190063,77.5713350996,,286,,zomato,restaurant,1688639100,9742,1397932200.0
18707472,Tata Cha now Qmin,12.9917190063,77.5713350996,,286,,zomato,restaurant,1688639100,9742,1397932200.0
58951,Kanti Sweets,13.0047233705,77.5711872429,,2899,,zomato,restaurant,1688639100,9742,1397932200.0
19740210,Koli Hut,13.0109964659,77.5435169041,,4,,zomato,restaurant,1688639100,,
18333139,Pot Biryani,13.0300179716,77.5628110394,,3800,,zomato,restaurant,1688639100,9742,1397932200.0
19351170,Go Native,13.0045561405,77.5817051304,,637,,zomato,restaurant,1688639100,9742,1397932200.0
19129056,You Mee,13.0113832411,77.5547097623,,1887,,zomato,restaurant,1688639100,9742,1397932200.0
19137475,Belgian Waffle Factory,13.0275289359,77.5716495886,,1250,,zomato,restaurant,1688639100,9742,1397932200.0
51039,Truffles,13.0281946411,77.5731197745,,6258,,zomato,restaurant,1688639100,9742,1397932200.0
50311,Corner House Ice Creams,12.9884896159,77.5770733505,,13400,,zomato,restaurant,1688639100,9742,1397932200.0
18761179,Cream & Fudge,12.9912691484,77.5705545768,,192,,zomato,restaurant,1688639100,9742,1397932200.0
53769,Shuchi Ruchi,13.0012337844,77.5722621381,,8292,,zomato,restaurant,1688639100,9742,1397932200.0
18547761,Keventers - Milkshakes & Desserts,13.006758232,77.5644009188,,1236,,zomato,restaurant,1688639100,9742,1397932200.0
19892880,Biriyani Mane,12.9894566406,77.5719979405,,0,,zomato,restaurant,1688639100,,
19745380,Hari Super Sandwich,13.0066520629,77.5639942288,,1776,,zomato,restaurant,1688639100,9742,1397932200.0
18574453,Punjabi Tasty Khana,12.9927196678,77.5741775706,,3,,zomato,restaurant,1688639100,,
19528204,Schezwan Hub,12.9833483137,77.5487633049,,652,,zomato,restaurant,1688639100,9742,1397932200.0
