geoid,geometry,affluence_index
1125002696,"MULTIPOLYGON (((77.5604163715 13.0262501489, 77.56124970483 13.0262501489, 77.56208303816 13.0262501489, 77.56291637148999 13.0262501489, 77.56374970481998 13.0262501489, 77.56374970481998 13.027083482230001, 77.56291637148999 13.027083482230001, 77.56291637148999 13.027916815560001, 77.56374970481998 13.027916815560001, 77.56374970482 13.028750148890001, 77.56458303815 13.028750148890001, 77.56458303815 13.027916815560001, 77.56541637148 13.027916815560001, 77.56541637148 13.028750148890001, 77.56624970480999 13.028750148890001, 77.56708303814 13.028750148890001, 77.56708303814 13.027916815560001, 77.56791637147 13.027916815560001, 77.5687497048 13.027916815560001, 77.5687497048 13.028750148890001, 77.5687497048 13.029583482220001, 77.5687497048 13.030416815550002, 77.5687497048 13.031250148880002, 77.5687497048 13.032083482210002, 77.5687497048 13.032916815540002, 77.5687497048 13.03375014887, 77.5687497048 13.034583482199999, 77.56791637147 13.034583482199999, 77.56708303814 13.034583482199999, 77.56624970480999 13.034583482199999, 77.56541637148 13.034583482199999, 77.56458303815 13.034583482199999, 77.56374970482 13.034583482199999, 77.56291637148999 13.034583482199999, 77.56208303816 13.034583482199999, 77.56124970483 13.034583482199999, 77.5604163715 13.034583482199999, 77.5604163715 13.03375014887, 77.5604163715 13.032916815540002, 77.5604163715 13.032083482210002, 77.5604163715 13.031250148880002, 77.5604163715 13.030416815550002, 77.5604163715 13.029583482220001, 77.5604163715 13.028750148890001, 77.5604163715 13.027916815560001, 77.5604163715 13.027083482230001, 77.5604163715 13.0262501489)), ((77.56458303815 13.0262501489, 77.56541637148 13.0262501489, 77.56541637148 13.027083482230001, 77.56458303815 13.027083482230001, 77.56458303815 13.0262501489)))",2.5508630992315187
1135002699,"POLYGON ((77.6437497045 13.001250149, 77.64458303782999 13.001250149, 77.64541637116 13.001250149, 77.64541637116 13.00208348233, 77.64624970449 13.00208348233, 77.64708303782 13.00208348233, 77.64708303782 13.001250149, 77.64791637114999 13.001250149, 77.64874970448 13.001250149, 77.64958303781 13.001250149, 77.65041637114 13.001250149, 77.65124970446999 13.001250149, 77.6520830378 13.001250149, 77.6520830378 13.00208348233, 77.6520830378 13.00291681566, 77.6520830378 13.003750148990001, 77.6520830378 13.004583482320001, 77.6520830378 13.005416815650001, 77.6520830378 13.006250148980001, 77.6520830378 13.007083482310001, 77.6520830378 13.007916815640002, 77.6520830378 13.008750148970002, 77.6520830378 13.009583482300002, 77.65124970446999 13.009583482300002, 77.65041637114 13.009583482300002, 77.64958303781 13.009583482300002, 77.64874970448 13.009583482300002, 77.64791637114999 13.009583482300002, 77.64708303782 13.009583482300002, 77.64624970449 13.009583482300002, 77.64541637116 13.009583482300002, 77.64458303782999 13.009583482300002, 77.6437497045 13.009583482300002, 77.6437497045 13.008750148970002, 77.6437497045 13.007916815640002, 77.6437497045 13.007083482310001, 77.6437497045 13.006250148980001, 77.6437497045 13.005416815650001, 77.6437497045 13.004583482320001, 77.6437497045 13.003750148990001, 77.6437497045 13.00291681566, 77.6437497045 13.00208348233, 77.6437497045 13.001250149))",3.3247671762676254
1134002700,"MULTIPOLYGON (((77.6354163712 12.9929168157, 77.63624970453 12.9929168157, 77.63708303786 12.9929168157, 77.63791637118999 12.9929168157, 77.63874970452 12.9929168157, 77.63958303785 12.9929168157, 77.64041637118 12.9929168157, 77.64124970450999 12.9929168157, 77.64208303784 12.9929168157, 77.64291637117 12.9929168157, 77.6437497045 12.9929168157, 77.6437497045 12.99375014903, 77.6437497045 12.99458348236, 77.6437497045 12.99541681569, 77.6437497045 12.99625014902, 77.6437497045 12.99708348235, 77.6437497045 12.99791681568, 77.6437497045 12.99875014901, 77.6437497045 12.99958348234, 77.6437497045 13.00041681567, 77.6437497045 13.001250149, 77.64291637117 13.001250149, 77.64208303784 13.001250149, 77.64124970450999 13.001250149, 77.64041637118 13.001250149, 77.63958303785 13.001250149, 77.63874970452 13.001250149, 77.63791637118999 13.001250149, 77.63708303786 13.001250149, 77.63624970453 13.001250149, 77.63624970453 13.00041681567, 77.6354163712 13.00041681567, 77.6354163712 12.99958348234, 77.6354163712 12.99875014901, 77.6354163712 12.99791681568, 77.63624970452999 12.99791681568, 77.63624970452999 12.99875014901, 77.63624970453 12.99958348234, 77.63708303786 12.99958348234, 77.63791637118999 12.99958348234, 77.63791637119 12.99875014901, 77.63791637119 12.99791681568, 77.63874970452 12.99791681568, 77.63874970452 12.99875014901, 77.63958303785 12.99875014901, 77.63958303785 12.99791681568, 77.64041637118 12.99791681568, 77.64124970450999 12.99791681568, 77.64208303784 12.99791681568, 77.64291637117 12.99791681568, 77.64291637117 12.99708348235, 77.64208303784 12.99708348235, 77.64124970451 12.99708348235, 77.64124970450999 12.99625014902, 77.64041637118 12.99625014902, 77.64041637118 12.99541681569, 77.63958303785 12.99541681569, 77.63874970452 12.99541681569, 77.63874970452 12.99625014902, 77.63791637119 12.99625014902, 77.63791637119 12.99541681569, 77.63791637118999 12.99458348236, 77.63708303786 12.99458348236, 77.63624970453 12.99458348236, 77.63624970453 12.99375014903, 77.6354163712 12.99375014903, 77.6354163712 12.9929168157)), ((77.6354163712 12.99458348236, 77.63624970453 12.99458348236, 77.63624970452999 12.99541681569, 77.6354163712 12.99541681569, 77.6354163712 12.99458348236)))",3.4891040058159892
1105002711,"POLYGON ((77.39791637215 12.90875014937, 77.39791637215 12.9095834827, 77.39708303882 12.9095834827, 77.39708303882 12.90875014937, 77.39791637215 12.90875014937))",2.5
1141002704,"POLYGON ((77.6937497043 12.959583482500001, 77.69458303763 12.959583482500001, 77.69458303763 12.960416815830001, 77.69458303763 12.961250149160001, 77.69458303763 12.962083482490002, 77.69458303763 12.962916815820002, 77.69541637095999 12.962916815820002, 77.69541637096 12.963750149150002, 77.69624970429 12.963750149150002, 77.69708303761999 12.963750149150002, 77.69708303761999 12.964583482480002, 77.69708303761999 12.965416815809998, 77.69791637095 12.965416815809998, 77.69791637095 12.966250149139999, 77.69874970428 12.966250149139999, 77.69874970428 12.96541681581, 77.69874970428 12.964583482480002, 77.69958303761 12.964583482480002, 77.70041637093999 12.964583482480002, 77.70041637093999 12.963750149150002, 77.69958303761 12.963750149150002, 77.69874970428 12.963750149150002, 77.69791637095 12.963750149150002, 77.69708303761999 12.963750149150002, 77.69708303762 12.962916815820002, 77.69791637095 12.962916815820002, 77.69791637095 12.962083482490002, 77.69708303761999 12.962083482490002, 77.69624970429 12.962083482490002, 77.69624970429 12.961250149160001, 77.69708303761999 12.961250149160001, 77.69708303761999 12.960416815830001, 77.69624970429 12.960416815830001, 77.69541637096 12.960416815830001, 77.69541637096 12.959583482500001, 77.69624970429 12.959583482500001, 77.69708303761999 12.959583482500001, 77.69791637095 12.959583482500001, 77.69874970428 12.959583482500001, 77.69958303761 12.959583482500001, 77.70041637093999 12.959583482500001, 77.70124970427 12.959583482500001, 77.70208303759999 12.959583482500001, 77.70208303759999 12.960416815830001, 77.70208303759999 12.961250149160001, 77.70208303759999 12.962083482490002, 77.70208303759999 12.962916815820002, 77.70208303759999 12.963750149150002, 77.70208303759999 12.964583482480002, 77.70208303759999 12.96541681581, 77.70208303759999 12.966250149139999, 77.70208303759999 12.967083482469999, 77.70208303759999 12.967916815799999, 77.70124970427 12.967916815799999, 77.70041637093999 12.967916815799999, 77.69958303761 12.967916815799999, 77.69874970428 12.967916815799999, 77.69791637095 12.967916815799999, 77.69708303761999 12.967916815799999, 77.69624970429 12.967916815799999, 77.69541637096 12.967916815799999, 77.69458303763 12.967916815799999, 77.69458303763 12.967083482469999, 77.69458303763 12.966250149139999, 77.6937497043 12.966250149139999, 77.6937497043 12.965416815809998, 77.69458303763 12.96541681581, 77.69458303763 12.964583482480002, 77.69458303763 12.963750149150002, 77.6937497043 12.963750149150002, 77.6937497043 12.962916815820002, 77.6937497043 12.962083482490002, 77.6937497043 12.961250149160001, 77.6937497043 12.960416815830001, 77.6937497043 12.959583482500001), (77.69958303761 12.96541681581, 77.69958303761 12.966250149139999, 77.69958303761 12.967083482469999, 77.70041637093999 12.967083482469999, 77.70041637093999 12.966250149139999, 77.70124970427 12.966250149139999, 77.70124970427 12.96541681581, 77.70041637093999 12.965416815810002, 77.69958303761 12.96541681581))",3.119999999999998
1154002711,"MULTIPOLYGON (((77.80208303719999 12.9012501494, 77.80291637052999 12.9012501494, 77.80291637052999 12.90208348273, 77.80208303719999 12.90208348273, 77.80208303719999 12.9012501494)), ((77.80624970385 12.90625014938, 77.80708303717999 12.90625014938, 77.80791637050999 12.90625014938, 77.80874970384 12.90625014938, 77.80874970384 12.90708348271, 77.80958303717 12.90708348271, 77.8104163705 12.90708348271, 77.8104163705 12.90791681604, 77.8104163705 12.90875014937, 77.8104163705 12.9095834827, 77.80958303717 12.9095834827, 77.80874970384 12.9095834827, 77.80791637050999 12.9095834827, 77.80708303717999 12.9095834827, 77.80624970385 12.9095834827, 77.80541637051999 12.9095834827, 77.80541637051999 12.90875014937, 77.80458303719 12.90875014937, 77.80458303719 12.90791681604, 77.80541637051999 12.90791681604, 77.80624970385 12.90791681604, 77.80624970385 12.90708348271, 77.80624970385 12.90625014938)), ((77.80208303719999 12.90708348271, 77.80291637052999 12.90708348271, 77.80291637052999 12.90791681604, 77.80208303719999 12.90791681604, 77.80208303719999 12.90708348271)))",2.7
1136002684,"MULTIPOLYGON (((77.6520830378 13.126250148499999, 77.65291637112999 13.126250148499999, 77.65291637112999 13.127083481829999, 77.65291637112999 13.127916815159999, 77.6520830378 13.127916815159999, 77.6520830378 13.127083481829999, 77.6520830378 13.126250148499999)), ((77.65458303778999 13.126250148499999, 77.65541637112 13.126250148499999, 77.65624970444999 13.126250148499999, 77.65624970444999 13.127083481829999, 77.65624970444999 13.127916815159999, 77.65624970444999 13.128750148489999, 77.65541637112 13.128750148489999, 77.65458303778999 13.128750148489999, 77.65458303778999 13.127916815159999, 77.65458303778999 13.127083481829999, 77.65458303778999 13.126250148499999)), ((77.65874970444 13.126250148499999, 77.65958303776999 13.126250148499999, 77.65958303777 13.127083481829999, 77.65874970444 13.127083481829999, 77.65874970444 13.126250148499999)), ((77.65958303777 13.127083481829999, 77.6604163711 13.127083481829999, 77.6604163711 13.127916815159999, 77.6604163711 13.128750148489999, 77.65958303777 13.128750148489999, 77.65958303777 13.127916815159999, 77.65958303777 13.127083481829999)), ((77.65541637112 13.13208348181, 77.65624970444999 13.13208348181, 77.65624970444999 13.13291681514, 77.65541637112 13.13291681514, 77.65541637112 13.13208348181)), ((77.65874970444 13.13208348181, 77.65958303776999 13.13208348181, 77.65958303776999 13.13291681514, 77.65874970444 13.13291681514, 77.65874970444 13.13208348181)), ((77.6520830378 13.13375014847, 77.65291637112999 13.13375014847, 77.65291637112999 13.1345834818, 77.6520830378 13.1345834818, 77.6520830378 13.13375014847)))",3.3
1142002712,"POLYGON ((77.70374970425999 12.892916816100001, 77.70458303758998 12.892916816100001, 77.70458303759 12.893750149430002, 77.70541637092 12.893750149430002, 77.70541637092 12.892916816100001, 77.70624970425 12.892916816100001, 77.70708303757999 12.892916816100001, 77.70791637091 12.892916816100001, 77.70874970423999 12.892916816100001, 77.70874970424 12.893750149430002, 77.70958303757 12.893750149430002, 77.70958303757 12.892916816100001, 77.71041637089999 12.892916816100001, 77.71041637089999 12.893750149430002, 77.71041637089999 12.894583482760002, 77.71041637089999 12.895416816090002, 77.71041637089999 12.896250149420002, 77.71041637089999 12.89708348275, 77.71041637089999 12.897916816079999, 77.71041637089999 12.898750149409999, 77.71041637089999 12.899583482739999, 77.71041637089999 12.900416816069999, 77.71041637089999 12.9012501494, 77.70958303757 12.9012501494, 77.70874970424 12.9012501494, 77.70791637091 12.9012501494, 77.70708303757999 12.9012501494, 77.70624970425 12.9012501494, 77.70541637092 12.9012501494, 77.70458303759 12.9012501494, 77.70374970425999 12.9012501494, 77.70291637093 12.9012501494, 77.7020830376 12.9012501494, 77.7020830376 12.900416816069999, 77.7020830376 12.899583482739999, 77.7020830376 12.898750149409999, 77.7020830376 12.897916816079999, 77.7020830376 12.89708348275, 77.7020830376 12.896250149420002, 77.7020830376 12.895416816090002, 77.7020830376 12.894583482760002, 77.7020830376 12.893750149430002, 77.70291637093 12.893750149430002, 77.70374970425999 12.893750149430002, 77.70374970425999 12.892916816100001))",3.620000000000001
1097002705,"MULTIPOLYGON (((77.33374970574 12.9512501492, 77.33458303907 12.9512501492, 77.33541637239999 12.9512501492, 77.33541637239999 12.95208348253, 77.33458303907 12.95208348253, 77.33374970574 12.95208348253, 77.33374970574 12.9512501492)), ((77.33374970574 12.95291681586, 77.33458303907 12.95291681586, 77.33541637239999 12.95291681586, 77.33541637239999 12.95375014919, 77.33458303907 12.95375014919, 77.33374970574 12.95375014919, 77.33374970574 12.95291681586)), ((77.3270830391 12.95375014919, 77.32791637243 12.95375014919, 77.32791637243 12.95458348252, 77.3270830391 12.95458348252, 77.3270830391 12.95375014919)))",1.9999999999999998
1143002738,"POLYGON ((77.71374970421999 12.67958348362, 77.71458303755 12.67958348362, 77.71541637087999 12.67958348362, 77.71624970420999 12.67958348362, 77.71624970420999 12.68041681695, 77.71708303754 12.68041681695, 77.71708303754 12.68125015028, 77.71791637086999 12.68125015028, 77.71791637087 12.68208348361, 77.7187497042 12.68208348361, 77.7187497042 12.68291681694, 77.7187497042 12.68375015027, 77.7187497042 12.6845834836, 77.71791637087 12.6845834836, 77.71708303754 12.6845834836, 77.71624970420999 12.6845834836, 77.71541637087999 12.6845834836, 77.71458303755 12.6845834836, 77.71374970421999 12.6845834836, 77.71291637088999 12.6845834836, 77.71208303755999 12.6845834836, 77.71124970423 12.6845834836, 77.71041637089999 12.6845834836, 77.71041637089999 12.68375015027, 77.71041637089999 12.68291681694, 77.71041637089999 12.68208348361, 77.71041637089999 12.68125015028, 77.71041637089999 12.68041681695, 77.71124970423 12.68041681695, 77.71208303755999 12.68041681695, 77.71291637088999 12.68041681695, 77.71374970421999 12.68041681695, 77.71374970421999 12.67958348362))",1.9447650439613415
