id,name,lat,lng,cid,number_of_votes,place_url,source,category,created_at,date,new_num_reviews
ChIJA62iq749rjsRwmFXXzHFu-Y,Swastik jewellers,12.992217063903809,77.53309631347656,0x3bae3dbeaba2ad03:0xe6bbc5315f5761c2,23,https://www.google.com/maps/place/?q=place_id:ChIJA62iq749rjsRwmFXXzHFu-Y,gmaps_v2,jewelry_store,1687847039,1503906589.0,24.0
ChIJq6qqpiAWrjsRq5joKjsv4v0,Manju Jewellers,12.993809700012209,77.56338500976562,0x3bae1620a6aaaaab:0xfde22f3b2ae898ab,21,https://www.google.com/maps/place/?q=place_id:ChIJq6qqpiAWrjsRq5joKjsv4v0,gmaps_v2,jewelry_store,1687847039,1463652619.0,21.0
ChIJg1WXJBYWrjsRHNEwzSMI_Gg,Alankar,12.988463401794434,77.57730102539062,0x3bae161624975583:0x68fc0823cd30d11c,25,https://www.google.com/maps/place/?q=place_id:ChIJg1WXJBYWrjsRHNEwzSMI_Gg,gmaps_v2,jewelry_store,1687847039,1512890018.0,25.0
ChIJc0qdcQYRrjsRWEgfgRBNa0Q,Om Barlota Jewellers,12.993563652038574,77.5648193359375,0x3bae1106719d4a73:0x446b4d10811f4858,13,https://www.google.com/maps/place/?q=place_id:ChIJc0qdcQYRrjsRWEgfgRBNa0Q,gmaps_v2,jewelry_store,1687847039,1532396471.0,13.0
ChIJcb9zmOQ9rjsR4oqRlX6-q0Q,AKSHAYA SILVER,12.97317123413086,77.5601806640625,0x3bae3de49873bf71:0x44abbe7e95918ae2,213,https://www.google.com/maps/place/?q=place_id:ChIJcb9zmOQ9rjsR4oqRlX6-q0Q,gmaps_v2,jewelry_store,1687847039,1577538891.0,240.0
ChIJvd72ML49rjsRXCz_e_BhNlo,CLASSIC HEALTH & FITNESS EQUIPMENTS,12.99765396118164,77.54517364501953,0x3bae3dbe30f6debd:0x5a3661f07bff2c5c,48,https://www.google.com/maps/place/?q=place_id:ChIJvd72ML49rjsRXCz_e_BhNlo,gmaps_v2,shoe_store,1687847039,1476189430.0,49.0
ChIJo78bHoBhUzoRncIVfbFf030,The Bangalore Fitness Equipment,13.038308143615724,77.55683898925781,0x3a5361801e1bbfa3:0x7dd35fb17d15c29d,103,https://www.google.com/maps/place/?q=place_id:ChIJo78bHoBhUzoRncIVfbFf030,gmaps_v2,shoe_store,1687847039,1454760584.0,120.0
ChIJ2SEVvos9rjsRqbQYCWWjWU8,Sree krish Enterprises,12.992961883544922,77.55732727050781,0x3bae3d8bbe1521d9:0x4f59a3650918b4a9,62,https://www.google.com/maps/place/?q=place_id:ChIJ2SEVvos9rjsRqbQYCWWjWU8,gmaps_v2,shoe_store,1687847039,1496889500.0,61.0
ChIJk6CG2SQWrjsRsPJeBfyF59A,JAGADEESH UNIFORMS,12.997026443481444,77.57271575927734,0x3bae1624d986a093:0xd0e785fc055ef2b0,61,https://www.google.com/maps/place/?q=place_id:ChIJk6CG2SQWrjsRsPJeBfyF59A,gmaps_v2,shoe_store,1687847039,1497254974.0,64.0
ChIJ1-4cwRM9rjsRlfzNU9NRfHM,OUTDECK,13.02478313446045,77.53450775146484,0x3bae3d13c11ceed7:0x737c51d353cdfc95,44,https://www.google.com/maps/place/?q=place_id:ChIJ1-4cwRM9rjsRlfzNU9NRfHM,gmaps_v2,shoe_store,1687847039,1406704211.0,49.0
ChIJSUmfUps9rjsRH58a8IEFeD0,Lovely dresses,13.003941535949709,77.55039978027344,0x3bae3d9b529f4949:0x3d780581f01a9f1f,133,https://www.google.com/maps/place/?q=place_id:ChIJSUmfUps9rjsRH58a8IEFeD0,gmaps_v2,clothing_store,1687847039,1473780644.0,141.0
ChIJg8CNw189rjsRl9tMEtLMLhY,LEGEND FASHION,12.97880744934082,77.54073333740234,0x3bae3d5fc38dc083:0x162eccd2124cdb97,13,https://www.google.com/maps/place/?q=place_id:ChIJg8CNw189rjsRl9tMEtLMLhY,gmaps_v2,clothing_store,1687847039,,
ChIJMarajf8XrjsRZzVNJWmt9KU,Shloka Sudhakar Studio,13.012229919433594,77.5794677734375,0x3bae17ff8ddaaa31:0xa5f4ad69254d3567,60,https://www.google.com/maps/place/?q=place_id:ChIJMarajf8XrjsRZzVNJWmt9KU,gmaps_v2,clothing_store,1687847039,,
ChIJK_KlvRg9rjsRtmHBxzejET8,Brahmini Apparels,13.033330917358398,77.55767059326172,0x3bae3d18bda5f22b:0x3f11a337c7c161b6,56,https://www.google.com/maps/place/?q=place_id:ChIJK_KlvRg9rjsRtmHBxzejET8,gmaps_v2,clothing_store,1687847039,1570105450.0,60.0
ChIJoRTTyUc9rjsRpwF87lFz7-k,Friends Collections,13.007787704467772,77.54722595214844,0x3bae3d47c9d314a1:0xe9ef7351ee7c01a7,87,https://www.google.com/maps/place/?q=place_id:ChIJoRTTyUc9rjsRpwF87lFz7-k,gmaps_v2,clothing_store,1687847039,1625669045.0,85.0
ChIJNe8kA5c9rjsRtIMSGsUYtT8,Sri Gayathri Silk House,12.995936393737791,77.54254150390625,0x3bae3d970324ef35:0x3fb518c51a1283b4,29,https://www.google.com/maps/place/?q=place_id:ChIJNe8kA5c9rjsRtIMSGsUYtT8,gmaps_v2,clothing_store,1687847039,1533893519.0,30.0
ChIJ_3Sff3AXrjsR7GBMaQ08_f4,The Fashion Lab - a designer for ladies and children,12.993768692016602,77.56644439697266,0x3bae17707f9f74ff:0xfefd3c0d694c60ec,13,https://www.google.com/maps/place/?q=place_id:ChIJ_3Sff3AXrjsR7GBMaQ08_f4,gmaps_v2,clothing_store,1687847039,1610128535.0,12.0
ChIJo6e_DPE9rjsRPx2NlICnriM,Pearl Creation,12.980687141418455,77.55378723144531,0x3bae3df10cbfa7a3:0x23aea780948d1d3f,41,https://www.google.com/maps/place/?q=place_id:ChIJo6e_DPE9rjsRPx2NlICnriM,gmaps_v2,clothing_store,1687847039,1488735571.0,44.0
ChIJbWFvzZc9rjsR5Z0l-7QUnDg,ROCKERR,12.99560546875,77.53978729248047,0x3bae3d97cd6f616d:0x389c14b4fb259de5,20,https://www.google.com/maps/place/?q=place_id:ChIJbWFvzZc9rjsR5Z0l-7QUnDg,gmaps_v2,clothing_store,1687847039,,
ChIJe9njVvM9rjsR88UdfWyE5Nw,BlueSky Readymades (Men's n Women's Clothing),12.987566947937012,77.55603790283203,0x3bae3df356e3d97b:0xdce4846c7d1dc5f3,25,https://www.google.com/maps/place/?q=place_id:ChIJe9njVvM9rjsR88UdfWyE5Nw,gmaps_v2,clothing_store,1687847039,1386225602.0,24.0
ChIJARvbhz89rjsRwCiv29rWdl0,The Walkin 'Wardrobe,13.024553298950195,77.55723571777344,0x3bae3d3f87db1b01:0x5d76d6dadbaf28c0,30,https://www.google.com/maps/place/?q=place_id:ChIJARvbhz89rjsRwCiv29rWdl0,gmaps_v2,clothing_store,1687847039,1686235290.0,31.0
