id,name,Unnamed: 2,active,top_category,category,sub_categories,type,brand_name,brand_id,source,number_of_votes,address,image_url,place_url,verified,lat,lng
ChIJcfZV2ygWrjsRRoCi4Z5uTWM,My Inst High School,,True,education,school,['School'],high_school,N_A,N_A,gmaps_v2,2,"My Inst High School, 8, 11th Cross, Malleshwaram, Malleshwaram, Bengaluru, Karnataka 560003",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7LeExNUno-nOoQsUE0h_vQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=58.001717&pitch=0&thumbfov=100,https://www.google.com/maps/place/?q=place_id:ChIJcfZV2ygWrjsRRoCi4Z5uTWM,True,13.001885414123535,77.56643676757812
ChIJHXUCwhc9rjsRFY4ZMYoB1Sk,Mpl Sastry Pu College,,True,education,college,['College'],N_A,N_A,N_A,gmaps_v2,2,"Mpl Sastry Pu College, 25/1, PU College Rd, Yeshwanthpur Suburb II Stage, Yesvanpur Surburb, Peenya, Bengaluru, Karnataka 560058",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xdNatdy5fBcasdhrjQZwfw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=349.36902&pitch=0&thumbfov=100,https://www.google.com/maps/place/?q=place_id:ChIJHXUCwhc9rjsRFY4ZMYoB1Sk,True,13.030770301818848,77.52898406982422
ChIJ80HdX-wXrjsRTnUs48VQUSQ,BBMP Higher Primary and High School,,True,education,school,['School'],high_school,N_A,N_A,gmaps_v2,2,"2H3F+72F BBMP Higher Primary and High School, 12th Cross Rd, Vyalikaval, Kodandarampura, Malleshwaram, Bengaluru, Karnataka 560003",https://lh5.googleusercontent.com/p/AF1QipM4nh0dKT5OMM2Csr2d4Ra4H2AjSVz1v0ddCTWw=w122-h92-k-no,https://www.google.com/maps/place/?q=place_id:ChIJ80HdX-wXrjsRTnUs48VQUSQ,True,13.003185272216797,77.57255554199219
ChIJ02OxzSMWrjsRqPD48SgFXU0,Government Primary School,,True,education,school,['Primary school'],N_A,N_A,N_A,gmaps_v2,2,"XHR9+JCJ Government Primary School, Swatantra Palya, Sevashrama, Bengaluru, Karnataka 560021",,https://www.google.com/maps/place/?q=place_id:ChIJ02OxzSMWrjsRqPD48SgFXU0,True,12.991580963134766,77.56853485107422
ChIJDfpvhyYWrjsR3AwGq_WUhKQ,K K E C S Institute Of Management,,True,education,college,['Educational institution'],N_A,N_A,N_A,gmaps_v2,2,"K K E C S Institute Of Management, 90/1, 90/2, 5th Cross, Mahakavi Kuvempu Road, Malleshwaram, Malleshwaram, Bengaluru, Karnataka 560003",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vpniLndp81KRhOpgt-EQjA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=224.71426&pitch=0&thumbfov=100,https://www.google.com/maps/place/?q=place_id:ChIJDfpvhyYWrjsR3AwGq_WUhKQ,True,12.998188018798828,77.55805206298828
ChIJR1EaDPU9rjsRJdVB_cq9Ty0,EEIT,,True,education,college,"['Distance Learning Center' 'Association or organization'
 'Education Councils & Boards Office' 'Business school' 'College'
 'Educational consultant' 'Electronics Engineer' 'Graduate school']",N_A,N_A,N_A,gmaps_v2,2,"EEIT, no.20, krupa sagar building , 1st floor, opp. planet honda showroom, Dr.rajkumar, 4th N block , Rajajinagar, Bengaluru, Karnataka 560010",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=trgaHMk5DeE-3KccOlFsdQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=49.23698&pitch=0&thumbfov=100,https://www.google.com/maps/place/?q=place_id:ChIJR1EaDPU9rjsRJdVB_cq9Ty0,True,12.985095977783203,77.56027221679688
ChIJU4tSDL09rjsRf1pSPUPvQE0,Apple Kiddies,,True,education,school,['Kindergarten School'],pre_school,N_A,N_A,gmaps_v2,2,"2G7M+93Q Apple Kiddies, Sreenivas Nagar, Nandini Layout, Bengaluru, Karnataka 560058",https://lh5.googleusercontent.com/p/AF1QipOMa4Q9-08R4N9FcfPirs-T89ja3A9ZfXjI1vFW=w122-h92-k-no,https://www.google.com/maps/place/?q=place_id:ChIJU4tSDL09rjsRf1pSPUPvQE0,True,13.013458251953123,77.53272247314453
ChIJ____P6Q9rjsRyF41eZHaw_k,Poornaprajna School Kurubarahalli,,True,education,school,['School'],N_A,N_A,N_A,gmaps_v2,2,"2G2J+WPH Poornaprajna School Kurubarahalli, JC Nagar, Kurubarahalli, Basaweshwara Nagar, Bengaluru, Karnataka 560086",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dJPmXMxU5RgmORSyRbufQQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=297.0921&pitch=0&thumbfov=100,https://www.google.com/maps/place/?q=place_id:ChIJ____P6Q9rjsRyF41eZHaw_k,True,13.002306938171388,77.53184509277344
ChIJ72AxN0c9rjsRK_X7d8VxzWY,KENLIN PRMARY SCHOOL,,True,education,school,['School'],N_A,N_A,N_A,gmaps_v2,2,"XHR6+C6J KENLIN PRMARY SCHOOL, Unnamed Road, Lakshminarayanapuram, Rajajinagar, Bengaluru, Karnataka 560021",https://lh3.googleusercontent.com/gps-proxy/AE4_-5HfKbvnn54HIUy74FEEgqGFAKif8S_5tmp6WxqWO90AvG3VVAoJ8KHfSlLBzBlVmNl_yLVf_2vmxOxHt2Jn-Y8sf8_aR1Aekp-si814m73hKuZNJ_iJmYroLc2MDUzbCCwWkcuIIzwiGpE7FleHM7binQa-9MgQdyFTwgHYhVh32mTKWt89Mm9iT64_z80cGWdtSo8=w123-h92-k-no,https://www.google.com/maps/place/?q=place_id:ChIJ72AxN0c9rjsRK_X7d8VxzWY,True,12.99109935760498,77.56051635742188
ChIJrbUx62c9rjsRUIdNJkz7QQ4,Distance MBA College in Bangalore,,True,education,college,['Distance Learning Center'],N_A,ICFAI University,icfaiuniversity,gmaps_v2,2,"Distance MBA College in Bangalore, 82, 2nd Main Rd, Mohan Kumar Nagar, Mathikere, Bengaluru, Karnataka 560022",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dR2OI9F_H4iwfeK44Xwapg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=221.0862&pitch=0&thumbfov=100,https://www.google.com/maps/place/?q=place_id:ChIJrbUx62c9rjsRUIdNJkz7QQ4,True,13.031765937805176,77.5518798828125
