"id","name","lat","lng","top_category","type","sub_categories","category","brand_name","brand_id","address","source","number_of_votes","rating","town_name","pincode","created_at","verified","last_verification_date","active","image_url","services","oldest_review_timestamp","top_reviews","top_review_keywords","price_level","additional_data"
"273656a9-a131-418c-9191-56bb605f40b4","Govianu Wealth Management Pvt Ltd","13.007106","77.579109","company","SMEs","[Construction, Infrastructure ,Coworking]","Private Sector","N_A","N_A"," - 13th Cross Rd, beside Bank of Baroda, Sadashiva Nagar,  ","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.govianu.com, scrape_url=https://www.fundoodata.com/companies-detail/govianu-wealth-management-pvt-ltd-bangalore-bengaluru/129141.html}"
"4629c6d3-85f1-4501-9376-c5d0e906fb81","Cauvery Hydro Energy Pvt Ltd","13.010013","77.5770315","company","SMEs","[Power, Green Energy]","Private Sector","N_A","N_A","- 67 Lavina Courts 102 First Floor 8th Main Rd    7th Cross Road Rajamahal Vilas Extension","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.cauveryhydroenergy.com, scrape_url=https://www.fundoodata.com/companies-detail/cauvery-hydro-energy-pvt-ltd-bangalore-bengaluru/129224.html}"
"a806c53f-553a-47f9-ae4d-268d866fb957","Yash Links","13.012249","77.5559463","company","SMEs","[Construction, Infrastructure ,Coworking]","Private Sector","N_A","N_A"," - N2201, 22nd Floor, 26/1 Brigade,    Gateway, Dr Rajkumar Rd,","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.yashlinks.com, scrape_url=https://www.fundoodata.com/companies-detail/yash-links-bangalore-bengaluru/129243.html}"
"a5b5c00f-c82f-4722-875e-98e8e51841e0","Kavin Corporation","12.9916756","77.5508701","company","SMEs","[Information Technology (IT), Data Analytics, AI, Robotics, IOT]","Private Sector","N_A","N_A"," - #410/69, SUKHIN, 20th Main, 1st Block,Rajajinagar  ","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.kavinsoft.com, scrape_url=https://www.fundoodata.com/companies-detail/kavin-corporation-bangalore-bengaluru/129436.html}"
"db2b327f-4295-460f-b51a-16ec3046d777","Matrix Quality Verification Services Pvt Ltd","12.9941387","77.5715236","company","SMEs","[Engineering]","Private Sector","N_A","N_A"," - No 20, Flat B, 1st floor, 1st cross    sampige road, malleshwaram,","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.matrixquality.com, scrape_url=https://www.fundoodata.com/companies-detail/matrix-quality-verification-services-pvt-ltd-bangalore-bengaluru/129672.html}"
"7b3cf63b-853f-4b97-8d8f-7e3f9078da1b","Panorama Enterprises","12.9902982","77.5729122","company","Industry Top","[Security, Safety, Facility Management]","Private Sector","N_A","N_A"," - #186/4,1st Floor, J.C.Complex, Sirur Park Road    Seshadripuram","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=panorama.co.in, scrape_url=https://www.fundoodata.com/companies-detail/panorama-enterprises-bangalore-bengaluru/129774.html}"
"b6dbaf34-b3ce-4c1a-8afe-76b6da6da571","Regrob Tech","13.0121179","77.5563055","company","SMEs","[Construction, Infrastructure ,Coworking]","Private Sector","N_A","N_A"," - 22nd floor World Trade Centre, Brigade    Gateway Rd, Subramanyanagar, 2 State","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=regrob.com, scrape_url=https://www.fundoodata.com/companies-detail/regrob-tech-bangalore-bengaluru/129828.html}"
"c807e03a-cd31-486c-bf51-0a38448df4e5","SIDSOFT Technologies Pvt Ltd","12.9970077","77.5753001","company","SMEs","[Information Technology (IT), Data Analytics, AI, Robotics, IOT]","Private Sector","N_A","N_A"," - No 104, 2nd Floor , East Park Road, Malleshwaram  ","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.sidsoft.in, scrape_url=https://www.fundoodata.com/companies-detail/sidsoft-technologies-pvt-ltd-bangalore-bengaluru/129997.html}"
"be861bac-99f2-40de-ac39-4d89edc9eedb","Garden City Public High School, Malleshwaram","12.9964351","77.5751321","company","SMEs","[Institutes - Educational, Training, Edtech]","Private Sector","N_A","N_A"," - V-61, 6th Cross Road, Pipeline, Malleshwaram,    Pipeline Main Rd","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.gardencityschool.org.in, scrape_url=https://www.fundoodata.com/companies-detail/garden-city-public-high-school-malleshwaram-bangalore-bengaluru/130831.html}"
"d0c9398e-b62e-4b4f-b51a-76278122f86b","Top Security Services","13.0141188","77.5327213","company","SMEs","[Security, Safety, Facility Management]","Private Sector","N_A","N_A"," - 7, 15th main Street, 4th block, Nandini layout  ","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=null, scrape_url=https://www.fundoodata.com/companies-detail/top-security-services-bangalore-bengaluru/130919.html}"
"da3a45e5-8235-44e3-8c6e-f85000f71639","Sparkles Network","12.9978591","77.5695406","company","SMEs","[Advertising, Media]","Private Sector","N_A","N_A"," - #162, “ Pearl Spec ”2nd Floor    Margosa Road,Malleshwaram,","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.sparklesnetwork.com, scrape_url=https://www.fundoodata.com/companies-detail/sparkles-network-bangalore-bengaluru/130904.html}"
"46d63a69-454b-431b-96e9-398497313181","Kendriya Vidyalaya, Bangalore.","13.0218597","77.5671423","company","Industry Top","[Institutes - Educational, Training, Edtech]","Govt Sector","N_A","N_A","- Indian Institute of Science","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=nal.kvs.ac.in, scrape_url=https://www.fundoodata.com/companies-detail/kendriya-vidyalaya-bangalore-bangalore-bengaluru/131109.html}"
"dcd5101b-bde2-4c23-9d10-38e174651333","Nirmala Rani English Primary School","13.0087257","77.5666406","company","SMEs","[Institutes - Educational, Training, Edtech]","Private Sector","N_A","N_A"," - 18th Cross Rd, Malleshwara  ","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.nirmalarani.com, scrape_url=https://www.fundoodata.com/companies-detail/nirmala-rani-english-primary-school-bangalore-bengaluru/132390.html}"
"84f10943-e382-4acf-892c-5babd5cc2082","Avishkar Surgicals India Pvt Ltd (Aavishkaar)","13.000095","77.5331706","company","Industry Top","[Hospitals, Healthcare]","Private Sector","N_A","N_A"," - No 36, 1st Floor, Karnataka Layout,    Pipeline Road, Kurubarahalli,","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=null, scrape_url=https://www.fundoodata.com/companies-detail/avishkar-surgicals-india-pvt-ltd-bangalore-bengaluru/132609.html}"
"bff7d8c5-1069-4113-82c2-4f1fc91fec2f","Callnsolve Information Technology","13.0075886","77.5639892","company","SMEs","[Information Technology (IT), Data Analytics, AI, Robotics, IOT]","Private Sector","N_A","N_A"," - No. 260/9/1, 2nd Floor    Abhiram Complex 17th Cross Road,Malleshwaram","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=null, scrape_url=https://www.fundoodata.com/companies-detail/callnsolve-information-technology-bangalore-bengaluru/132819.html}"
"733f6136-a86a-4cea-8f0c-061e38d227f5","Shettys Farms & Resorts Pvt Ltd","12.9942724","77.57356","company","SMEs","[Hotels, Restaurants, Cloud Kitchen]","Private Sector","N_A","N_A"," - Vishal Palace,002, 1st Cross    Malleswaram","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.ankitvista.com, scrape_url=https://www.fundoodata.com/companies-detail/shettys-farms-resorts-pvt-ltd-bangalore-bengaluru/133449.html}"
"7e8d0345-0936-4427-8939-ce5a58ba1c6f","Hotel Abhimaani Vasathi","12.9936683","77.556013","company","SMEs","[Hotels, Restaurants, Cloud Kitchen]","Private Sector","N_A","N_A","- Dr. Rajkumar Road","fundoo","0","0.0","Bangalore / Bengaluru Karnataka",,"1701844461","0",,"1","N_A","[]",,"[]","[]",,"{website=www.hotelabhimaanivasathi.in, scrape_url=https://www.fundoodata.com/companies-detail/hotel-abhimaani-vasathi-bangalore-bengaluru/133545.html}"
