"id","name","lat","lng","cid","number_of_votes","place_url","source","category","created_at"
"ChIJk0PyF_EXrjsR5nc1Y5hrY1g","Hunger Point","13.033699035644531","77.56873321533203","0x3bae17f117f24393:0x58636b98633577e6","4","https://www.google.com/maps/place/?q=place_id:ChIJk0PyF_EXrjsR5nc1Y5hrY1g","gmaps_v2","restaurant","1699615207"
"ChIJW1RjwJMXrjsR17lOXyKDves","AJ Karunadunatistyle","13.008950233459473","77.5659408569336","0x3bae1793c063545b:0xebbd83225f4eb9d7","9","https://www.google.com/maps/place/?q=place_id:ChIJW1RjwJMXrjsR17lOXyKDves","gmaps_v2","restaurant","1699615207"
"ChIJ_R5nyywXrjsRySguEgnP_7Q","Abhiruchi tiffins","12.99125862121582","77.56895446777344","0x3bae172ccb671efd:0xb4ffcf09122e28c9","0","https://www.google.com/maps/place/?q=place_id:ChIJ_R5nyywXrjsRySguEgnP_7Q","gmaps_v2","restaurant","1699615207"
"ChIJJeA3csI9rjsR6SNHkOGQNk4","Savitha Bar and Restaurant","12.979758262634277","77.53843688964844","0x3bae3dc27237e025:0x4e3690e1904723e9","70","https://www.google.com/maps/place/?q=place_id:ChIJJeA3csI9rjsR6SNHkOGQNk4","gmaps_v2","restaurant","1699615207"
"ChIJHfS50zU9rjsRyvdTUmL4Gz8","Annapurneswari tiffin centre","13.00048828125","77.54659271240234","0x3bae3d35d3b9f41d:0x3f1bf8625253f7ca","0","https://www.google.com/maps/place/?q=place_id:ChIJHfS50zU9rjsRyvdTUmL4Gz8","gmaps_v2","restaurant","1699615207"
"ChIJxyAjI3M9rjsRddAbm_p7uDg","G P Food Corner","12.984291076660156","77.54795837402344","0x3bae3d73232320c7:0x38b87bfa9b1bd075","9","https://www.google.com/maps/place/?q=place_id:ChIJxyAjI3M9rjsRddAbm_p7uDg","gmaps_v2","restaurant","1699615207"
"ChIJ-5QuBpkXrjsRCMl0BCllI_E","Udupi Upahar","12.99615478515625","77.56396484375","0x3bae1799062e94fb:0xf12365290474c908","15","https://www.google.com/maps/place/?q=place_id:ChIJ-5QuBpkXrjsRCMl0BCllI_E","gmaps_v2","restaurant","1699615207"
"ChIJi0Fh6Q09rjsRQgetRFI3h3s","Amit mehandi art","12.986515998840332","77.55433654785156","0x3bae3d0de961418b:0x7b87375244ad0742","0","https://www.google.com/maps/place/?q=place_id:ChIJi0Fh6Q09rjsRQgetRFI3h3s","gmaps_v2","restaurant","1687847039"
"19309600","Food Empire","12.981960794","77.547509037",,"9",,"zomato","restaurant","1688639100"
"56629","Aramane Restaurant","13.0042983637","77.5494187698",,"84",,"zomato","restaurant","1688639100"
