id,name,lat,lng,cid,brand_id,brand_name,number_of_votes,place_url,source,category,top_category,type,created_at,date,number_of_reviews,url,reviews_per_day
ChIJ69qKHosPrjsRFdrhyp9XVWo,"The Pump House, Whitefield",13.010565757751465,77.759765625,0x3bae0f8b1e8adaeb:0x6a55579fcae1da15,N_A,N_A,4198,https://www.google.com/maps/place/?q=place_id:ChIJ69qKHosPrjsRFdrhyp9XVWo,gmaps_v2,restaurant,food,N_A,1699615207,1663319078.0,4882,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300391784372689643!2y7662126684855982613!2m2!2i10!3sCAESB0VnTUlrQ1k=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,9.992999528958032
18733579,Brilram's Balaji Bhavan,13.0128636962,77.761121504,18733579,N_A,N_A,12800,,zomato,restaurant,food,N_A,1688639100,1531506600.0,3054,,7.038136604458021
18492910,Red Rhino,13.0247030988,77.7614996955,18492910,N_A,N_A,11000,,zomato,restaurant,food,N_A,1688639100,1492626600.0,9119,,4.848670365410369
ChIJ0RRpG48FrjsRRpVkmiZXbFc,"Mani Biryani Hotel, Hoskote",13.07480239868164,77.80484771728516,0x3bae058f1b6914d1:0x576c57269a649546,N_A,N_A,13237,https://www.google.com/maps/place/?q=place_id:ChIJ0RRpG48FrjsRRpVkmiZXbFc,gmaps_v2,restaurant,food,N_A,1699615207,1450555015.0,13634,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300380806383736017!2y6299505802095138118!2m2!2i10!3sCAESB0VnTUl2bW8=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,4.591969478607003
ChIJVzPbd3wFrjsRLKa11GURNyM,Anand Dum Biriyani,13.072275161743164,77.78300476074219,0x3bae057c77db3357:0x23371165d4b5a62c,N_A,N_A,13044,https://www.google.com/maps/place/?q=place_id:ChIJVzPbd3wFrjsRLKa11GURNyM,gmaps_v2,restaurant,food,N_A,1699615207,1448153573.0,13355,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300380726330340183!2y2537516044104607276!2m2!2i10!3sCAESB0VnTUlwbWc=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,4.481803375221844
19270780,Kapoor's Cafe,13.0182281485,77.7626523748,19270780,zomato_kapoor's_cafe,Kapoor's Cafe,5302,,zomato,restaurant,food,N_A,1688639100,1576866600.0,1874,,4.098439240421392
ChIJJ8GS5OYFrjsRrigaVkNwTU0,Nandi Grand Restaurant - Tirupati Highway,13.088311195373535,77.82904815673828,0x3bae05e6e492c127:0x4d4d7043561a28ae,N_A,N_A,11688,https://www.google.com/maps/place/?q=place_id:ChIJJ8GS5OYFrjsRrigaVkNwTU0,gmaps_v2,restaurant,food,N_A,1699615207,1451051293.0,11685,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300381183420842279!2y5570231748636846254!2m2!2i10!3sCAESB0VnTUlvRnM=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,4.062710406145278
ChIJdUCMjRcPrjsRjZ7tgReBR3M,Sri Venkateswara Garments Unit 11,13.06090259552002,77.77142333984375,0x3bae0f178d8c4075:0x7347811781ed9e8d,premtextiles,Prem Textiles,4220,https://www.google.com/maps/place/?q=place_id:ChIJdUCMjRcPrjsRjZ7tgReBR3M,gmaps_v2,clothing_store,retail,N_A,1687847039,1595598319.0,4661,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300391288018845813!2y8306749975672233613!2m2!2i10!3sCAESB0VnTUl0Q1E=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,3.9524450854169033
ChIJTUURGJcPrjsRTIiBCKnFjIs,MV family restaurant,13.06110382080078,77.77161407470703,0x3bae0f971811454d:0x8b8cc5a90881884c,N_A,N_A,676,https://www.google.com/maps/place/?q=place_id:ChIJTUURGJcPrjsRTIiBCKnFjIs,gmaps_v2,restaurant,food,N_A,1699615207,1684421827.0,847,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300391835803665741!2y10055629397794326604!2m2!2i10!3sCAESB0VnTUl5QVk=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,3.84420056629927
19503427,Lemon Leaf,13.0183274528,77.7626644447,19503427,N_A,N_A,3616,,zomato,restaurant,food,N_A,1688639100,1604169000.0,1161,,3.6986152496563873
18884670,Polar Bear,13.0123485433,77.7614641562,18884670,zomato_polar_bear,Polar Bear,6050,,zomato,restaurant,food,N_A,1688639100,1545676200.0,611,,3.6563332165198106
ChIJ3bIJ4fcFrjsR9SLIbS8HPK4,Vishnu Bhavan,13.07992172241211,77.81208038330078,0x3bae05f7e109b2dd:0xae3c072f6dc822f5,N_A,N_A,7014,https://www.google.com/maps/place/?q=place_id:ChIJ3bIJ4fcFrjsR9SLIbS8HPK4,gmaps_v2,restaurant,food,N_A,1699615207,1530459710.0,7267,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300381256375972573!2y12554917761488790261!2m2!2i10!3sCAESB0VnTUkzRGc=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,3.582559306364132
ChIJ5doZrtEFrjsRPZVR0DJLnDE,Paakashala Hoskote,13.089920043945312,77.83497619628906,0x3bae05d1ae19dae5:0x319c4b32d051953d,paakashala,Paakashala,994,https://www.google.com/maps/place/?q=place_id:ChIJ5doZrtEFrjsRPZVR0DJLnDE,gmaps_v2,restaurant,food,N_A,1699615207,1674979070.0,1307,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300381092312636133!2y3574814885840786749!2m2!2i10!3sCAESB0VnTUlsQW8=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,3.4860010723272077
ChIJDdmCaLkPrjsR2_ppupghSkI,Akshay Dum Biriyani,13.062295913696287,77.7728042602539,0x3bae0fb96882d90d:0x424a2198ba69fadb,N_A,N_A,3524,https://www.google.com/maps/place/?q=place_id:ChIJDdmCaLkPrjsR2_ppupghSkI,gmaps_v2,restaurant,food,N_A,1699615207,1606019977.0,3768,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300391983182174477!2y4776667294626085595!2m2!2i10!3sCAESB0VnTUlzQjA=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,3.253088859336101
ChIJi6K5q9AHrjsRFoql7vWPwgM,Shree Shala Veg,13.09413242340088,77.81304931640625,0x3bae07d0abb9a28b:0x3c28ff5eea58a16,N_A,N_A,2572,https://www.google.com/maps/place/?q=place_id:ChIJi6K5q9AHrjsRFoql7vWPwgM,gmaps_v2,restaurant,food,N_A,1699615207,1629261235.0,2815,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300383287001064075!2y270937214029236758!2m2!2i10!3sCAESB0VnTUktaFU=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,3.1586105756758127
ChIJ_0t19k0FrjsRlEZ9YjcZqrs,CAKE LANE,13.06913948059082,77.79004669189453,0x3bae054df6754bff:0xbbaa1937627d4694,N_A,N_A,1928,https://www.google.com/maps/place/?q=place_id:ChIJ_0t19k0FrjsRlEZ9YjcZqrs,gmaps_v2,hospital,medical,N_A,1687847039,1626934769.0,2171,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300380526590905343!2y13522648556799608468!2m2!2i10!3sCAESB0VnTUktaEE=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,2.7347396509767243
19608588,Taco Bell,13.0548272586,77.7638224885,19608588,N_A,N_A,2256,,zomato,restaurant,food,N_A,1688639100,1612809000.0,708,,2.570462125198305
ChIJoTTADloPrjsRz0FKqCStXVA,GRILLS N BIRYANIS,13.012505531311035,77.7624740600586,0x3bae0f5a0ec034a1:0x505dad24a84a41cf,N_A,N_A,32,https://www.google.com/maps/place/?q=place_id:ChIJoTTADloPrjsRz0FKqCStXVA,gmaps_v2,restaurant,food,N_A,1699615207,1698486978.0,61,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300391573654353057!2y5790975068822192591!2m2!2i10!3sCAESBkVnSUlQQQ==!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,2.450566330062425
ChIJu_szAwoPrjsROOxOyHed4WU,Haldiram's,13.05524730682373,77.76385498046875,0x3bae0f0a0333fbbb:0x65e19d77c84eec38,haldirams,Haldiram's,282,https://www.google.com/maps/place/?q=place_id:ChIJu_szAwoPrjsROOxOyHed4WU,gmaps_v2,restaurant,food,N_A,1699615207,1688138710.0,327,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300391229863230395!2y7341322005377903672!2m2!2i10!3sCAESB0VnTUl3QUk=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,2.1230171541019875
ChIJWUSJRK4FrjsRF0aUFrWQlNE,Tea Plant Cafe,13.0691556930542,77.78972625732422,0x3bae05ae44894459:0xd19490b516944617,N_A,N_A,35,https://www.google.com/maps/place/?q=place_id:ChIJWUSJRK4FrjsRF0aUFrWQlNE,gmaps_v2,coffee_shop,food,N_A,1687847039,1686396049.0,151,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300380940217697369!2y15101854557922412055!2m2!2i10!3sCAESB0VnTUlsZ0U=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,2.0840943080241767
ChIJ5VoCdM0PrjsRA7cSa7KROQg,Balaji Bhavan,13.01298999786377,77.76117706298828,0x3bae0fcd74025ae5:0x83991b26b12b703,N_A,N_A,4084,https://www.google.com/maps/place/?q=place_id:ChIJ5VoCdM0PrjsRA7cSa7KROQg,gmaps_v2,restaurant,food,N_A,1699615207,1530122407.0,4109,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300392069274426085!2y592665021462525699!2m2!2i10!3sCAESB0VnTUloQ0E=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,2.0818441845317324
ChIJH55NasARrjsRQwH8OcRo24U,Royaloak Furniture Aavalahalli (OMR),13.040849685668944,77.742431640625,0x3bae11c06a4d9e1f:0x85db68c439fc0143,royaloakindia,RoyalOak,3570,https://www.google.com/maps/place/?q=place_id:ChIJH55NasARrjsRQwH8OcRo24U,gmaps_v2,home_decor,retail,furniture_store,1695212099,1546573801.0,3777,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300394212300267039!2y9645418218939744579!2m2!2i10!3sCAESB0VnTUl1aDA=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,2.0751583148509947
ChIJFevJ7D4FrjsR5NM0FPsrmN8,Raj Dum Biriyani,13.06605339050293,77.77601623535156,0x3bae053eecc9eb15:0xdf982bfb1434d3e4,N_A,N_A,4563,https://www.google.com/maps/place/?q=place_id:ChIJFevJ7D4FrjsR5NM0FPsrmN8,gmaps_v2,restaurant,food,N_A,1699615207,1507727947.0,4846,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300380462004169493!2y16111676024293741540!2m2!2i10!3sCAESB0VnTUk2Q1U=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,2.0545564098419042
ChIJc_Xsn9AFrjsRs1k_khldx-A,"Dr Venugopal Reddy I, Pediatrician | Hoskote, Bengaluru",13.069308280944824,77.78099822998047,0x3bae05d09fecf573:0xe0c75d19923f59b3,N_A,N_A,218,https://www.google.com/maps/place/?q=place_id:ChIJc_Xsn9AFrjsRs1k_khldx-A,gmaps_v2,clinic,medical,N_A,1695212099,1685293772.0,381,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300381087779845491!2y16197016949270469043!2m2!2i10!3sCAESB0VnTUlfQUk=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,1.8990299472884893
ChIJ6bAypfwPrjsRCI2dHsjwGB4,Biggies Burger: Kadugodi,13.012777328491213,77.76264190673828,0x3bae0ffca532b0e9:0x1e18f0c81e9d8d08,biggiesburger,Biggies Burger,614,https://www.google.com/maps/place/?q=place_id:ChIJ6bAypfwPrjsRCI2dHsjwGB4,gmaps_v2,restaurant,food,N_A,1699615207,1670387580.0,667,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300392271963140329!2y2168747962876661000!2m2!2i10!3sCAESB0VnTUlsQVU=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,1.8150498499245251
ChIJIxs31AAPrjsRvFbFOqSm8DM,Sri Guru Nalapaka - Hoskote Toll,13.060240745544434,77.77080535888672,0x3bae0f00d4371b23:0x33f0a6a43ac556bc,srigurunalapaka,Sri Guru Nalapaka,3177,https://www.google.com/maps/place/?q=place_id:ChIJIxs31AAPrjsRvFbFOqSm8DM,gmaps_v2,restaurant,food,N_A,1699615207,1540533897.0,3275,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300391190420200227!2y3742674514635740860!2m2!2i10!3sCAESB0VnTUl4aGs=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,1.7254874252669907
19222403,Sunshine Restaurant,13.0165479,77.7619719,19222403,N_A,N_A,1987,,zomato,restaurant,food,N_A,1688639100,1570127400.0,446,,1.4486063401335059
ChIJy5JER48FrjsRxRzRzmDX8gg,New Sultan Family Restaurant,13.078447341918944,77.8100357055664,0x3bae058f474492cb:0x8f2d760ced11cc5,N_A,N_A,1068,https://www.google.com/maps/place/?q=place_id:ChIJy5JER48FrjsRxRzRzmDX8gg,gmaps_v2,restaurant,food,N_A,1699615207,1634699626.0,1199,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300380807119540939!2y644814507454045381!2m2!2i10!3sCAESB0VnTUlwZ2s=!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,1.4214645941472819
