id,name,number_of_votes,ratings,lat,lng,reviews_per_day,distance
ChIJxTyv4WgXrjsRiqVsTY7LFBk,Elements Mall,59302,4.1,13.0450957,77.62689639999999,40.81026844093548,2.11
ChIJ_-8q2gIZrjsR6r6ytflmnAc,The Galleria Mall,36763,4.4,13.0946265,77.5947372,32.76289103794748,4.47
ChIJL8E77SUZrjsRi18NhbIac3s,Phoenix Mall Of Asia,4821,4.2,13.0706638,77.5913166,10.607551382402503,3.28
ChIJvbUh-Y4XrjsREsDI5shBa0A,Esteem Mall,18252,3.8,13.0491249,77.5933678,9.07183693358201,3.33
ChIJO7zyW_gZrjsRJLZ_yGyKev8,Decathlon Hennur Road,15889,4.4,13.0659017,77.6523316,6.010429151228656,3.46
ChIJxZLJMo8XrjsRBnPD7d3ou2k,Umiya Vellociti,828,4.2,13.0516475,77.5939549,0.3526479781983227,3.16
