cluster_name,locality,polygon_updated,area,lat,lng,distance
"3rd A Main, HRBR Layout,Kalyan Nagar",Kalyan Nagar,"POLYGON ((77.63793941309817 13.019786527471044, 77.63791346082671 13.019731031981223, 77.63788214069895 13.01967826670561, 77.63784574814267 13.01962872933697, 77.63780462642941 13.019582887119967, 77.6377591634363 13.019541172444097, 77.63770978798715 13.019503978765295, 77.63765696580727 13.019471656895044, 77.63760119513056 13.019444511691676, 77.63754300199963 13.019422799184985, 77.63748293530412 13.019406724161842, 77.63742156160326 13.019396438234764, 77.63735945978206 13.019392038412438, 77.63729721559116 13.019393566185027, 77.63723541612228 13.019401007132952, 77.6371746442706 13.019414291063708, 77.63711547323739 13.01943329267391, 77.63705846112357 13.019457832731439, 77.63700414566618 13.019487679766458, 77.63695303916666 13.019522552254513, 77.63690562365919 13.019562121272246, 77.6324958678168 13.023619996394208, 77.63245179573475 13.023664773014186, 77.63241245480992 13.023713602827051, 77.63237823057509 13.023766007305964, 77.63234945842115 13.023821472894038, 77.63232642031069 13.023879456036816, 77.63230934201475 13.02393938850891, 77.6322983909005 13.024000682981919, 77.63229367429103 13.024062738780277, 77.63229523841345 13.024124947767135, 77.63230306794573 13.024186700303748, 77.6323170861666 13.024247391223897, 77.63233715570708 13.024306425763623, 77.6323630798964 13.024363225389983, 77.63239460468883 13.024417233470452, 77.63243142115296 13.024467920727574, 77.63247316849876 13.02451479042596, 77.63251943761286 13.02455738324026, 77.63256977506744 13.024595281756602, 77.63658281708561 13.027318039584129, 77.63663735027235 13.027351209482745, 77.63669499228173 13.027378867855091, 77.63675516559228 13.027400737577612, 77.63681726731849 13.027416599523416, 77.63688067525142 13.02742629475794, 77.63694475409257 13.027429726131997, 77.63700886181907 13.027426859255314, 77.63707235611668 13.027417722841792, 77.63713460081529 13.027402408422075, 77.63719497226334 13.027381069426651, 77.6372528655766 13.027353919649453, 77.63730770069915 13.027321231105349, 77.6373589282156 13.02728333130542, 77.63740603485607 13.027240599975386, 77.6374485486394 13.027193465251235, 77.63748604360241 13.027142399389302, 77.63751814406801 13.027087914034663, 77.63754452840962 13.027030555094473, 77.63756493227373 13.026970897268171, 77.63886955938926 13.022410399940556, 77.63888303213086 13.02235312296806, 77.63889098975163 13.02229486250309, 77.63889336267793 13.022236127945387, 77.63889013016677 13.022177432839626, 77.63888132048689 13.02211929038494, 77.63886701067156 13.022062208947693, 77.63884732584474 13.022006687616166, 77.63793941309817 13.019786527471044))",211979.5636005104,13.023511303753654,77.63609525904637,4.7
"14th Main Road,Byatarayanapura",Byatarayanapura,"POLYGON ((77.589599609375 13.057574272155762, 77.58624267578125 13.058043479919434, 77.58621215820312 13.064071655273438, 77.59297943115234 13.06301212310791, 77.589599609375 13.057574272155762))",363578.8799524475,13.061000035591594,77.5888477562795,3.45
"Kothanur Main Road,Narayanapura",Narayanapura,"POLYGON ((77.64977139555559 13.061355081727418, 77.6496628969369 13.061293616268358, 77.6495487195676 13.061242993828392, 77.64942998741903 13.06120371269668, 77.64930786929074 13.061176159515924, 77.64918356730462 13.061160605477545, 77.6490583050714 13.061157203653828, 77.64893331564603 13.061165987492664, 77.6488098293902 13.061186870489779, 77.64868906186207 13.061219647041845, 77.64857220185151 13.061263994471538, 77.64846039967945 13.061319476205105, 77.64835475587584 13.061385546070676, 77.64825631034778 13.061461553675356, 77.64816603214469 13.06154675080767, 77.64808480992065 13.06164029880292, 77.64801344318808 13.061741276798251, 77.64655624781044 13.064038656328158, 77.64649592802446 13.064145088195499, 77.64644656273039 13.064256813372973, 77.64640862927713 13.06437275151522, 77.64638249447647 13.064491781540456, 77.64636841105606 13.064612752469978, 77.64636651521563 13.064734494556502, 77.64637682530918 13.064855830594029, 77.64639924166671 13.064975587300102, 77.64643354755721 13.065092606659698, 77.6464794112826 13.065205757122595, 77.64653638938428 13.065313944543922, 77.64660393092919 13.065416122764239, 77.64668138283609 13.065511303725117, 77.64676799618874 13.065598567023684, 77.64686293347647 13.065677068813164, 77.64696527669136 13.065746049963098, 77.64707403620407 13.065804843401036, 77.64718816033233 13.065852880564059, 77.64730654551002 13.065889696897926, 77.65203677080537 13.067113314715415, 77.65215756134901 13.067138440349062, 77.65228027742286 13.067151883221154, 77.65240374616917 13.067153514813928, 77.65252678752883 13.067143319496118, 77.65264822552027 13.067121394673853, 77.65276689947996 13.067087949860856, 77.65288167515655 13.067043304677412, 77.65299145555292 13.066987885796408, 77.65309519141204 13.066922222866173, 77.6531918912469 13.066846943448953, 77.65328063081827 13.066762767023075, 77.65336056196942 13.06667049810655, 77.65343092073394 13.066571018567442, 77.65349103463834 13.066465279194906, 77.65354032913038 13.066354290611136, 77.65357833307104 13.066239113611237, 77.65360468323777 13.06612084902363, 77.65361912779616 13.066000627187375, 77.65362152870675 13.065879597147855, 77.65361186304364 13.065758915673028, 77.65340585516225 13.064180569610594, 77.65338453571715 13.064062771983622, 77.6533517196054 13.06394754128409, 77.65330771321055 13.063835953242771, 77.65325292738336 13.063729049579317, 77.6531878736049 13.063627828276823, 77.6531131592102 13.063533234265048, 77.65302948171703 13.063446150598965, 77.6529376223129 13.063367390215442, 77.65283843856103 13.06329768834484, 77.64977139555559 13.061355081727418))",102533.83226931468,13.064303825898,77.65008309777073,3.2
