,id,name,lat,lng,cid,brand_id,brand_name,number_of_votes,rating,place_url,source,category,top_category,type,created_at,competitor_type
33,ChIJh9-ad2wXrjsRz5FRCamuin8,Art Of Living Yoga & Meditation Center,13.045654296875,77.62631225585938,0x3bae176c779adf87:0x7f8aaea9095191cf,artofliving,Art of Living,169,4.900000095367432,https://www.google.com/maps/place/?q=place_id:ChIJh9-ad2wXrjsRz5FRCamuin8,gmaps_v2,gym_fitness,leisure,wellness_centre,1695212099,secondary_competitor
187,ChIJq2sEyv4XrjsRDBDJVJoXUgg,"Cult Kalyan Nagar - Gyms in Hrbr Layout 3rd Block, Kalyan Nagar, Bangalore",13.026867866516112,77.6337661743164,0x3bae17feca046bab:0x852179a54c9100c,cult,Cult.fit,498,4.5,https://www.google.com/maps/place/?q=place_id:ChIJq2sEyv4XrjsRDBDJVJoXUgg,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
213,ChIJy5FoHNIXrjsRPAyuuVKYJK0,ANDROID GYM,13.03601360321045,77.6234130859375,0x3bae17d21c6891cb:0xad249852b9ae0c3c,N_A,N_A,128,4.400000095367432,https://www.google.com/maps/place/?q=place_id:ChIJy5FoHNIXrjsRPAyuuVKYJK0,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
267,ChIJQ5gSSbgZrjsR-hgG7UDNdbc,Arivu School of Yoga,13.06264305114746,77.60926818847656,0x3bae19b849129843:0xb775cd40ed0618fa,N_A,N_A,55,5.0,https://www.google.com/maps/place/?q=place_id:ChIJQ5gSSbgZrjsR-hgG7UDNdbc,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
334,ChIJG6G9gN0ZrjsRMhs9e4nBBcI,HEALTH BEAT FITNESS,13.067865371704102,77.63005828857422,0x3bae19dd80bda11b:0xc205c1897b3d1b32,N_A,N_A,159,4.400000095367432,https://www.google.com/maps/place/?q=place_id:ChIJG6G9gN0ZrjsRMhs9e4nBBcI,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
350,ChIJPTJQpfYXrjsRgC38fqNBG_M,Matsya Incorporation,13.048233032226562,77.6024398803711,0x3bae17f6a550323d:0xf31b41a37efc2d80,N_A,N_A,98,4.5,https://www.google.com/maps/place/?q=place_id:ChIJPTJQpfYXrjsRgC38fqNBG_M,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
384,ChIJ6WCS-PsXrjsRTSqs5pX09rU,Naturals,13.057096481323242,77.59721374511719,0x3bae17fbf89260e9:0xb5f6f495e6ac2a4d,naturals,Naturals Salon,0,0.0,https://www.google.com/maps/place/?q=place_id:ChIJ6WCS-PsXrjsRTSqs5pX09rU,gmaps_v2,salon,service,N_A,1699615207,anchor_competitor
447,ChIJT6vORfIZrjsRXgfMjEoWjz0,SMART Superstore,13.083622932434082,77.63992309570312,0x3bae19f245ceab4f:0x3d8f164a8ccc075e,ril,Reliance Retail,0,0.0,https://www.google.com/maps/place/?q=place_id:ChIJT6vORfIZrjsRXgfMjEoWjz0,gmaps_v2,supermarket,retail,N_A,1687847039,anchor_competitor
605,ChIJvd42Vt4ZrjsRUnikY3nofVc,Twistars Gymnastics,13.067334175109863,77.59735107421875,0x3bae19de5636debd:0x577de87963a47852,N_A,N_A,138,4.800000190734863,https://www.google.com/maps/place/?q=place_id:ChIJvd42Vt4ZrjsRUnikY3nofVc,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
657,ChIJsSghFXkXrjsR6sfTpWvUG9Y,V2 Fitness Zone,13.051361083984377,77.61207580566406,0x3bae1779152128b1:0xd61bd46ba5d3c7ea,N_A,N_A,261,4.800000190734863,https://www.google.com/maps/place/?q=place_id:ChIJsSghFXkXrjsR6sfTpWvUG9Y,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
942,ChIJh4Ug9mYZrjsReCyjAw5CXeY,"Lenskart.com at RK Hegde Nagar, Bengaluru",13.068785667419434,77.62731170654297,0x3bae1966f6208587:0xe65d420e03a32c78,lenskart,Lenskart,898,4.900000095367432,https://www.google.com/maps/place/?q=place_id:ChIJh4Ug9mYZrjsReCyjAw5CXeY,gmaps_v2,clinic,medical,optician,1695212099,anchor_competitor
970,ChIJhW8rKZ4XrjsRnZXqSUpglBg,Golden Gym,13.039023399353027,77.60743713378906,0x3bae179e292b6f85:0x1894604a49ea959d,N_A,N_A,162,3.700000047683716,https://www.google.com/maps/place/?q=place_id:ChIJhW8rKZ4XrjsRnZXqSUpglBg,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
983,ChIJK90cLgEZrjsR07f09UHYazo,Flextreme Fitness,13.070826530456545,77.61804962158203,0x3bae19012e1cdd2b:0x3a6bd841f5f4b7d3,N_A,N_A,30,5.0,https://www.google.com/maps/place/?q=place_id:ChIJK90cLgEZrjsR07f09UHYazo,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
1012,ChIJ2UuChE8ZrjsR-DtqY3B453I,MUSCLE TECH FITNESS JAKKUR,13.07509994506836,77.6045913696289,0x3bae194f84824bd9:0x72e77870636a3bf8,N_A,N_A,154,4.900000095367432,https://www.google.com/maps/place/?q=place_id:ChIJ2UuChE8ZrjsR-DtqY3B453I,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
1013,ChIJA977A6IZrjsRAuBc3wrVOtU,JJL DANCE AND FITNESS STUDIO,13.053110122680664,77.63117980957031,0x3bae19a203fbde03:0xd53ad50adf5ce002,N_A,N_A,57,4.900000095367432,https://www.google.com/maps/place/?q=place_id:ChIJA977A6IZrjsRAuBc3wrVOtU,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
1101,ChIJdQxdiqEXrjsRPbukJI43dPE,PRO FITNESS,13.03711223602295,77.60514068603516,0x3bae17a18a5d0c75:0xf174378e24a4bb3d,N_A,N_A,114,4.699999809265137,https://www.google.com/maps/place/?q=place_id:ChIJdQxdiqEXrjsRPbukJI43dPE,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
1114,ChIJtf-avFcXrjsR-7e6nGYk0EU,Fitness One,13.057940483093262,77.64371490478516,0x3bae1757bc9affb5:0x45d024669cbab7fb,fitnessone,FitnessOne,37,4.5,https://www.google.com/maps/place/?q=place_id:ChIJtf-avFcXrjsR-7e6nGYk0EU,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
1172,ChIJt84PJ18XrjsRKbM-4YjEzmc,GUN Fitness,13.05454921722412,77.60187530517578,0x3bae175f270fceb7:0x67cec488e13eb329,N_A,N_A,266,4.699999809265137,https://www.google.com/maps/place/?q=place_id:ChIJt84PJ18XrjsRKbM-4YjEzmc,gmaps_v2,gym_fitness,leisure,N_A,1687847039,secondary_competitor
