id,name,lat,lng,cid,brand_id,brand_name,number_of_votes,rating,place_url,source,category,top_category,type,created_at,number_of_reviews,date,url,reviews_per_day
ChIJYarN3fQXrjsRkpoYxCOi39w,Sparrow interior studio,13.050283432006836,77.59749603271484,0x3bae17f4ddcdaa61:0xdcdfa223c4189a92,N_A,N_A,40,4.900000095367432,https://www.google.com/maps/place/?q=place_id:ChIJYarN3fQXrjsRkpoYxCOi39w,gmaps_v2,home_decor,retail,N_A,1695212099,39,1554370066.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300401034646104673!2y15915617882648124050!2m2!2i10!3sCAESBkVnSUlIZw==!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.0245381291819325
ChIJ9SUXzF4RrjsR7naoHyk4coo,Al-Madina Furniture's & Furnishing,13.034996032714844,77.62886047363281,0x3bae115ecc1725f5:0x8a7238291fa876ee,N_A,N_A,57,3.5999999046325684,https://www.google.com/maps/place/?q=place_id:ChIJ9SUXzF4RrjsR7naoHyk4coo,gmaps_v2,home_decor,retail,N_A,1695212099,56,1494167106.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300393793034069493!2y9976097873855018734!2m2!2i10!3sCAESBkVnSUlNZw==!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.024496009209242033
ChIJaUv90VEXrjsRfqpfC1ef91A,Moms & Gals Boutique,13.062722206115724,77.64964294433594,0x3bae1751d1fd4b69:0x50f79f570b5faa7e,N_A,N_A,43,3.5999999046325684,https://www.google.com/maps/place/?q=place_id:ChIJaUv90VEXrjsRfqpfC1ef91A,gmaps_v2,clothing_store,retail,N_A,1687847039,95,1535613564.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400334368230249!2y5834307038483556990!2m2!2i10!3sCAESBkVnSUlXZw==!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.024404619286264077
ChIJP_AelTEZrjsRdv0hBOe4U2c,Dilli dhaba,13.06862449645996,77.603515625,0x3bae1931951ef03f:0x6753b8e70421fd76,N_A,N_A,22,4.5,https://www.google.com/maps/place/?q=place_id:ChIJP_AelTEZrjsRdv0hBOe4U2c,gmaps_v2,restaurant,food,N_A,1699615207,22,1621429882.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300402394931327039!2y7445497911319854454!2m2!2i10!3sCAESBkVnSUlGQQ==!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.024311467657133868
ChIJE-lIkgIXrjsRBLT-LUlM_Kc,Bicycle Gallery,13.055425643920898,77.63196563720703,0x3bae17029248e913:0xa7fc4c492dfeb404,N_A,N_A,45,3.700000047683716,https://www.google.com/maps/place/?q=place_id:ChIJE-lIkgIXrjsRBLT-LUlM_Kc,gmaps_v2,shoe_store,retail,N_A,1687847039,42,1527824166.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300399993997027603!2y12104633775653041156!2m2!2i10!3sCAESBkVnSUlLQQ==!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.02429652665966071
ChIJvxfgVkQXrjsR5qW-hTrZtYY,Kitchen #8575,13.055816650390623,77.61066436767578,0x3bae174456e017bf:0x86b5d93a85bea5e6,N_A,N_A,42,4.0,https://www.google.com/maps/place/?q=place_id:ChIJvxfgVkQXrjsR5qW-hTrZtYY,gmaps_v2,restaurant,food,N_A,1687847039,42,1538295188.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400276468144063!2y9706903417242166758!2m2!2i10!3sCAESBkVnSUlLQQ==!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.024264494058318275
ChIJDSkfhBQXrjsRJxbuXgP9tps,Fiero! Pizzeria,13.02906894683838,77.63545227050781,0x3bae1714841f290d:0x9bb6fd035eee1627,N_A,N_A,25,3.200000047683716,https://www.google.com/maps/place/?q=place_id:ChIJDSkfhBQXrjsRJxbuXgP9tps,gmaps_v2,restaurant,food,N_A,1699615207,26,1610558792.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400071068821773!2y11220433712559560231!2m2!2i10!3sCAESBkVnSUlGQQ==!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.024254288700033568
ChIJT5nLZ9sZrjsRl8dUeb6wbhY,Kailash Timber Depot,13.09255599975586,77.63597869873047,0x3bae19db67cb994f:0x166eb0be7954c797,N_A,N_A,40,4.800000190734863,https://www.google.com/maps/place/?q=place_id:ChIJT5nLZ9sZrjsRl8dUeb6wbhY,gmaps_v2,home_decor,retail,N_A,1695212099,38,1551507795.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300403124315330895!2y1616423648398460823!2m2!2i10!3sCAESBkVnSUlIZw==!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.02404938407411931
ChIJ79oOz2gXrjsRBFOUAlOVpls,Payless Shoesource,13.04524040222168,77.62673950195312,0x3bae1768cf0edaef:0x5ba6955302945304,paylessshoesource,Payless,48,4.199999809265137,https://www.google.com/maps/place/?q=place_id:ChIJ79oOz2gXrjsRBFOUAlOVpls,gmaps_v2,shoe_store,retail,N_A,1687847039,61,1514978228.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300400433103297263!2y6604130087343510276!2m2!2i10!3sCAESBkVnSUlQQQ==!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.02399044672089519
ChIJHyoZOdQZrjsRPUQ3wsk75i0,Paris RICHIE,13.06570816040039,77.6234359741211,0x3bae19d439192a1f:0x2de63bc9c237443d,N_A,N_A,20,2.5,https://www.google.com/maps/place/?q=place_id:ChIJHyoZOdQZrjsRPUQ3wsk75i0,gmaps_v2,clothing_store,retail,N_A,1687847039,20,1615645379.0,https://www.google.com/maps/preview/review/listentitiesreviews?authuser=0&hl=en&gl=in&pb=!1m2!1y4300403093467114015!2y3307396714083075133!2m2!2i10!3sCAESBkVnSUlDZw==!3e2!4m5!3b1!4b1!6b1!7b1!20b1!5m2!1sPsrQZPb9H5adseMPzOi5IA!7e81,0.023932967746170934
