cluster_name,locality,polygon_updated,area,lat,lng,distance
"4th Cross Road, Phase 7,J P Nagar",J P Nagar,"POLYGON ((77.5810546875 12.886021614074709, 77.5790709 12.8920131, 77.58175659179688 12.895427703857422, 77.58345031738281 12.888662338256836, 77.5810546875 12.886021614074709))",261420.0672058761,12.890623703397068,77.58132066837149,1.73
"3rd Cross Road,JP Nagar",JP Nagar,"POLYGON ((77.58605194091797 12.910325050354004, 77.581787109375 12.917243957519531, 77.58673095703125 12.916810035705566, 77.58778381347656 12.912325859069824, 77.58605194091797 12.910325050354004))",253487.90774655345,12.914409743184992,77.58532399704963,3.24
"Arekere Mico Layout Main Road,Panduranga Nagar",Panduranga Nagar,"POLYGON ((77.59820276262931 12.887044080719043, 77.59816223944026 12.886919366635496, 77.59810947899079 12.886799138146323, 77.59804498709597 12.886684547789178, 77.5979693820308 12.886576694045642, 77.5978833886011 12.886476610810707, 77.597787831194 12.886385257481722, 77.597683625873 12.88630350976196, 77.59757177159523 12.886232151266396, 77.59745334063363 12.88617186601117, 77.5973294682972 12.88612323185736, 77.59720134204674 12.886086714973564, 77.59707019011147 12.886062665368156, 77.596937269715 12.886051313536212, 77.59680385502388 12.886052768251576, 77.59667122493383 12.886067015525951, 77.59654065081139 12.886093918744534, 77.59641338430762 12.886133219977353, 77.59629064536152 12.886184542452835, 77.59617361050712 12.886247394170644, 77.59606340159723 12.886321172619136, 77.59596107505119 12.886405170550942, 77.59586761172986 12.88649858276318, 77.59578390753495 12.886600513815768, 77.59571076482247 12.886709986614546, 77.59564888471274 12.886825951776899, 77.59559886037067 12.886947297690131, 77.59556117132033 12.887072861165727, 77.59469904750462 12.890568033745806, 77.59467457844532 12.890692955725399, 77.59466232245667 12.890819593709345, 77.5946623905164 12.890946801193474, 77.59467478203173 12.891073426515492, 77.59469938484403 12.891198323280664, 77.59473597624299 12.891320360739481, 77.59478422498175 12.891438434023987, 77.59484369427442 12.891551474149958, 77.59662129549882 12.894568891411454, 77.59669431932394 12.894679816310848, 77.59677814122205 12.89478313329713, 77.59687194353693 12.894877834478633, 77.59697481124648 12.894962996004246, 77.59708574088738 12.895037787076182, 77.59720365034242 12.895101478055865, 77.5973273893957 12.895153447582551, 77.59745575095225 12.895193188636677, 77.59758748281305 12.895220313487401, 77.59772129989045 12.89523455747681, 77.5978558967447 12.895235781603654, 77.59798996031957 12.895223973881127, 77.59812218275256 12.895199249455626, 77.59825127413478 12.895161849484845, 77.59837597509596 12.89511213878703, 77.59849506909185 12.89505060228273, 77.59860739427388 12.894977840265483, 77.59871185482545 12.894894562546062, 77.5988074316538 12.89480158152835, 77.5988931923337 12.894699804283599, 77.59896830020521 12.894590223701574, 77.59903202253705 12.894473908803302, 77.59908373767593 12.894351994311403, 77.59912294111194 12.89422566957915, 77.59953492777694 12.892616800863516, 77.59956169687128 12.892484218017449, 77.5995746839655 12.892349661173292, 77.5995737563495 12.89221450555682, 77.59955892353221 12.892080132511067, 77.59953033714349 12.89194791537664, 77.59820276262931 12.887044080719043))",77868.54397465289,12.890873673526064,77.59713735029304,0.39
"Kodichikkanahalli Main Road, Mulki Sundar Ram Shetty Nagar,Bilekahalli",Bilekahalli,"POLYGON ((77.61263479628757 12.891524459310626, 77.61254791088396 12.891406385487466, 77.61244944067181 12.891297414215313, 77.61234037019172 12.891198634950115, 77.61222178995696 12.891111035239428, 77.61209488554864 12.8910354908504, 77.61196092576078 12.890972757015028, 77.61182124991379 12.890923460881421, 77.61167725446334 12.890888095245753, 77.61153037903863 12.89086701362747, 77.61138209204918 12.890860426737161, 77.61123387600482 12.89086840037227, 77.61108721269488 12.890890854761626, 77.61094356837523 12.890927565364986, 77.61080437911086 12.89097816511981, 77.61067103642068 12.891042148112657, 77.60825255872153 12.892353458664326, 77.60812860615982 12.89242868437831, 77.60801277049977 12.892515471960689, 77.60790616829982 12.892612984810992, 77.60780982711496 12.892720282951501, 77.60772467559363 12.892836332087471, 77.60765153452786 12.89296001357686, 77.6075911089424 12.893090135211978, 77.60754398129997 12.89322544271062, 77.60751060588717 12.893364631805118, 77.60749130443557 12.893506360812907, 77.60748626302035 12.89364926356784, 77.60749553026584 12.893791962587663, 77.60751901687586 12.893933082350038, 77.60755649649306 12.894071262550613, 77.60760760787913 12.894205171214049, 77.6076718583951 12.894333517532399, 77.6077486287478 12.894455064307099, 77.60783717895747 12.894568639874338, 77.60793665548847 12.89467314939947, 77.6080460994749 12.894767585430676, 77.61002613023074 12.896313782537659, 77.61014755556992 12.89639917687654, 77.61027711519519 12.89647216620281, 77.61041349699634 12.896532011256419, 77.61055531975798 12.896578105891825, 77.61070114714721 12.896609983219054, 77.61084950226017 12.89662732033454, 77.61099888257979 12.896629941593778, 77.61114777519381 12.896617820392484, 77.61129467211815 12.89659107943846, 77.61143808557112 12.896549989510975, 77.61157656304346 12.896494966720033, 77.61170870201107 12.896426568293814, 77.61183316414206 12.896345486936402, 77.6119486888537 12.896252543812595, 77.61205410608186 12.896148680231757, 77.61214834813353 12.896034948114306, 77.61223046050252 12.895912499337093, 77.61229961153848 12.895782574066482, 77.61235510087103 12.895646488196679, 77.61315977701871 12.893343060361143, 77.61320101229732 12.89320230274122, 77.61322762918283 12.89305819400633, 77.61323935854065 12.89291219141757, 77.61323608178903 12.892765771385386, 77.61321783209712 12.892620414538241, 77.61318479404827 12.892477590748292, 77.61313730177154 12.89233874426663, 77.61307583556099 12.89220527911719, 77.6130010170165 12.89207854489852, 77.61263479628757 12.891524459310626))",45777.424557857215,12.8936637328366,77.6105937934597,1.64
"Aurobindo Marg (24th Main), KR Layout,JP Nagar",JP Nagar,"POLYGON ((77.58494437612883 12.902479964838665, 77.5848589233311 12.90241596970195, 77.58476750091124 12.902360478863933, 77.5846709852339 12.902314024220686, 77.58457030148014 12.902277051046655, 77.58446641477886 12.902249913727148, 77.58436032095474 12.902232872362346, 77.58425303698282 12.90222609027544, 77.58414559124026 12.902229632448025, 77.58403901364917 12.90224346489824, 77.58393432580475 12.902267455007765, 77.58383253118363 12.902301372794009, 77.58373460552576 12.902344893115265, 77.58364148748257 12.902397598788225, 77.58355406962053 12.902458984587247, 77.58347318986668 12.902528462087826, 77.5833996234777 12.902605365306533, 77.58333407560964 12.902688957085157, 77.58327717455975 12.902778436156346, 77.5832294657447 12.902872944823311, 77.58217661776129 12.905243756567728, 77.5821379280248 12.905344296686351, 77.58210964300487 12.905448118224589, 77.58209204423358 12.905554187836106, 77.58208530688549 12.905661449799291, 77.58208949803375 12.90576883652379, 77.58210457598206 12.905875279175751, 77.58213039067874 12.905979718314738, 77.5821666852094 12.906081114438168, 77.58221309835274 12.906178458326796, 77.58226916817497 12.906270781089237, 77.58233433662585 12.906357163805351, 77.58240795509207 12.906436746672265, 77.58248929085164 12.90650873756257, 77.5858594669833 12.909205078299431, 77.58594601545879 12.909267659098663, 77.58603838806592 12.909321636957547, 77.58613569923963 12.90936649436472, 77.5862370160627 12.909401801243577, 77.58634136720912 12.90942721907644, 77.58644775225613 12.90944250415125, 77.58655515127536 12.909447509899023, 77.58666253461125 12.90944218830012, 77.58676887275297 12.909426590345829, 77.58687314620508 12.909400865550596, 77.58697435526256 12.909365260519305, 77.58707152959599 12.90932011658417, 77.58716373755549 12.909265866532673, 77.58725009510368 12.909203030459054, 77.58732977429237 12.909132210778, 77.58740201120123 12.909054086449665, 77.58895903122946 12.90719477449827, 77.58902275820273 12.907110638898729, 77.5890778478347 12.907020825827512, 77.58912377852242 12.906926185651008, 77.58916011538504 12.906827614441966, 77.58918651438155 12.906726045494446, 77.58920272556854 12.90662244048625, 77.58920859546637 12.906517780373182, 77.58920406851226 12.906413056099861, 77.5891891875858 12.90630925921665, 77.5891640936022 12.906207372490606, 77.58912902417727 12.906108360599854, 77.58908431137672 12.906013160999205, 77.5890303785709 12.90592267504391, 77.58896773642523 12.905837759455185, 77.58889697806399 12.905759218208685, 77.58881877345345 12.905687794922326, 77.58494437612883 12.902479964838665))",138234.08697617054,12.905930273554786,77.58552767384927,2.4
"1st Main Road, Industrial Area,BTM Layout",BTM Layout,"POLYGON ((77.59868621826172 12.90578842163086, 77.59381103515625 12.906047821044922, 77.59812927246094 12.914580345153809, 77.60112762451172 12.915163040161133, 77.6037826538086 12.911112785339355, 77.59868621826172 12.90578842163086))",625401.285497427,12.910212245057265,77.59894343709495,2.54
"5th Cross Road,BTM Layout",BTM Layout,"POLYGON ((77.60372924804688 12.911873817443848, 77.6031723022461 12.913338661193848, 77.60592651367188 12.91620635986328, 77.61011505126953 12.91657543182373, 77.61146545410156 12.91457462310791, 77.60372924804688 12.911873817443848))",252680.45721139017,12.914493720484414,77.60711955103338,3.2
"41 Cross Road, 9th Block Jaya Nagar,Jayanagar",Jayanagar,"POLYGON ((77.59496307373047 12.915013313293455, 77.59043884277344 12.91929531097412, 77.59516143798828 12.92247486114502, 77.5968246459961 12.916367530822754, 77.59496307373047 12.915013313293455))",289506.3642704487,12.918652190643998,77.59412231389327,3.47
"37th Cross Road, Pattabhirama Nagar Jaya Nagar,Jaya Nagar",Jaya Nagar,"POLYGON ((77.58635870728146 12.919680662556438, 77.58631425569901 12.919648813102674, 77.586266955992 12.919621191736553, 77.5862172247944 12.91959804174956, 77.58616550015606 12.919579567047139, 77.58611223768409 12.919565930352762, 77.58605790652972 12.919557251775014, 77.58600298525589 12.919553607749835, 77.58594795762198 12.919555030367428, 77.58589330832288 12.919561507089984, 77.5858395187197 12.919572980862286, 77.58578706260003 12.919589350614602, 77.58336855859795 12.92046864513245, 77.58331419599908 12.920491530069496, 77.5832624600588 12.920519670262093, 77.58321387708989 12.920552779430563, 77.5831689413293 12.920590520746547, 77.5831281099106 12.920632510259244, 77.58309179821363 12.92067832080201, 77.58306037563935 12.920727486337226, 77.5830341618519 12.920779506697698, 77.58301342352699 12.92083385267452, 77.58299837163895 12.92088997140053, 77.5829891593147 12.92094729197446, 77.58298588027573 12.921005231268532, 77.58298856788471 12.921063199860297, 77.58333950616397 12.92464232304181, 77.58334813761721 12.924699761723298, 77.58336262686316 12.924756054617143, 77.58338282635304 12.92481062844628, 77.58340853038634 12.924862927439026, 77.58343947720499 12.924912418988797, 77.58347535165889 12.924958599078018, 77.58351578841487 12.925000997410908, 77.58356037567687 12.92503918220302, 77.5836086593792 12.92507276457857, 77.58366014781036 12.925101402530943, 77.58371431662043 12.925124804405819, 77.58377061416073 12.925142731871764, 77.58382846710165 12.925155002347587, 77.58388728627142 12.925161490862182, 77.58394647265618 12.925162131327644, 77.58400542350037 12.925156917212616, 77.59056673034914 12.924247140144535, 77.59062248118094 12.924236688095288, 77.59067694110824 12.924220999294366, 77.5907296001639 12.924200220645558, 77.59077996524354 12.924174546714793, 77.59082756472289 12.924144217908658, 77.59087195287475 12.924109518223222, 77.59091271404279 12.92407077258473, 77.5909494665342 12.924028343807025, 77.5909818661942 12.923982629194022, 77.59100960962878 12.923934056819379, 77.59103243704598 12.923883081517687, 77.5910501346887 12.923830180625338, 77.59106253683649 12.9237758495104, 77.5910695273572 12.923720596933773, 77.59107104079459 12.92366494028487, 77.59106706298111 12.92360940073657, 77.59105763117037 12.923554498364593, 77.59104283368805 12.923500747277407, 77.59102280910473 12.923448650801774, 77.59099774493788 12.92339869676945, 77.59096787589566 12.923351352949144, 77.59093348167882 12.923307062666106, 77.59089488436126 12.923266240650914, 77.59085244537384 12.923229269155966, 77.58635870728146 12.919680662556438))",218117.90537113696,12.92257831744761,77.58623117174221,4.06
