id,name,lat,lng,cid,brand_id,brand_name,number_of_votes,rating,place_url,source,category,top_category,type,created_at
ChIJnahm4IsZrjsRo03iOIIq214,SLN Provision Store,13.064577102661133,77.60380554199219,0x3bae198be066a89d:0x5edb2a8238e24da3,N_A,N_A,1,5.0,https://www.google.com/maps/place/?q=place_id:ChIJnahm4IsZrjsRo03iOIIq214,gmaps_v2,grocery_store,retail,N_A,1687847039
ChIJ77hxZYUXrjsRSiitpCSOlJ0,Toscano,13.041337966918945,77.61969757080078,0x3bae17856571b8ef:0x9d948e24a4ad284a,toscano,Toscano,33,4.300000190734863,https://www.google.com/maps/place/?q=place_id:ChIJ77hxZYUXrjsRSiitpCSOlJ0,gmaps_v2,restaurant,food,N_A,1699615207
ChIJMwK50bEZrjsRfc3fhIqCILs,Puttu Dosa,13.082987785339355,77.58575439453125,0x3bae19b1d1b90233:0xbb20828a84dfcd7d,N_A,N_A,1,5.0,https://www.google.com/maps/place/?q=place_id:ChIJMwK50bEZrjsRfc3fhIqCILs,gmaps_v2,restaurant,food,N_A,1699615207
ChIJ29aPQfQXrjsRz5f4-yxOoNg,Mahalakshmi hotel,13.032819747924805,77.63129425048828,0x3bae17f4418fd6db:0xd8a04e2cfbf897cf,N_A,N_A,10,4.900000095367432,https://www.google.com/maps/place/?q=place_id:ChIJ29aPQfQXrjsRz5f4-yxOoNg,gmaps_v2,restaurant,food,N_A,1687847039
ChIJt79K4J4XrjsRq8eUa5YPlfE,Medplus,13.05562686920166,77.60990142822266,0x3bae179ee04abfb7:0xf1950f966b94c7ab,medplusindia,MedPlusMart,0,0.0,https://www.google.com/maps/place/?q=place_id:ChIJt79K4J4XrjsRq8eUa5YPlfE,gmaps_v2,pharmacy,medical,N_A,1687847039
ChIJaay4XlAXrjsRqwUIMLFAOzY,Zwarma - The Shawarma Makers,13.030250549316406,77.63430786132812,0x3bae17505eb8ac69:0x363b40b1300805ab,N_A,N_A,0,0.0,https://www.google.com/maps/place/?q=place_id:ChIJaay4XlAXrjsRqwUIMLFAOzY,gmaps_v2,restaurant,food,N_A,1699615207
ChIJCaqiw_cZrjsR4K5bCe9a-Cg,AGRAHARA BADAVANE,13.097810745239258,77.62393951416016,0x3bae19f7c3a2aa09:0x28f85aef095baee0,N_A,N_A,1,5.0,https://www.google.com/maps/place/?q=place_id:ChIJCaqiw_cZrjsR4K5bCe9a-Cg,gmaps_v2,home_decor,retail,N_A,1695212099
ChIJK9f4Y2QXrjsRewQcWMbHdTw,Umk Provision Store Mr Usman Khan,13.034834861755371,77.60568237304688,0x3bae176463f8d72b:0x3c75c7c6581c047b,N_A,N_A,0,0.0,https://www.google.com/maps/place/?q=place_id:ChIJK9f4Y2QXrjsRewQcWMbHdTw,gmaps_v2,grocery_store,retail,N_A,1687847039
ChIJoYTtbZg-rjsRkcKtDSmsXFs,Apollo Pharmacy Kempapura Village Bangalore,13.050686836242676,77.59854888916016,0x3bae3e986ded84a1:0x5b5cac290dadc291,apollopharmacy,Apollo Pharmacy,18,3.799999952316284,https://www.google.com/maps/place/?q=place_id:ChIJoYTtbZg-rjsRkcKtDSmsXFs,gmaps_v2,pharmacy,medical,N_A,1687847039
ec35ef9b-c5d2-46c9-bff6-cf7ed7c235ca,NNE Ltd,13.0422523,77.6234632,,N_A,N_A,0,0.0,,fundoo,Private Sector,company,MNC,1701844461
