id,name,number_of_votes,rating,lat,lng,reviews_per_day,competitor_type,distance,type
ChIJsZX0LZgXrjsR2NiYwuURrDg,Xtreme Bodyline Gym,78,4.400000095367432,13.037442207336426,77.59667205810547,0.0375070734827639,secondary_competitor,3.09,secondary_competitor
ChIJQ5gSSbgZrjsR-hgG7UDNdbc,Arivu School of Yoga,55,5.0,13.06264305114746,77.60926818847656,0.0370097377978458,secondary_competitor,2.42,secondary_competitor
ChIJAwY-xNwZrjsResXk5sCIzEU,Reckon Dance Zumba & Fitness Studio LLP,74,4.800000190734863,13.06902313232422,77.62474822998047,0.0363132619979021,secondary_competitor,4.14,secondary_competitor
ChIJ-UYOkBIjrjsRrF4-karYs7E,Thunder Martial Arts,58,5.0,13.07729434967041,77.55839538574219,0.0358104536225183,secondary_competitor,3.44,secondary_competitor
ChIJazOofjEXrjsRp-mVX6QKH0w,Laasya Academy Of Dance Bangalore,64,4.900000095367432,13.038265228271484,77.57707214355469,0.0349148366480233,secondary_competitor,3.01,secondary_competitor
ChIJBeKDd4EXrjsRUQ1lKJz45iQ,Vivekananda School of Yoga,82,4.800000190734863,13.053174018859863,77.6046371459961,0.0336951900991234,secondary_competitor,2.24,secondary_competitor
ChIJxU93_W4ZrjsRCK2zUD--g8E,SukhoThai Spa,53,3.799999952316284,13.063847541809082,77.58827209472656,0.0330096241522838,secondary_competitor,0.15,secondary_competitor
ChIJXyPkC2QYrjsRmX0t_esJru8,Bendre BBMP Park,76,4.199999809265137,13.096135139465332,77.57803344726562,0.0328001503979605,secondary_competitor,3.72,secondary_competitor
ChIJk-uHp6kirjsRCzILrwzbSwc,Spartans Gym,73,4.0,13.063501358032228,77.5593032836914,0.0323949376808087,secondary_competitor,3.0,secondary_competitor
ChIJWf6ciiEYrjsRUXCXaPMBqDE,Yug Yoga/Adityaa Fitness World,62,4.699999809265137,13.064820289611816,77.58382415771484,0.0289863333453334,secondary_competitor,0.36,secondary_competitor
ChIJe-aqWFUYrjsRRmfmJY64tO0,SOBHA Palm Court (Apartments in Yelahanka),68,4.0,13.103965759277344,77.60665130615234,0.0282979814631556,secondary_competitor,4.94,secondary_competitor
ChIJcdf6D0EYrjsRwQoWTp7yEUk,SWAMI VIVEKANANDA YOGA RESEARCH.,62,4.699999809265137,13.084760665893556,77.58870697021484,0.0273784525986645,secondary_competitor,2.34,secondary_competitor
ChIJdeecmVMWrjsRPIm42tyyU8E,"Anil Balloon Decorations - Balloon Decoration, Birthday, Naming ceremony, surprise, balloon,",59,4.699999809265137,13.108946800231934,77.58058166503906,0.0272525258305572,secondary_competitor,5.06,secondary_competitor
ChIJb2v7d4UXrjsRkQcKwlN2Bd0,Gryphon Fitness,58,4.400000095367432,13.04930591583252,77.59716796875,0.0264643439965895,secondary_competitor,1.94,secondary_competitor
ChIJGRA-MIIXrjsRyZ-D9ZGwqd8,Centurion Fitness Centre,67,4.300000190734863,13.051750183105469,77.6054458618164,0.0254156794791991,secondary_competitor,2.4,secondary_competitor
ChIJK67mniYYrjsRIaN12bRDAPM,Smith Gym,58,4.599999904632568,13.06350040435791,77.58639526367188,0.0253769826685569,secondary_competitor,0.06,secondary_competitor
ChIJhSHfUfQXrjsRQUCCZQfo_88,Café Coffee Day Value Express,31,4.0,13.05370807647705,77.58129119873047,0.0149127017322352,anchor_competitor,1.26,anchor_competitor
ChIJ2Sihp3EXrjsR-4_WxMJxdsE,Café Coffee Day,36,3.5999999046325684,13.043622016906738,77.61663818359375,0.0145150082567409,anchor_competitor,3.91,anchor_competitor
ChIJ4eNtYr4XrjsRvg9OhWWAmdY,Art of living Yoga and Meditation Centre,16,5.0,13.055352210998535,77.60167694091797,0.0008190315639141,primary_competitor,1.84,primary_competitor
ChIJx1_vefAXrjsRR-fSMYxejr4,Akshar Yoga,14,4.0,13.047703742980955,77.57445526123047,0.0007166526184248,primary_competitor,2.23,primary_competitor
ChIJE4S36f0ZrjsRRO-387oM9wM,Leaf Yoga Teacher Training School,7,5.0,13.11612606048584,77.60730743408203,0.0003583263092124,primary_competitor,6.21,primary_competitor
ChIJkeVDyRgYrjsR7eiP5X7P1EI,Yoga & Meditation Center,7,4.400000095367432,13.063069343566896,77.58323669433594,0.0003583263092124,primary_competitor,0.41,primary_competitor
ChIJzaUnCJIZrjsRFsxFJULb3j8,Starbucks Coffee,7,4.900000095367432,13.101969718933104,77.58635711669922,0.0003583263092124,anchor_competitor,4.24,anchor_competitor
ChIJ0awHSCwZrjsRgqesu7xMY-w,MIND.FIT,6,4.800000190734863,13.063773155212402,77.58525848388672,0.0003071368364677,primary_competitor,0.18,primary_competitor
ChIJE8R9PncWrjsRLJJsRE4W-eA,Art Of Living Yoga & Meditation Center,6,3.799999952316284,13.042614936828612,77.5762710571289,0.0003071368364677,primary_competitor,2.6,primary_competitor
ChIJD9W_IdMXrjsRgh87MOMCFC8,Aditya Yoga Classes,4,4.800000190734863,13.04082202911377,77.61266326904297,0.0002047578909785,primary_competitor,3.76,primary_competitor
ChIJ7W0-PpgXrjsRdrj74UddmMg,SPYSS Vidyanjali Academy for Learning School Branch,3,4.300000190734863,13.036426544189451,77.5980224609375,0.0001535684182338,primary_competitor,3.24,primary_competitor
ChIJM2Uq2RUZrjsR-ReVa6yqz0A,The Art of living Happiness Center,2,3.0,13.093897819519045,77.5885238647461,0.0001023789454892,primary_competitor,3.35,primary_competitor
ChIJBWZ02cEXrjsRFbV-0L6q_0U,Adithya Yoga Classes,2,5.0,13.04385757446289,77.57756042480469,0.0001023789454892,primary_competitor,2.42,primary_competitor
ChIJb50po4gZrjsRnnhk2ai3QCY,Surya Yoga Classes,1,5.0,13.068161010742188,77.63302612304688,5.118947274463299e-05,primary_competitor,5.02,primary_competitor
ChIJQ8f9CdAXrjsRC6xWPsVjjUs,Akshar Yoga,1,5.0,13.047855377197266,77.57904815673828,5.118947274463299e-05,primary_competitor,1.95,primary_competitor
ChIJ2yxWb-oXrjsR6jeSckcdMhg,Café Coffee Day,1,4.0,13.04368495941162,77.58147430419922,5.083503586232622e-05,anchor_competitor,2.29,anchor_competitor
ChIJGXzrmrkZrjsRHMRUgdoRF1M,SPYSS YOGA,0,0.0,13.06584644317627,77.56997680664062,0.0,primary_competitor,1.86,primary_competitor
ChIJn-Fau8sZrjsRvZSl15_ExCs,The Art Of Living Happiness Center,0,0.0,13.063152313232422,77.58309936523438,0.0,primary_competitor,0.42,primary_competitor
ChIJSfpYgP0XrjsRt8fpIdwgyqU,Cult Gym Thanisandra,0,0.0,13.044161796569824,77.62596130371094,0.0,primary_competitor,4.75,primary_competitor
ChIJibhrrgwZrjsR0APv8HW2P7I,The Art of Living Yoga and Meditation Center,0,0.0,13.057143211364746,77.5745849609375,0.0,primary_competitor,1.52,primary_competitor
ChIJsU71OV4YrjsRiWGblzGb0qo,Heart Beat Gym,337,4.599999904632568,13.098801612854004,77.58587646484375,0.0,secondary_competitor,3.89,secondary_competitor
