cluster_name,locality,polygon_updated,area,lat,lng,distance
"4th Main Road, P&T Colony,RT Nagar",RT Nagar,"POLYGON ((77.59188079833984 13.017229080200195, 77.59074401855469 13.026578903198242, 77.59158325195312 13.026832580566406, 77.5957260131836 13.023082733154297, 77.59188079833984 13.017229080200195))",280839.8902831972,13.02258402110698,77.5927747142898,4.59
"14th Main Road,Byatarayanapura",Byatarayanapura,"POLYGON ((77.589599609375 13.057574272155762, 77.58624267578125 13.058043479919434, 77.58621215820312 13.064071655273438, 77.59297943115234 13.06301212310791, 77.589599609375 13.057574272155762))",363578.8799524475,13.061000035591594,77.5888477562795,0.36
"2nd Main Road,Vidyaranyapura",Vidyaranyapura,"POLYGON ((77.55868371551479 13.068639724218206, 77.55870014173848 13.068497534222672, 77.55870215118449 13.068354448856525, 77.55868972420315 13.068211869472963, 77.55866298253748 13.06807119246563, 77.55862218812935 13.06793379559107, 77.55856774055219 13.067801024473999, 77.55850017309571 13.067674179427813, 77.55842014754077 13.067554502718862, 77.55832844767582 13.067443166399936, 77.55822597161854 13.06734126083146, 77.55811372301778 13.067249784003451, 77.55799280122233 13.06716963176258, 77.55786439051258 13.067101589039515, 77.5577297485009 13.067046322163426, 77.55759019381411 13.067004372337923, 77.55744709317894 13.06697615034286, 77.55730184803696 13.06696193251328, 77.55715588081983 13.066961858035476, 77.5570106210197 13.066975927586192, 77.55686749119054 13.067004003327638, 77.55672789301829 13.067045810259616, 77.55659319359529 13.067100938914358, 77.55646471203397 13.06716884936773, 77.55634370655046 13.067248876527977, 77.55426091869073 13.068778568497814, 77.55415107826305 13.068867678506901, 77.55405052712331 13.068966768475946, 77.55396020474562 13.06907491255087, 77.55388095503581 13.069191100287528, 77.55381351844768 13.069314246091794, 77.55375852506576 13.069443199362137, 77.55371648871893 13.069576755238774, 77.55368780217991 13.069713665859936, 77.55367273349539 13.069852652019604, 77.55367142348128 13.069992415118357, 77.55368388440624 13.070131649294899, 77.55370999987596 13.070269053626221, 77.55374952591954 13.070403344281013, 77.55380209326707 13.07053326651428, 77.5551448201903 13.073434327786561, 77.55521104579196 13.073560554079595, 77.55528957698945 13.073679806975194, 77.55537965708541 13.073790937310228, 77.55548041809047 13.073892874183008, 77.5555908890851 13.073984635273183, 77.55571000557379 13.074065336308516, 77.55583661974123 13.074134199587002, 77.55596951151149 13.074190561472326, 77.5561074003042 13.074233878790842, 77.55624895737398 13.07426373406744, 77.55639281861453 13.07427983955049, 77.55653759770405 13.074282039986972, 77.55668189946486 13.074270314120684, 77.5568243333093 13.074244774898734, 77.55696352664116 13.074205668385382, 77.5570981380846 13.074153371392232, 77.55722687041214 13.074088387848537, 77.55734848304755 13.07401134394602, 77.55746180402278 13.073922982105426, 77.55756574127398 13.07382415382219, 77.55765929316709 13.073715811461092, 77.55774155815229 13.073598999078138, 77.55781174345317 13.073474842358685, 77.55786917270802 13.073344537768506, 77.55791329248851 13.07320934102252, 77.55794367763326 13.07307055498251, 77.55868371551479 13.068639724218206))",48572.45226618648,13.070392926534018,77.55628712972005,3.41
"Vidyaranyapura Road, HMT Layout 5th Block,Vidyaranyapura",Vidyaranyapura,"POLYGON ((77.55819226839782 13.073723645741216, 77.55813661746905 13.07364003859129, 77.5580728719995 13.073562183798305, 77.55800164639348 13.073490831719793, 77.55792362714612 13.073426670035266, 77.5578395662261 13.073370317118824, 77.55775027382707 13.073322316079578, 77.55765661055855 13.073283129528035, 77.55755947915083 13.073253135118234, 77.55745981575409 13.07323262190889, 77.55735858091583 13.073221787578436, 77.55725675032326 13.073220736520875, 77.55715530540003 13.073229478840458, 77.55705522384785 13.073247930255784, 77.55695747022428 13.073275912912305, 77.55686298664713 13.07331315709794, 77.55677268371558 13.073359303842745, 77.5566874317348 13.073413908379338, 77.55660805232932 13.073476444429737, 77.5565353105253 13.073546309277674, 77.55646990737831 13.073622829577571, 77.55641247321769 13.073705267843652, 77.55636356157231 13.073792829557519, 77.55632364383646 13.07388467082482, 77.556293104727 13.073979906507997, 77.55627223857586 13.07407761875621, 77.55626124649342 13.07417686585049, 77.55626023442996 13.074276691279088, 77.55626921215429 13.074376132955102, 77.55736778585656 13.082167591546188, 77.55738620318868 13.082263813788899, 77.55741397430928 13.082357854021021, 77.55745084183968 13.082448840622355, 77.55749646409089 13.082535930271824, 77.55755041822948 13.082618315763842, 77.55761220419585 13.082695233489549, 77.55768124933805 13.082765970514837, 77.55775691371844 13.082829871188016, 77.5578384960443 13.082886343217462, 77.55792524016721 13.082934863161702, 77.55801634209065 13.082974981281764, 77.55811095742187 13.083006325710246, 77.55820820919774 13.083028605899132, 77.5583071960132 13.083041615313505, 77.55840700037608 13.083045233346894, 77.55850669721153 13.083039426439985, 77.5586053624366 13.083024248392794, 77.56172581108373 13.082391983941376, 77.56182565110235 13.082366621162723, 77.56192242861978 13.082331665407986, 77.5620151870327 13.082287462174593, 77.56210300946219 13.08223444836956, 77.56218502781768 13.082173147991181, 77.56226043137846 13.082104166949987, 77.56232847480834 13.082028187079585, 77.56238848552385 13.081945959397096, 77.56243987034324 13.081858296679302, 77.56248212135031 13.08176606542817, 77.56251482091551 13.081670177305542, 77.56253764582425 13.081571580120896, 77.5625503704718 13.081471248461938, 77.56255286909307 13.081370174060506, 77.56254511700539 13.081269355988791, 77.56252719085202 13.081169790783239, 77.56249926784362 13.081072462593692, 77.56246162400583 13.080978333454812, 77.56241463144987 13.080888333776333, 77.55891266743998 13.07493167168793, 77.55890944605451 13.074926231390004, 77.55819226839782 13.073723645741216))",150382.44712726772,13.079215146913612,77.55906900834194,3.48
