id,name,desc,num_units,default_units,lat,lng,url,source,final_num_units
784680,Chitrakoot Cauvery,,0.0,40.0,13.007466,77.629134,https://www.commonfloor.com/chitrakoot-cauvery-bangalore/povp-784680,commonfloor,0.0
4p0dpe,Surya Regency,,24.0,24.0,13.023971666666666,77.65935666666665,https://www.commonfloor.com/surya-regency-bangalore/povp-4p0dpe,commonfloor,24.0
6hve9m,SKS Lotus,,24.0,24.0,13.025751666666668,77.65765833333333,https://www.commonfloor.com/sks-lotus-bangalore/povp-6hve9m,commonfloor,24.0
4wo10v,Zaffars Sterling Lyndhurst,,16.0,16.0,12.994343,77.609616,https://www.commonfloor.com/zaffars-sterling-lyndhurst-bangalore/povp-4wo10v,commonfloor,16.0
f8r0dt,Apex Apartment,,0.0,40.0,13.026998,77.642481,https://www.commonfloor.com/apex-apartment-bangalore/povp-f8r0dt,commonfloor,0.0
fcflrn,Trinity Living,,0.0,40.0,13.014721,77.625836,https://www.commonfloor.com/trinity-living-bangalore/povp-fcflrn,commonfloor,0.0
9fui2v,Ashwath Enclave,,0.0,40.0,13.020184,77.650899,https://www.commonfloor.com/ashwath-enclave-bangalore/povp-9fui2v,commonfloor,0.0
arvf1f,RS Nest,,0.0,40.0,12.987211,77.635968,https://www.commonfloor.com/rs-nest-bangalore/povp-arvf1f,commonfloor,0.0
nc6x8t,Pragathi Nisarga,,0.0,40.0,12.9852521,77.6437385,https://www.commonfloor.com/pragathi-nisarga-bangalore/povp-nc6x8t,commonfloor,0.0
uhcqbd,Menaka Apartment,,1.0,1.0,12.986948,77.635754,https://www.commonfloor.com/menaka-apartment-bangalore/povp-uhcqbd,commonfloor,1.0
erbxr9,Lake Mount Mansion,,0.0,40.0,13.028893,77.631113,https://www.commonfloor.com/lake-mount-mansion-bangalore/povp-erbxr9,commonfloor,0.0
kxsj6x,Nityadham Apartment,,0.0,40.0,13.007,77.658126,https://www.commonfloor.com/nityadham-apartment-bangalore/povp-kxsj6x,commonfloor,0.0
i5zwp5,Regency Park,,0.0,40.0,13.003763,77.618941,https://www.commonfloor.com/regency-park-bangalore/povp-i5zwp5,commonfloor,0.0
w8z1u5,Kaushik Residency,,0.0,40.0,13.00699,77.650062,https://www.commonfloor.com/kaushik-residency-bangalore/povp-w8z1u5,commonfloor,0.0
jcuhkb,Prema Shelters,,16.0,16.0,13.002838,77.661425,https://www.commonfloor.com/prema-shelters-bangalore/povp-jcuhkb,commonfloor,16.0
qpl31g,Elvee Apartments,,5.0,5.0,12.99849,77.618727,https://www.commonfloor.com/elvee-apartments-bangalore/povp-qpl31g,commonfloor,5.0
ioqnpa,Regency East End Apartments,,0.0,40.0,13.003499,77.617906,https://www.commonfloor.com/regency-east-end-apartments-bangalore/povp-ioqnpa,commonfloor,0.0
twcf6y,Regency Plazzo Apartment,,0.0,40.0,13.004413,77.615578,https://www.commonfloor.com/regency-plazzo-apartment-bangalore/povp-twcf6y,commonfloor,0.0
ub2jdo,Bilvashree Manor,,0.0,40.0,13.02509,77.657617,https://www.commonfloor.com/bilvashree-manor-bangalore/povp-ub2jdo,commonfloor,0.0
1mhv4b,Jai Sriram Classic,,0.0,40.0,13.010778,77.650476,https://www.commonfloor.com/jai-sriram-classic-bangalore/povp-1mhv4b,commonfloor,0.0
7x3kfk,Ishwerya Apartment,,0.0,40.0,13.020414,77.640154,https://www.commonfloor.com/ishwerya-apartment-bangalore/povp-7x3kfk,commonfloor,0.0
ysk8ed,Pristine Diamond Apartment,,0.0,40.0,13.00664,77.656579,https://www.commonfloor.com/pristine-diamond-apartment-bangalore/povp-ysk8ed,commonfloor,0.0
u2wdzp,United Marvel,,0.0,40.0,12.996965,77.611989,https://www.commonfloor.com/united-marvel-bangalore/povp-u2wdzp,commonfloor,0.0
5nz1p6,Elegant Smith,,17.0,17.0,13.0015512,77.6046157,https://www.commonfloor.com/elegant-smith-bangalore/povp-5nz1p6,commonfloor,17.0
4qu2bt,R and S Manor,,0.0,40.0,13.000228,77.612993,https://www.commonfloor.com/r-and-s-manor-bangalore/povp-4qu2bt,commonfloor,0.0
