x_pixel,y_pixel,total_population,h3index_lvl11,f_0,f_1,f_10,f_15,f_20,f_25,f_30,f_35,f_40,f_45,f_5,f_50,f_55,f_60,f_65,f_70,f_75,f_80,m_0,m_1,m_10,m_15,m_20,m_25,m_30,m_35,m_40,m_45,m_5,m_50,m_55,m_60,m_65,m_70,m_75,m_80,h3index_lvl3,geometry
11334,26967,502.72845,8b61892ccd0cfff,3.5787666,13.688773,14.756731,17.584244,25.296001,29.214176,24.023174,20.506674,15.3968525,14.222953,14.556736,12.237134,10.284928,7.703455,5.6724606,3.3904967,2.4910264,,3.9320261,15.066104,16.241173,18.727852,28.639763,32.92329,30.143572,24.666338,18.209576,15.607833,16.001978,12.414275,11.059394,8.144799,5.8704185,3.3055217,2.3476288,2.0713797,836189fffffffff,"POLYGON ((77.63124970454999 13.027916815560001, 77.63124970454999 13.028750148890001, 77.63041637122 13.028750148890001, 77.63041637122 13.027916815560001, 77.63124970454999 13.027916815560001))"
11318,27000,488.66653,8b61892eb851fff,3.4786642,13.3058815,14.343967,17.092392,24.588442,28.39702,23.351217,19.933077,14.966184,13.82512,14.149567,11.894847,9.997247,7.4879804,5.5137954,3.2956605,2.4213493,,3.8220427,14.644687,15.786887,18.204012,27.838675,32.002384,29.30042,23.97639,17.700232,15.171263,15.554384,12.067033,10.75005,7.91698,5.706216,3.2130623,2.2819629,2.0134406,836189fffffffff,"POLYGON ((77.61791637127 13.00041681567, 77.61791637127 13.001250149, 77.61708303794 13.001250149, 77.61708303794 13.00041681567, 77.61791637127 13.00041681567))"
11324,27032,467.59467,8b61892ed769fff,3.32866,12.732117,13.725439,16.355349,23.52816,27.172506,22.344286,19.07354,14.320825,13.228965,13.539421,11.3819275,9.566154,7.1650896,5.276034,3.1535478,2.316938,,3.6572318,14.013191,15.106138,17.419033,26.638237,30.622406,28.036951,22.942501,16.936977,14.51706,14.883661,11.546688,10.286494,7.57559,5.4601574,3.0745113,2.183562,1.9266188,836189fffffffff,"POLYGON ((77.62291637124999 12.97375014911, 77.62291637124999 12.97458348244, 77.62208303791999 12.97458348244, 77.62208303791999 12.97375014911, 77.62291637124999 12.97375014911))"
11306,27015,498.64444,8b61892e90cbfff,3.5496938,13.57757,14.636851,17.441395,25.090504,28.976849,23.828018,20.340084,15.271773,14.1074095,14.438481,12.137724,10.201377,7.6408744,5.6263795,3.3629534,2.4707901,,3.9000835,14.943711,16.109234,18.575714,28.4071,32.65583,29.898695,24.465956,18.061646,15.481039,15.871984,12.313425,10.969551,8.078633,5.822729,3.2786686,2.3285575,2.0545523,836189fffffffff,"POLYGON ((77.60791637131 12.987916815719998, 77.60791637131 12.988750149049999, 77.60708303798 12.988750149049999, 77.60708303798 12.987916815719998, 77.60791637131 12.987916815719998))"
11353,26986,41.13558,8b61892ead76fff,0.2928313,1.120079,1.2074643,1.4388245,2.0698364,2.3904395,1.9656878,1.6779513,1.259842,1.1637881,1.1910998,1.0012991,0.8415606,0.63033247,0.4641471,0.27742618,0.20382735,,0.32173666,1.2327787,1.3289281,1.5323999,2.3434384,2.6939366,2.4664872,2.0183144,1.489992,1.2771055,1.3093562,1.0157937,0.904931,0.6664453,0.48034492,0.27047315,0.19209391,0.1694899,836189fffffffff,"POLYGON ((77.64708303782 13.012083482289999, 77.64708303782 13.012916815619999, 77.64624970449 13.012916815619999, 77.64624970449 13.012083482289999, 77.64708303782 13.012083482289999))"
11349,26971,38.881794,8b61892ea4a4fff,0.2767873,1.0587108,1.1413083,1.3599925,1.9564317,2.2594693,1.8579894,1.5860177,1.1908163,1.100025,1.1258404,0.94643885,0.7954522,0.5957971,0.43871686,0.26222625,0.19265983,,0.30410898,1.1652358,1.2561173,1.448441,2.2150433,2.546338,2.3313503,1.9077326,1.4083567,1.2071339,1.2376177,0.96013916,0.85535055,0.62993133,0.45402724,0.25565416,0.18156923,0.1602037,836189fffffffff,"POLYGON ((77.6437497045 13.02458348224, 77.6437497045 13.02541681557, 77.64291637117 13.02541681557, 77.64291637117 13.02458348224, 77.6437497045 13.02458348224))"
11328,27000,493.6871,8b61892e8651fff,3.514404,13.442587,14.491338,17.268,24.841064,28.68877,23.591127,20.137869,15.1199465,13.967159,14.29494,12.017055,10.099958,7.564912,5.570444,3.3295202,2.4462264,,3.8613105,14.795147,15.949081,18.39104,28.12469,32.331177,29.601454,24.222725,17.882084,15.327133,15.7141905,12.1910095,10.860496,7.9983187,5.7648416,3.2460735,2.3054078,2.0341268,836189fffffffff,"POLYGON ((77.62624970456999 13.00041681567, 77.62624970456999 13.001250149, 77.62541637124 13.001250149, 77.62541637124 13.00041681567, 77.62624970456999 13.00041681567))"
11311,27001,433.42123,8b61892eba2efff,3.08539,11.80161,12.722337,15.160043,21.808641,25.186647,20.711288,17.679579,13.274209,12.262146,12.549913,10.5500965,8.867026,6.6414404,4.8904433,2.9230757,2.1476083,,3.3899486,12.9890585,14.00213,16.14599,24.691423,28.384415,25.987915,21.265785,15.699164,13.456103,13.795912,10.702817,9.534722,7.02194,5.06111,2.8498154,2.0239797,1.7858149,836189fffffffff,"POLYGON ((77.61208303795999 12.99958348234, 77.61208303795999 13.00041681567, 77.61124970463 13.00041681567, 77.61124970463 12.99958348234, 77.61208303795999 12.99958348234))"
11324,27000,506.05588,8b61892eb9a8fff,3.6024535,13.779376,14.854402,17.70063,25.463428,29.407536,24.182177,20.6424,15.49876,14.317091,14.653084,12.318129,10.353002,7.754442,5.7100053,3.4129374,2.5075138,,3.9580512,15.165822,16.348667,18.851807,28.82932,33.1412,30.343084,24.829597,18.3301,15.711137,16.107891,12.496442,11.132593,8.198708,5.909273,3.3274002,2.3631673,2.0850897,836189fffffffff,"POLYGON ((77.62291637124999 13.00041681567, 77.62291637124999 13.001250149, 77.62208303791999 13.001250149, 77.62208303791999 13.00041681567, 77.62291637124999 13.00041681567))"
11336,26980,39.86468,8b61892ea395fff,0.28378418,1.0854739,1.1701593,1.3943716,2.0058882,2.3165863,1.9049572,1.6261104,1.2209188,1.1278325,1.1543003,0.97036374,0.81556034,0.61085814,0.4498071,0.26885504,0.19753005,,0.3117965,1.1946915,1.2878705,1.4850559,2.271037,2.6107066,2.3902843,1.955958,1.4439583,1.2376488,1.2689033,0.9844104,0.87697285,0.6458553,0.46550453,0.2621168,0.1861591,0.16425346,836189fffffffff,"POLYGON ((77.63291637120999 13.01708348227, 77.63291637120999 13.0179168156, 77.63208303788 13.0179168156, 77.63208303788 13.01708348227, 77.63291637120999 13.01708348227))"
