id,name,lat,lng,category,number_of_votes,source,date,created_at,reviews_per_day
51422,Nandhini Deluxe,13.0313134362,77.5702521577,restaurant,14400,zomato,1397932200.0,1688639100,4.9534427975393775e-05
ChIJm1G1mDYWrjsRvmk1hrhV21Y,Sattvam Restaurant,13.00568962097168,77.58061981201172,restaurant,10752,gmaps_v2,1476276254.0,1699615207,4.8142072198216136e-05
18628912,Sri Durga Chats & Juice,12.9724841574,77.5388451666,restaurant,13900,zomato,1397932200.0,1688639100,4.7814482559581487e-05
ChIJme1-m5c9rjsRkc5pt4vU6CI,CaratLane Orion Mall,13.010765075683594,77.55516815185547,jewelry_store,385,gmaps_v2,1679736922.0,1687847039,4.747157161851056e-05
51421,Nandhana Palace,12.9891446449,77.550143972,restaurant,13800,zomato,1397932200.0,1688639100,4.7470493476419034e-05
ChIJ8wP2oy4WrjsRUU32gONQrT4,Lalithaa Jewellery Mart (P) Ltd,12.995867729187012,77.57142639160156,jewelry_store,9231,gmaps_v2,1490264358.0,1687847039,4.67196818733318e-05
50311,Corner House Ice Creams,12.9884896159,77.5770733505,restaurant,13400,zomato,1397932200.0,1688639100,4.6094537143769204e-05
ChIJq-pwpok9rjsROvuRrROI6_s,Al - Bek Restaurant,12.97797393798828,77.55300903320312,restaurant,5639,gmaps_v2,1575816514.0,1699615207,4.5549753905721767e-05
ChIJNcbgui8WrjsRY7s_Zd8fEh8,Paakashala @ Malleshwaram,13.005590438842772,77.57133483886719,restaurant,6353,gmaps_v2,1559206685.0,1699615207,4.524654137446159e-05
ChIJH7NfryMWrjsRCsZa5_GFBtw,H&M,12.992138862609863,77.57010650634766,clothing_store,5974,gmaps_v2,1552137213.0,1687847039,4.402039392490268e-05
ChIJCUy6J5AXrjsRI8wWfSwJQNs,Royalé Touché,12.993951797485352,77.57772827148438,home_decor,1006,gmaps_v2,1664950774.0,1687847039,4.393729719672619e-05
18703504,Oottupura,13.0337142415,77.5641068816,restaurant,12700,zomato,1397932200.0,1688639100,4.368661356163201e-05
59166,Biriyani Nights,13.03335058,77.56722635,restaurant,12400,zomato,1397932200.0,1688639100,4.265464631214464e-05
ChIJX3bFvHg9rjsRmcTwzAuJeds,Zara,13.011119842529297,77.55510711669922,clothing_store,6412,gmaps_v2,1536396886.0,1687847039,4.2337362313526354e-05
ChIJv-2vRJs9rjsR5Y5BLMtj1Ho,Malabar Gold and Diamonds - Rajajinagar - Bangalore,13.003792762756348,77.54962921142578,jewelry_store,5105,gmaps_v2,1565681276.0,1687847039,4.1787485091056155e-05
ChIJ46P4AiMWrjsRDURyrRTam1s,TRENDS,12.991962432861328,77.5710678100586,clothing_store,5705,gmaps_v2,1546757714.0,1687847039,4.04353766665196e-05
ChIJ748wWX89rjsRpv-DRa-4wtE,Manyavar,13.011239051818848,77.55520629882812,clothing_store,2139,gmaps_v2,1632570427.0,1687847039,3.869629347037405e-05
ChIJvX7ti-4XrjsRZGBESGgaqhc,Taneira Sarees,13.002042770385742,77.56941223144531,clothing_store,603,gmaps_v2,1672227527.0,1687847039,3.860555950787707e-05
ChIJZU8k2vU9rjsRK9gXANkis7k,Barbeque Nation,12.98296356201172,77.55985260009766,restaurant,8480,gmaps_v2,1469295696.0,1699615207,3.681841787168435e-05
ChIJPzvaJTM9rjsROmK-rW3gTTM,Narmada Restaurant Rajaji Nagar,12.997591972351074,77.54740142822266,restaurant,388,gmaps_v2,1688749866.0,1699615207,3.570987785841236e-05
ChIJjRqgOlwXrjsRrmFMT84IUIw,"Zudio Lulu Global Mall - Bangalore, Karnataka",12.981745719909668,77.56380462646484,clothing_store,307,gmaps_v2,1686502425.0,1695212099,3.5248161986315446e-05
ChIJa3sGP549rjsR34Do2Rd9VCI,"AB's - Absolute Barbecues | Yeshwanthpur, Bangalore",13.02458667755127,77.54837799072266,restaurant,4548,gmaps_v2,1566097831.0,1699615207,3.4062982184431185e-05
19257063,Corner House Ice Creams,12.9880730754,77.542536892,restaurant,9857,zomato,1397932200.0,1688639100,3.3907003927323364e-05
18422900,Sri Maruthi Miltry Hotel,13.0002867332,77.5525090098,restaurant,9636,zomato,1397932200.0,1688639100,3.314678805353433e-05
ChIJpelrnHg9rjsRfQtUhhcYORU,Punjab Grill Malleshwaram,13.010931015014648,77.55500030517578,restaurant,4421,gmaps_v2,1554284006.0,1687847039,3.310047623731336e-05
51504,Nandhini Deluxe,12.9987370425,77.5840530973,restaurant,9602,zomato,1397932200.0,1688639100,3.30298317652591e-05
ChIJNSnVnSQWrjsRl-_7mT24Nic,Joyalukkas Jewellery,12.994579315185549,77.57170104980469,jewelry_store,5833,gmaps_v2,1522385911.0,1699615207,3.2912165943490515e-05
ChIJNSuppJUXrjsRtC81lm1KGfU,"Mia by Tanishq - Malleshwaram, Bengaluru",13.002223014831545,77.56938171386719,jewelry_store,147,gmaps_v2,1683293521.0,1687847039,3.2282731725228715e-05
18578555,Basaveshwarnagar Dosa Corner,12.9911397773,77.5415149704,restaurant,9344,zomato,1397932200.0,1688639100,3.214233993069996e-05
ChIJUUSLnpI9rjsRGQuAAkCJSdY,Nandhana Palace -Andhra Style Restaurant - Rajajinagar,12.989184379577637,77.55011749267578,restaurant,6966,gmaps_v2,1480988236.0,1699615207,3.186249147640618e-05
ChIJN2x2rOc9rjsRZJ-ufDn0WUg,Tanishq Jewellery - Bangalore - Basaveshwaranagar,12.998199462890623,77.54381561279297,jewelry_store,1484,gmaps_v2,1639750209.0,1687847039,3.085442429365927e-05
ChIJNaHPzAEXrjsRDRdgqikmpHg,Manyavar & Mohey,13.031309127807615,77.57046508789062,clothing_store,1295,gmaps_v2,1644680004.0,1687847039,2.9999744017628267e-05
ChIJw-UMHiwWrjsRnO73wUSmSLM,P N RAO Fine Suits - Malleshwara,13.005620956420898,77.5687484741211,clothing_store,4512,gmaps_v2,1529922033.0,1687847039,2.8570522897431456e-05
53769,Shuchi Ruchi,13.0012337844,77.5722621381,restaurant,8292,zomato,1397932200.0,1688639100,2.8523574775830915e-05
50818,Polar Bear,13.028080315,77.573226057,restaurant,8231,zomato,1397932200.0,1688639100,2.8313741435101816e-05
19133043,Paakashala,13.00582,77.57136,restaurant,8230,zomato,1397932200.0,1688639100,2.831030154427019e-05
ChIJXx535Io9rjsRxPHSPe5DJvw,Toscano,13.01132583618164,77.55533599853516,restaurant,4827,gmaps_v2,1525164230.0,1699615207,2.766966446969225e-05
